SSC_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SSC40001,5364,5682,11039,304,285,587,693,663,1361,449,402,846,353,341,691,642,626,1273,662,708,1366,758,869,1629,779,878,1657,451,488,933,184,245,432,91,167,263,5114,5488,10598,245,193,441,34,46,77,4,0,4,0,3,3,34,44,81,4035,4242,8280,1175,1288,2463,4744,4978,9720,471,557,1032,4838,5129,9967,53,58,105,669,640,1312,352,333,685,116,161,274,146,206,355,2269,2535,4799,937,903,1833,694,788,1489,205,209,408,99,111,213,3,11,17,5082,5384,10466,130,194,326
SSC40002,7919,7194,15115,174,166,343,196,205,392,494,515,1011,1768,1944,3714,2094,1838,3936,1015,718,1731,805,549,1347,676,554,1228,496,442,941,158,185,347,56,78,129,7413,6836,14251,509,352,863,120,74,188,5,6,9,3,3,7,126,84,206,3236,2602,5835,3809,3919,7723,3617,3111,6729,3177,3438,6619,3879,3397,7274,19,23,41,174,177,354,418,441,858,1332,1499,2831,801,827,1624,5229,5187,10416,513,424,943,377,316,693,128,94,220,110,79,190,35,25,53,5580,5638,11212,5000,3605,8607
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,48,42,96,0,3,3,9,14,19,3,3,5,3,0,4,5,4,11,3,12,13,9,9,16,3,3,6,3,4,12,0,0,0,0,0,0,43,45,87,4,0,4,0,0,0,0,3,6,0,0,0,0,3,6,44,44,86,0,3,3,45,46,89,0,0,0,45,41,89,0,0,0,9,9,21,3,3,8,0,0,0,0,0,0,11,14,33,12,6,14,9,7,13,7,0,7,0,0,0,0,0,0,46,43,90,0,0,0
SSC40005,19,18,39,0,0,0,0,4,4,3,0,3,0,0,0,3,0,3,0,0,5,3,0,4,8,3,15,0,3,8,0,0,0,0,0,4,18,12,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,13,33,0,0,0,22,18,38,0,0,0,18,18,36,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,3,9,4,4,8,6,3,8,5,0,5,3,3,9,0,0,0,25,12,34,0,0,0
SSC40006,825,906,1724,43,45,89,106,112,215,56,46,98,55,57,107,130,124,256,130,125,254,108,130,239,102,118,220,51,71,117,34,61,93,13,19,30,789,871,1657,34,36,70,11,12,20,0,0,0,0,0,0,11,12,20,632,674,1311,154,190,340,606,656,1256,182,207,388,747,802,1549,4,8,14,99,106,207,32,44,74,12,14,30,22,31,53,327,364,691,120,125,245,100,106,200,37,31,66,41,59,98,6,15,19,780,866,1643,18,22,42
SSC40007,902,915,1818,36,41,79,90,76,167,49,43,97,53,52,103,132,134,271,113,102,209,125,154,275,146,144,288,95,89,187,46,56,101,20,23,42,860,881,1742,47,32,73,27,41,67,0,0,0,0,0,0,34,39,70,661,699,1363,198,165,368,719,725,1438,150,157,305,812,835,1644,3,10,9,85,71,161,34,40,78,14,21,38,30,57,88,352,391,746,162,152,311,138,114,252,45,35,77,38,54,94,8,8,16,866,881,1741,24,30,57
SSC40008,1633,1728,3361,74,75,150,262,278,536,112,115,232,78,59,139,77,79,156,191,240,435,252,261,512,261,291,552,223,244,468,74,57,135,13,35,54,1550,1657,3201,81,72,152,6,12,16,0,0,0,0,0,0,6,12,16,1260,1350,2606,305,300,607,1479,1566,3051,92,87,183,1492,1577,3072,25,21,47,244,264,510,87,98,186,42,39,77,42,71,110,879,921,1793,189,179,371,111,131,239,38,42,85,18,24,40,5,0,6,1520,1617,3140,54,78,134
SSC40009,288,282,573,22,12,33,36,37,71,19,13,31,11,10,16,20,24,43,30,39,70,55,46,102,44,47,90,29,42,73,13,16,29,3,0,8,256,264,523,30,15,43,0,3,3,0,0,0,0,0,0,0,3,3,195,214,403,69,49,119,260,262,521,18,14,32,255,258,511,8,3,4,28,36,61,9,5,16,3,0,3,4,10,18,100,124,228,44,37,85,43,37,83,10,10,23,5,3,13,0,0,0,266,273,540,9,5,9
SSC40010,5058,5502,10557,452,456,908,813,838,1649,332,334,665,281,289,573,673,758,1429,652,772,1426,652,679,1326,523,569,1085,402,474,876,208,223,431,74,108,179,4780,5261,10044,283,238,518,84,97,179,0,3,4,0,0,0,90,95,182,3681,3967,7655,941,1041,1979,4512,4906,9419,169,179,348,4340,4736,9079,73,59,129,720,747,1469,247,245,492,58,76,137,84,221,302,1365,1808,3175,831,845,1672,790,814,1607,268,220,486,154,133,283,13,3,14,4587,4976,9559,359,426,787
