SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC40001,40,1517,667,320,1769,0.8,1497,2.7
SSC40002,29,1733,474,380,1793,1,1093,1.9
SSC40003,0,0,0,0,0,0,0,0
SSC40004,35,0,746,90,1792,0.9,1375,3
SSC40005,58,570,519,0,1125,0.6,725,2
SSC40006,39,1600,636,257,1676,0.9,1258,2.4
SSC40007,44,1498,630,250,1668,0.8,1123,2.2
SSC40008,45,2000,851,400,2364,0.8,2103,2.8
SSC40009,46,1300,564,250,1328,0.9,1013,2.2
SSC40010,35,1500,571,300,1310,0.8,1108,2.6
SSC40011,48,758,590,100,1446,0.6,1025,2.1
SSC40012,42,1600,665,300,1773,0.8,1461,2.5
SSC40013,34,1192,595,200,1604,0.8,1271,2.8
SSC40014,44,1823,537,233,1458,0.7,1218,2.8
SSC40015,39,1340,725,0,1687,0.9,1583,2.8
SSC40016,46,1430,788,242,1974,0.8,1775,2.2
SSC40017,25,0,261,80,743,1.7,1298,4.4
SSC40018,68,0,575,0,0,0,0,1
SSC40019,57,829,421,180,883,0.8,659,2.1
SSC40020,64,0,900,0,0,0,0,2
SSC40021,28,0,849,0,0,0,0,6
SSC40022,39,0,459,0,857,0.9,1125,2.3
SSC40023,53,929,475,115,1300,0.7,708,1.8
SSC40024,34,0,962,0,0,0,0,0
SSC40025,49,0,739,0,2250,0.9,1874,2.5
SSC40026,26,1408,638,270,1318,0.8,1229,3
SSC40027,48,1000,568,125,1224,1,1199,2.1
SSC40028,47,1443,512,175,1156,0.7,1062,2.3
SSC40029,43,1300,646,215,1494,0.8,1187,2.4
SSC40030,38,1517,435,180,1211,0.9,970,2.7
SSC40031,37,1790,708,255,1954,0.8,1799,3.2
SSC40032,51,850,383,0,899,0.8,575,2.3
SSC40033,61,0,549,0,0,0.6,0,2
SSC40034,58,0,425,0,1312,0.6,1312,2
SSC40035,30,0,612,0,1375,0.6,1374,4.3
SSC40036,45,347,450,100,1281,0.8,700,2.3
SSC40037,36,0,1625,0,0,0,0,0
SSC40038,59,1083,469,190,1045,0.7,768,1.9
SSC40039,38,0,1583,0,0,0,1687,1
SSC40040,43,1532,738,300,1819,0.7,1625,2.7
SSC40041,48,932,548,200,1140,0.8,991,2.3
SSC40042,47,867,756,190,1821,0.6,1125,2.1
SSC40043,34,1547,617,290,1398,0.8,1083,2.1
SSC40044,49,1766,662,243,1762,0.8,1625,2.3
SSC40045,39,1500,678,270,1548,0.9,1188,2
SSC40046,45,1733,781,300,2017,0.8,1852,2.8
SSC40047,50,0,489,0,1624,1,1124,1.6
SSC40048,43,1647,678,330,1901,0.8,1634,2.7
SSC40049,31,1500,480,300,1193,1,1064,2.9
SSC40050,52,1226,607,210,1441,0.7,1070,2.1
SSC40051,49,2211,740,530,2428,0.7,2306,2.9
SSC40052,37,0,464,0,1562,1,1375,2.3
SSC40053,39,1000,716,0,1437,0.7,1187,2.4
SSC40054,35,1733,661,0,2250,0.9,2150,2.8
SSC40055,37,650,530,0,1224,0.8,1199,2.7
SSC40056,55,1777,605,195,1213,0.7,1160,2.3
SSC40057,46,1291,850,141,2125,0.6,1625,2.3
SSC40058,64,0,612,0,0,0,0,0
SSC40059,22,0,725,0,0,0,0,2
SSC40060,0,0,0,0,0,0,0,0
SSC40061,46,950,533,200,1325,0.7,992,2.2
SSC40062,59,1422,512,0,649,0.8,941,2.4
SSC40063,35,0,1083,0,0,0,1999,0
SSC40064,61,1280,396,0,762,0.6,725,1.8
SSC40065,44,1710,708,310,1866,0.8,1561,2.6
SSC40066,39,0,900,0,0,0.3,1125,1
SSC40067,44,1542,412,78,1437,0.7,1062,2.3
SSC40068,54,507,537,0,1375,0.6,1375,2.3
SSC40069,40,1600,702,325,1765,0.8,1492,2.6
SSC40070,43,1300,556,0,1228,1,1375,2.8
SSC40071,41,0,725,0,1999,1,2250,2
SSC40072,49,1083,483,162,1184,0.7,841,2.2
SSC40073,0,0,0,0,0,0,0,0
SSC40074,25,0,900,0,0,0,0,0
SSC40075,49,1167,739,0,1687,0.8,1312,2.4
SSC40076,48,1950,724,0,1458,0.7,1468,2.4
SSC40077,35,0,1062,47,2250,1,1625,2
SSC40078,46,1863,768,280,2111,0.9,1888,2.6
SSC40079,54,867,471,0,1042,0.6,725,1.8
SSC40080,48,0,425,0,1562,0.9,1333,2.5
SSC40081,52,1300,532,160,1231,0.7,1008,2.3
SSC40082,34,0,1100,0,0,0,0,0
SSC40083,39,829,612,0,1541,0.7,1093,2.6
SSC40084,45,2167,952,420,2782,0.8,2265,2.7
SSC40085,0,0,0,0,0,0,0,0
SSC40086,27,1600,353,270,1165,1,1027,2.7
SSC40087,52,840,511,0,2049,1.1,1374,2.6
SSC40088,46,1950,769,358,2224,0.8,1883,2.6
SSC40089,33,0,880,0,2083,0.8,1937,3.2
SSC40090,41,0,599,50,1375,0.7,1166,2.3
SSC40091,51,1733,638,325,1793,0.7,1378,2.4
SSC40092,34,0,350,25,0,1,450,1
SSC40093,65,0,962,0,0,0,0,0
SSC40094,38,1300,642,190,1792,0.7,1424,2.8
SSC40095,74,0,725,0,1999,0.6,1999,2
SSC40096,41,1083,519,185,1151,0.7,893,2.2
SSC40097,44,1733,680,0,2071,0.9,1562,2.7
SSC40098,49,1300,628,0,1375,0.7,1187,1.7
SSC40099,39,2000,847,350,2241,0.8,1633,2.3
SSC40100,37,1676,600,283,1451,0.8,1147,2.4
SSC40101,46,1652,625,266,2024,0.7,1875,2.6
SSC40102,61,0,537,0,0,0,0,0
SSC40103,46,2334,890,0,2250,0.8,2124,2.9
SSC40104,0,0,0,0,0,0,0,0
SSC40105,51,477,660,0,1812,0.5,1312,2.3
SSC40106,34,1149,661,0,1406,1.1,1406,2.6
SSC40107,42,1630,640,270,1738,0.8,1371,2.6
SSC40108,41,1517,688,290,1568,0.8,1233,2.2
SSC40109,39,1647,724,270,1851,0.9,1344,2.3
SSC40110,50,1009,350,0,725,0.6,489,1.5
SSC40111,64,0,660,0,1218,0.5,1218,1.7
SSC40112,58,0,1083,0,2374,0.6,1437,1.8
SSC40113,37,1149,410,168,1031,0.9,900,2.9
SSC40114,60,997,460,0,1874,0.6,746,1.4
