SSC_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SSC40001,189,72,94,167,55,107,162,83,107,190,94,85,173,389,485,870,74,85,156,84,92,176,87,89,177,72,65,138,72,72,143,391,393,788,72,74,147,60,57,122,54,44,97,57,62,114,53,55,108,300,294,592,41,56,96,33,31,67,31,31,60,23,39,57,27,32,57,156,192,349,25,29,51,18,27,43,19,32,51,18,27,48,20,31,55,99,148,248,84,106,182,63,99,161,14,56,74,7,15,24,0,0,0,5364,5682,11039
SSC40002,117,86,48,131,76,67,141,59,58,121,66,61,124,349,281,635,70,58,128,79,58,130,57,55,110,65,64,124,62,39,103,323,268,597,57,71,129,62,43,107,64,56,118,56,54,116,62,62,125,303,286,591,38,45,90,60,37,91,36,28,60,25,22,46,33,22,55,190,157,346,27,26,53,18,29,45,29,19,52,19,24,40,19,16,39,106,120,223,58,70,121,43,51,86,10,18,24,5,9,11,0,0,0,7919,7194,15115
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,3,3,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,42,96
SSC40005,3,0,0,0,0,0,0,0,0,0,0,0,3,3,4,8,3,0,5,0,0,0,0,0,0,0,0,0,3,0,3,7,0,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,19,18,39
SSC40006,15,12,14,23,13,6,26,13,7,21,13,17,32,63,56,122,5,14,25,5,13,24,10,10,14,9,15,28,9,6,17,35,61,99,9,0,9,11,5,16,4,18,19,3,5,13,4,11,19,33,41,73,4,13,16,0,4,6,3,10,8,10,3,12,6,0,9,21,28,50,0,12,7,7,4,14,6,3,8,0,7,7,3,6,4,13,26,45,19,34,48,10,8,20,0,7,14,0,0,0,0,0,0,825,906,1724
SSC40007,29,12,7,22,17,18,38,15,18,32,20,11,34,82,76,151,15,13,28,18,16,36,11,17,28,15,16,27,6,6,15,61,71,131,15,10,22,15,8,26,16,8,26,3,7,11,11,17,26,62,49,107,14,10,22,6,10,16,3,11,10,12,10,13,6,3,10,40,42,76,6,5,7,3,12,17,0,7,6,3,5,12,8,3,6,21,30,45,24,28,55,11,18,32,8,4,11,0,3,3,0,0,0,902,915,1818
SSC40008,64,28,26,56,29,23,53,24,27,54,29,27,55,141,133,274,24,35,52,23,28,49,15,37,57,23,24,48,40,33,69,121,156,276,27,28,55,20,29,52,22,31,51,30,26,54,28,37,63,128,154,278,29,16,47,26,26,55,17,18,28,24,13,44,6,10,14,99,86,183,20,11,23,16,9,24,7,7,19,9,5,12,6,5,12,57,38,94,16,22,42,14,25,33,3,7,11,0,4,4,0,0,0,1633,1728,3361
SSC40009,11,4,3,7,3,4,7,3,0,3,3,3,4,21,18,42,4,3,6,3,9,10,7,3,6,4,3,8,5,6,13,26,24,47,0,10,10,4,0,4,6,0,4,4,10,15,3,4,4,18,25,37,3,3,8,4,4,7,3,4,10,3,3,8,0,3,9,16,16,33,3,0,3,0,0,3,0,4,4,5,4,11,3,0,3,10,9,20,7,8,9,0,3,3,0,0,0,0,0,0,0,0,0,288,282,573
SSC40010,117,55,49,110,51,53,104,39,69,103,46,60,106,252,287,537,55,58,110,43,54,100,59,65,125,70,51,118,45,54,98,268,282,547,52,61,111,45,45,89,44,52,96,45,61,103,49,64,115,232,273,507,38,43,77,50,36,82,30,36,70,31,42,71,27,36,61,171,197,369,36,37,73,33,35,65,21,31,50,19,12,35,19,28,45,133,136,271,72,94,165,50,57,105,15,44,53,13,13,18,0,3,4,5058,5502,10557
SSC40011,8,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,4,0,0,3,3,0,3,0,0,0,3,0,9,11,9,20,0,3,3,0,0,3,0,3,4,0,0,3,0,3,8,5,8,15,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,11,0,11,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,60,158
SSC40012,28,7,21,32,19,25,37,16,10,28,6,8,18,62,85,141,16,19,34,14,12,34,12,8,23,9,11,19,11,13,23,64,64,133,9,11,15,9,15,22,4,10,19,9,7,16,8,8,21,43,51,94,10,6,19,4,16,13,8,9,13,3,9,9,7,3,10,31,36,67,8,4,12,3,5,7,4,3,10,3,3,13,8,9,16,27,28,56,13,22,40,6,10,20,7,0,6,0,0,0,0,0,0,919,951,1868
SSC40013,7,0,7,8,3,0,4,4,0,4,5,3,7,17,11,29,0,3,4,4,3,6,0,3,7,6,0,5,4,4,7,17,19,33,6,3,10,0,0,3,0,0,3,0,0,3,3,3,5,16,11,24,0,0,3,0,0,0,7,0,7,0,0,0,0,4,4,4,4,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,248,230,472
