SSC_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SSC40001,0,0,0,0,449,449,10,0,0,0,341,353,225,5,9,0,397,642,426,30,48,0,153,662,553,35,72,3,98,758,640,27,74,9,29,779,358,10,55,14,17,451,147,0,5,19,3,184,51,0,6,28,0,91,2414,111,282,74,1489,4367,0,0,0,0,402,402,10,0,0,0,331,341,316,13,15,3,287,626,465,43,70,7,130,708,591,50,148,9,75,869,604,35,169,42,31,878,300,12,86,60,23,488,117,5,29,93,7,245,35,0,7,123,0,167,2429,155,531,336,1279,4732,0,0,0,0,846,846,18,3,0,0,678,691,540,16,27,3,685,1273,892,76,115,7,283,1366,1139,82,219,10,171,1629,1250,58,243,49,62,1657,662,26,143,75,35,933,262,4,38,118,9,432,87,3,20,155,0,263,4839,269,809,414,2762,9098
SSC40002,4,0,3,0,486,494,37,3,0,0,1728,1768,434,22,36,0,1600,2094,363,48,64,0,535,1015,235,57,146,0,361,805,262,50,161,20,188,676,229,20,126,22,92,496,80,3,25,21,36,158,29,0,0,15,4,56,1674,208,560,80,5037,7558,0,0,0,0,516,515,41,3,5,0,1890,1944,478,22,38,3,1300,1838,303,39,71,0,309,718,226,32,94,14,177,549,249,36,156,29,88,554,211,23,124,47,42,442,60,4,41,60,15,185,19,0,12,47,8,78,1590,155,533,200,4351,6825,3,0,3,0,1001,1011,81,8,6,0,3618,3714,917,40,65,4,2903,3936,669,79,136,0,846,1731,459,93,240,17,537,1347,511,82,313,50,274,1228,439,42,253,69,138,941,141,10,65,81,51,347,47,0,11,60,15,129,3266,359,1092,280,9383,14375
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,5,5,3,0,0,0,0,3,8,0,0,0,3,9,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,14,37,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,12,9,0,0,0,0,9,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,11,28,0,0,0,0,5,5,0,0,0,0,4,4,0,0,0,0,11,11,9,0,0,0,0,13,20,0,0,0,3,16,3,0,3,0,0,6,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,39,0,3,0,24,71
SSC40005,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,16,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,3,0,0,0,3,4,8,0,4,0,0,15,5,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,19,0,6,3,10,33
SSC40006,0,0,0,0,56,56,0,0,0,0,52,55,40,0,0,0,87,130,80,4,6,0,42,130,56,3,19,0,36,108,51,3,28,0,20,102,24,5,10,3,10,51,23,0,4,4,3,34,3,0,3,0,0,13,279,20,65,13,297,678,0,0,0,0,46,46,5,0,0,0,50,57,53,0,0,0,63,124,67,0,12,0,42,125,62,5,19,4,33,130,48,8,31,6,28,118,20,0,20,22,8,71,18,0,8,29,3,61,6,0,0,16,0,19,283,19,92,70,278,742,0,0,0,0,98,98,5,0,0,0,98,107,97,0,0,0,159,256,145,10,16,0,86,254,119,11,41,3,69,239,101,5,58,8,46,220,45,10,31,20,10,117,35,4,12,35,8,93,7,0,3,18,0,30,560,38,155,83,574,1418
SSC40007,0,0,0,0,49,49,3,0,0,0,49,53,34,0,0,0,101,132,43,4,11,0,56,113,59,4,24,3,41,125,78,5,33,3,26,146,49,10,23,6,12,95,25,0,3,3,7,46,9,0,0,6,3,20,296,22,86,24,351,778,0,0,0,0,43,43,4,0,0,0,48,52,45,0,8,0,86,134,46,7,13,0,40,102,70,16,35,3,28,154,72,13,35,4,19,144,39,4,29,17,3,89,27,0,7,22,3,56,0,0,0,15,0,23,301,39,119,64,270,797,0,0,0,0,97,97,3,0,0,0,97,103,75,0,8,0,183,271,87,7,19,0,92,209,129,17,52,6,71,275,152,12,67,9,47,288,83,15,47,22,21,187,56,3,11,23,4,101,9,0,0,24,3,42,597,62,203,91,622,1572
SSC40008,0,0,0,0,112,112,0,0,0,0,78,78,20,0,0,0,57,77,153,6,10,0,35,191,194,5,18,0,30,252,204,9,15,3,27,261,192,7,17,4,8,223,63,0,0,8,3,74,9,0,0,4,0,13,841,23,59,21,349,1295,0,0,0,0,115,115,0,0,0,0,59,59,41,3,3,0,31,79,183,7,10,0,32,240,194,15,28,3,24,261,216,3,42,9,31,291,171,7,23,29,10,244,30,0,3,23,0,57,5,0,3,30,3,35,842,38,108,84,301,1376,0,0,0,0,232,232,0,0,0,0,139,139,60,3,3,0,93,156,335,14,16,0,62,435,393,19,42,8,55,512,422,10,57,5,59,552,367,12,43,31,15,468,89,0,5,29,4,135,17,0,3,29,0,54,1679,58,169,110,652,2668
SSC40009,0,0,0,0,19,19,0,0,0,0,11,11,5,0,0,0,15,20,17,3,0,0,16,30,17,0,12,0,25,55,19,0,16,3,9,44,23,0,8,3,0,29,8,0,5,0,0,13,0,0,0,0,0,3,95,5,39,4,89,231,0,0,0,0,13,13,0,0,0,0,10,10,12,3,0,0,15,24,15,3,3,0,15,39,21,0,7,3,18,46,19,4,19,0,0,47,15,4,9,6,3,42,6,0,3,0,0,16,0,0,0,3,0,0,94,18,45,13,70,235,0,0,0,0,31,31,0,0,0,0,16,16,14,3,0,0,29,43,30,6,6,0,27,70,39,7,22,3,39,102,40,3,36,3,6,90,38,3,16,12,3,73,22,0,8,3,0,29,3,0,0,0,0,8,182,26,85,22,154,465
SSC40010,0,0,0,0,332,332,15,0,0,0,270,281,274,19,15,0,366,673,377,27,50,4,193,652,341,38,109,4,161,652,300,44,107,12,57,523,294,19,60,22,13,402,165,3,20,17,3,208,39,0,8,21,3,74,1800,146,363,84,1403,3794,0,0,0,0,334,334,31,0,0,0,256,289,333,34,33,0,360,758,418,63,83,3,200,772,312,49,173,11,132,679,316,32,156,18,41,569,283,10,103,66,16,474,111,3,26,84,8,223,16,0,8,77,5,108,1815,195,574,263,1357,4207,0,0,0,0,665,665,44,0,0,0,530,573,611,55,42,0,726,1429,800,87,133,6,394,1426,649,89,278,13,295,1326,612,76,265,32,103,1085,577,31,161,91,25,876,274,4,41,99,13,431,52,0,15,102,7,179,3619,340,940,344,2758,7999
