SSC_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SSC40001,0,0,423,426,7,25,293,326,213,119,263,589,406,92,113,617,511,75,113,706,599,55,81,734,323,16,72,414,129,4,25,164,38,0,22,63,2235,393,1409,4033,0,3,384,389,4,42,256,305,295,124,180,600,444,86,158,692,568,78,196,837,561,52,209,827,266,15,148,431,106,0,103,210,28,0,72,96,2276,400,1708,4383,0,3,808,810,9,71,554,632,511,238,446,1190,857,178,271,1305,1077,157,310,1540,1161,104,288,1559,587,34,214,844,233,5,130,374,63,3,90,162,4509,792,3118,8418
SSC40002,0,13,297,311,17,131,1016,1158,287,296,846,1430,258,99,355,708,156,63,311,531,184,55,226,470,179,27,155,357,63,8,48,114,26,0,18,39,1160,692,3278,5129,0,15,285,303,24,156,1150,1334,355,292,804,1444,234,77,283,594,162,48,249,462,184,43,224,450,167,26,171,369,50,0,101,147,15,0,46,60,1192,665,3313,5167,3,28,581,610,39,291,2161,2496,638,589,1650,2881,492,172,637,1304,314,109,565,991,366,103,449,919,344,50,329,727,112,7,141,263,36,0,65,102,2350,1357,6588,10296
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,3,3,0,0,0,3,0,3,5,5,3,0,0,3,8,0,3,9,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,18,5,11,32,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,12,4,0,0,4,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,21,7,4,31,0,0,5,5,0,3,0,3,0,5,3,11,10,0,0,13,15,0,3,18,3,3,0,3,12,0,0,12,0,0,0,0,0,0,0,0,37,7,15,62
SSC40005,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,7,4,0,15,0,0,3,3,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,4,8,0,3,15,5,0,3,8,0,0,0,0,4,0,0,4,19,4,16,34
SSC40006,0,0,52,52,0,3,43,47,37,29,52,122,70,19,39,128,55,16,32,103,52,9,33,97,20,4,19,49,17,0,12,33,3,0,5,13,254,82,296,633,0,0,43,43,5,14,42,54,52,25,34,121,62,20,34,118,60,14,47,126,43,13,54,105,22,0,41,61,16,0,35,56,0,0,16,16,259,79,355,698,0,0,99,100,5,14,82,101,90,60,91,239,138,35,74,241,115,26,85,224,94,18,89,199,40,4,65,111,36,0,50,85,3,0,23,27,514,163,650,1326
SSC40007,0,0,45,50,0,4,41,47,31,22,62,114,38,18,41,102,52,10,56,122,72,18,48,137,39,3,39,84,28,0,12,39,9,0,8,20,277,85,358,715,0,0,42,43,4,10,33,47,36,28,57,127,46,19,33,102,66,15,57,143,69,12,54,142,31,4,41,85,26,0,33,51,0,0,14,22,280,90,370,745,0,0,85,89,3,12,78,92,65,50,119,238,91,34,81,204,118,30,115,260,145,27,101,275,73,10,79,167,53,0,47,96,9,0,24,38,557,177,735,1466
SSC40008,0,0,103,105,0,0,75,73,17,9,48,74,134,22,20,175,181,19,30,228,181,30,27,234,182,9,16,206,56,4,11,68,9,0,4,11,760,99,331,1179,0,0,111,110,0,0,51,58,35,15,24,71,175,29,22,226,179,28,35,244,196,28,39,266,152,8,57,214,29,0,18,46,3,0,21,26,766,102,381,1254,0,3,218,214,0,0,128,128,55,22,66,141,308,50,41,400,357,49,65,474,374,62,69,503,333,21,71,420,82,7,26,113,11,0,22,37,1523,199,707,2434
SSC40009,0,0,17,17,0,0,7,11,5,7,9,19,9,10,8,28,17,15,18,50,17,6,12,36,14,0,12,28,11,0,3,11,0,0,0,3,82,37,88,200,0,0,14,16,0,0,4,4,6,10,7,26,15,9,10,35,19,7,15,42,20,9,12,42,12,0,24,35,6,0,9,16,0,0,3,0,83,41,98,220,0,0,28,28,0,0,13,12,12,14,17,39,22,18,18,59,39,24,35,95,37,16,30,78,33,0,31,63,17,0,8,29,3,0,0,8,161,76,183,421
SSC40010,0,7,302,311,13,49,186,250,242,146,215,604,327,105,138,570,299,95,180,577,249,46,142,434,227,24,86,337,136,3,31,169,33,3,16,55,1526,487,1296,3304,0,12,299,311,21,61,168,251,297,175,222,690,382,115,221,716,277,93,243,607,254,41,196,488,231,18,142,395,95,3,92,190,14,0,43,50,1570,513,1624,3705,0,16,600,617,36,108,358,500,538,318,434,1293,711,223,356,1289,579,188,426,1186,500,85,337,925,463,43,228,732,229,3,125,356,41,7,61,108,3095,996,2919,7003
