SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC40001,26,40,65,519,636,1153,0,0,0,145,152,303,19,28,50,754,893,1645,24,38,56,57,41,104,19,24,45,3,11,15,113,133,244,0,0,0,34,25,59,71,65,138,19,28,48,7,12,14,5,12,23,462,651,1108,186,208,401,44,44,89,2492,2999,5493,32,33,62,34,30,65,3,7,7,0,0,0,7,13,15,28,40,68,35,51,85,2335,2113,4442,26,18,43,12,13,24,2366,2141,4507,372,374,750,5364,5682,11039
SSC40002,310,450,761,349,349,699,0,0,0,70,80,153,0,0,3,826,836,1667,3,5,4,113,114,233,7,15,23,3,0,3,62,67,130,4,8,10,23,37,64,39,53,91,73,75,145,9,10,15,3,8,11,161,179,338,130,151,280,0,3,4,1890,1985,3872,161,125,290,292,198,484,12,12,20,3,3,3,14,11,29,33,36,68,50,50,104,3759,3448,7204,37,24,68,13,13,26,3809,3490,7303,1402,885,2283,7919,7194,15115
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,4,7,16,0,0,0,0,0,0,0,0,0,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,22,0,0,0,0,0,0,25,25,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,31,0,0,0,0,0,0,15,7,31,8,5,11,48,42,96
SSC40005,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,12,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,0,8,3,7,3,0,4,19,18,39
SSC40006,17,29,44,44,63,110,0,0,0,8,7,10,0,0,0,217,279,499,0,3,3,51,70,120,3,7,7,0,0,0,12,17,26,0,0,0,0,0,3,16,13,26,4,7,15,3,0,5,0,0,0,32,37,76,21,30,48,0,0,3,406,533,935,19,15,35,4,3,6,0,0,0,0,0,0,3,4,7,0,3,3,3,3,7,301,270,567,3,0,5,0,0,0,303,273,575,63,55,110,825,906,1724
SSC40007,7,14,22,83,94,180,0,0,0,18,23,39,0,0,0,188,183,369,0,5,5,55,34,86,7,5,9,0,3,5,18,21,38,0,0,3,0,4,7,17,25,44,12,7,16,0,0,3,0,0,0,32,49,84,25,25,43,0,0,0,450,475,929,0,0,3,17,8,29,0,0,0,0,0,0,0,3,4,0,0,0,3,3,5,348,331,674,0,4,10,0,3,3,354,336,688,72,79,144,902,915,1818
SSC40008,6,16,24,226,264,490,0,0,0,34,28,61,0,0,0,164,219,384,7,12,18,19,13,29,0,3,8,0,0,3,34,42,74,0,0,0,4,3,8,6,10,14,19,11,25,0,0,0,5,0,3,77,105,178,44,52,99,4,3,12,653,754,1408,0,0,0,3,0,3,4,4,3,0,0,0,0,0,0,4,3,5,4,3,5,818,792,1605,11,6,22,0,9,5,826,807,1635,133,139,279,1633,1728,3361
SSC40009,4,6,15,23,23,49,0,0,0,4,0,9,0,0,0,30,29,55,0,0,0,9,3,13,0,3,3,0,0,0,3,3,5,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,0,0,16,16,30,16,14,22,0,0,3,99,98,194,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,7,4,4,7,153,148,301,0,0,3,3,0,3,164,149,312,26,16,38,288,282,573
SSC40010,43,58,103,581,674,1261,0,0,0,96,121,215,0,0,3,550,688,1242,10,11,23,28,20,44,26,46,70,9,15,22,72,105,183,0,0,0,14,24,39,47,55,98,33,43,81,4,7,8,5,5,14,246,303,547,171,202,375,3,10,12,1905,2342,4250,12,14,29,9,9,18,0,0,3,0,0,0,0,0,0,14,16,27,13,16,35,2473,2435,4907,18,16,37,10,27,41,2502,2477,4982,570,571,1143,5058,5502,10557
