SSC_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SSC40001,62,70,126,393,361,747,53,49,108,96,100,193,541,507,1049,274,240,512,45,46,93,77,76,152,398,363,761,9,18,26,13,15,22,32,23,49,34,43,76,0,0,0,87,88,176,124,183,302,35,51,83,16,30,45,45,81,125,0,0,0,218,341,563,9,4,12,21,23,40,0,0,0,26,27,53,165,174,337,1502,1563,3067
SSC40002,30,25,59,95,94,193,24,27,52,15,19,39,137,145,277,68,76,145,22,11,32,40,33,75,129,120,245,72,69,146,57,79,139,14,19,28,33,65,102,3,0,3,180,236,421,1476,1678,3159,528,451,977,40,56,98,125,142,264,8,6,13,2170,2337,4511,57,61,122,31,45,78,0,0,0,86,107,199,1158,690,1850,3897,3664,7563
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,9,0,8,0,0,0,0,4,9,6,8,17,0,4,7,0,0,0,0,3,3,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,13,20,33
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
SSC40006,9,6,13,31,30,67,34,53,88,3,5,13,74,86,157,30,40,65,13,17,28,3,5,9,47,54,102,0,3,8,4,5,5,0,0,0,9,7,11,0,0,0,12,12,29,8,20,30,0,8,12,0,4,3,7,12,22,0,0,0,26,42,65,0,0,3,0,0,6,0,0,0,5,3,9,40,43,78,211,248,453
SSC40007,10,9,14,41,40,75,21,21,41,3,6,16,63,63,131,17,19,39,15,12,28,9,7,12,45,37,77,8,3,8,3,3,8,3,3,7,10,15,21,0,0,3,22,23,44,14,21,34,0,16,18,0,8,7,16,20,33,0,0,0,33,58,93,0,0,0,0,11,7,0,0,0,3,11,13,30,46,76,203,240,447
SSC40008,30,21,50,135,134,273,17,30,52,40,44,85,196,215,411,32,46,82,9,18,30,63,63,133,107,136,242,0,0,3,3,3,6,12,0,11,3,6,14,0,0,0,14,14,28,41,45,84,15,18,36,9,4,12,15,35,48,0,0,0,74,103,181,0,0,3,7,3,15,0,0,0,4,8,15,73,77,148,505,575,1075
SSC40009,3,3,7,4,6,9,12,11,22,15,10,29,25,26,52,6,8,11,0,0,3,8,10,15,15,16,23,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,22,16,39,72,67,144
SSC40010,78,80,156,401,387,787,106,125,228,96,98,194,600,610,1205,233,223,451,34,31,69,54,71,129,321,324,647,15,21,32,8,30,31,21,25,42,25,54,83,0,0,3,70,128,203,46,45,92,20,37,58,3,9,20,21,62,81,0,0,0,86,160,245,10,14,26,12,38,46,0,0,0,18,50,75,438,438,877,1611,1791,3408
SSC40011,0,0,0,7,4,11,0,0,0,0,0,0,7,4,11,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,19,19,19,37
SSC40012,3,10,12,27,36,61,36,38,73,8,5,18,71,75,148,21,8,28,25,31,58,7,3,12,54,44,101,0,0,3,5,3,8,3,4,6,5,4,11,0,0,0,16,12,27,44,32,80,3,10,16,0,3,4,7,9,17,0,0,0,60,64,118,0,4,6,4,3,7,0,0,0,7,12,16,38,52,92,252,270,522
SSC40013,11,4,8,28,21,55,0,3,4,3,7,10,32,25,61,7,15,22,3,0,4,4,0,9,14,15,32,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,21,21,44,82,73,160
SSC40014,0,4,3,8,0,14,0,0,0,3,6,5,8,6,18,3,4,4,0,0,0,0,3,3,4,4,10,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,14,27,30,50
SSC40015,3,0,3,5,4,11,0,0,0,0,0,0,5,4,11,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,12,11,25
SSC40016,0,0,0,0,0,3,0,0,0,0,0,5,3,3,6,3,0,3,0,0,3,0,0,0,3,3,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,29,25,19,45
SSC40017,8,3,10,23,22,44,0,0,0,0,0,0,23,22,44,17,13,29,0,0,0,0,0,0,17,13,29,3,0,4,0,0,0,0,0,0,3,0,3,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,3,4,9,17,29,52,74,76,145
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
