SSC_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SSC40001,118,257,395,448,425,350,182,60,28,2254,24,52,134,109,177,225,79,28,11,846,15,32,77,73,101,122,126,47,17,608,0,3,19,11,16,35,26,10,8,132,0,0,4,3,5,12,16,23,17,88,0,0,0,0,0,0,0,0,0,3,12,10,23,17,29,31,10,14,10,156,169,353,642,662,758,779,448,184,91,4085,133,277,482,534,506,347,147,64,33,2520,15,30,71,89,204,280,100,30,20,829,12,19,55,58,119,184,160,71,35,703,0,0,9,15,12,28,29,30,24,156,0,0,3,0,3,13,23,21,27,99,0,0,0,0,0,0,0,0,3,12,8,11,12,12,23,30,21,24,26,176,168,339,626,709,869,877,485,245,167,4489,244,535,874,977,931,697,331,122,57,4773,34,79,202,199,384,501,177,60,27,1673,24,45,130,135,222,305,284,114,48,1309,0,7,21,21,33,65,57,45,41,289
SSC40002,316,1456,1559,693,421,378,279,77,26,5204,35,58,89,54,110,84,50,16,7,489,7,22,54,53,81,64,51,22,5,352,3,18,19,13,27,25,12,3,3,112,0,7,12,15,11,20,16,12,9,99,3,4,7,6,3,5,3,3,0,35,49,191,353,185,156,101,80,29,11,1163,409,1759,2092,1015,802,676,496,158,56,7451,362,1662,1567,561,351,309,239,84,29,5155,22,55,32,59,72,90,60,18,8,411,13,16,31,23,52,53,69,26,7,293,3,17,9,5,6,9,11,3,9,83,3,9,8,4,8,9,12,23,9,76,0,4,3,3,5,0,0,4,3,25,46,176,190,62,59,74,47,31,12,689,450,1931,1840,718,542,552,440,185,78,6730,679,3120,3123,1248,767,687,521,160,49,10359,57,114,116,111,179,173,109,30,15,896,16,44,83,76,128,120,114,51,13,644,6,31,29,18,36,33,29,10,9,198
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,4,0,3,6,0,0,0,0,11,0,0,0,0,3,3,4,0,0,5,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,9,3,3,0,0,35,0,0,0,9,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,3,4,0,0,25,0,4,0,11,9,3,0,0,0,27,0,0,6,0,0,3,0,0,0,11,0,0,0,0,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,3
SSC40005,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,5,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,16,0,0,0,0,3,0,0,0,0,9,0,0,3,0,0,6,0,0,0,8,0,0,0,0,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5
SSC40006,12,33,96,75,47,35,12,4,0,320,6,11,16,29,29,24,3,4,0,113,3,6,11,16,18,24,5,0,0,94,0,0,0,3,0,12,10,6,3,28,0,0,3,3,0,0,10,10,9,44,0,0,0,0,0,0,6,0,0,6,0,3,5,5,3,4,8,10,0,40,30,54,130,130,108,102,51,34,13,649,13,38,98,86,69,37,18,4,0,363,4,5,15,24,31,33,5,3,0,113,0,5,10,13,22,17,14,10,3,94,0,0,0,0,5,5,3,5,3,26,0,0,0,3,3,8,19,21,5,58,0,0,0,0,0,0,0,9,4,15,3,0,3,0,5,7,11,7,3,46,15,57,124,125,130,118,71,61,19,712,21,72,190,161,115,79,31,8,0,684,10,16,28,52,58,52,7,8,0,228,3,17,22,25,35,42,18,7,9,190,0,3,0,3,10,19,12,6,7,56
SSC40007,15,37,77,71,50,60,29,9,0,352,3,7,26,21,41,42,15,5,4,158,3,4,14,15,25,26,31,7,0,127,0,0,5,3,9,6,7,0,4,37,0,0,0,0,4,4,9,9,4,32,0,0,0,0,0,0,0,0,3,8,0,3,5,3,3,3,10,6,5,37,22,53,132,113,125,146,95,46,20,747,17,38,105,64,79,49,29,4,0,390,0,9,16,22,35,41,18,3,0,150,4,0,5,7,19,32,18,15,3,103,0,0,0,3,6,9,6,9,3,30,0,0,0,0,0,7,10,18,18,53,0,0,0,0,0,0,3,5,0,8,0,3,5,0,6,8,7,6,4,39,18,52,134,102,154,144,89,56,23,770,27,80,182,139,124,112,55,19,0,746,7,12,43,44,75,80,30,7,4,302,7,3,22,24,50,59,49,20,3,232,0,0,6,3,10,9,11,6,7,65
SSC40008,34,68,58,155,185,183,144,40,9,878,4,3,14,22,33,44,36,11,3,173,0,3,0,8,22,19,24,10,0,92,0,0,3,0,0,4,4,0,0,20,0,0,0,0,0,0,3,3,0,14,0,0,0,0,0,0,0,0,0,5,4,3,3,11,5,12,3,5,0,54,48,78,77,191,252,261,223,74,13,1224,25,51,67,219,200,202,128,30,10,921,6,3,4,7,31,47,49,6,4,157,0,3,4,4,18,24,36,13,6,106,0,0,0,0,3,0,13,0,3,23,0,0,0,0,0,0,3,3,3,14,0,0,0,0,0,0,0,0,0,0,3,0,9,11,9,18,15,8,7,81,37,57,79,240,261,291,244,57,35,1292,56,122,121,369,383,379,273,66,16,1792,5,3,21,23,64,90,86,21,5,329,3,4,3,15,39,43,63,23,5,196,0,0,3,0,7,4,16,3,3,41
SSC40009,5,5,8,22,25,17,9,6,3,101,0,7,6,5,12,6,7,0,0,44,0,0,5,3,12,12,6,3,0,43,0,0,0,0,3,0,3,0,0,8,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,0,3,0,0,17,13,11,20,30,55,44,29,13,3,224,0,3,18,26,24,25,18,8,0,124,0,0,0,3,14,9,3,0,0,36,4,0,3,0,6,6,9,3,3,41,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,12,11,10,24,39,46,47,43,16,0,226,6,6,28,47,46,45,25,14,3,228,0,9,11,11,26,16,12,0,0,82,4,4,10,6,18,21,19,5,3,84,4,0,0,0,3,3,8,0,0,16
SSC40010,51,142,282,313,208,162,115,55,14,1349,25,55,162,148,184,131,50,23,3,785,14,43,126,109,156,114,113,46,12,730,0,12,40,23,36,37,42,15,10,221,3,3,4,0,4,20,39,34,17,130,0,0,0,3,4,0,0,0,0,13,16,26,54,51,58,61,41,31,11,354,123,281,670,647,652,523,405,208,74,3581,75,168,435,458,273,170,137,60,14,1797,16,56,134,156,176,155,76,20,3,790,17,31,111,87,135,149,140,57,16,749,5,10,19,16,20,18,37,25,18,168,0,0,7,3,4,15,30,32,24,117,0,0,0,0,0,0,0,0,0,3,14,22,57,51,62,55,55,34,25,385,135,292,758,776,679,569,476,225,108,4003,129,308,715,773,482,333,255,111,30,3142,44,112,295,305,361,285,123,36,9,1574,35,80,235,196,291,257,251,107,31,1482,10,17,54,41,61,58,75,42,25,386
