SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC40001,0,0,3,3,9,26,44,45,48,182,0,0,0,0,0,0,3,0,3,17,22,26,32,29,57,57,37,40,33,327,334,691,1273,1364,1629,1653,936,432,263,8569
SSC40002,3,14,14,16,20,37,25,35,18,180,3,6,8,6,8,3,5,5,3,53,94,367,544,253,214,170,131,61,21,1854,852,3684,3927,1729,1345,1228,936,344,129,14186
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,11,13,16,6,12,0,0,60
SSC40005,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,15,8,0,4,34
SSC40006,0,0,3,6,4,10,30,35,9,95,0,0,0,0,0,3,7,6,4,19,3,3,9,8,6,11,16,18,4,88,44,104,256,254,237,220,117,93,30,1360
SSC40007,0,0,3,0,3,11,21,27,24,87,0,0,0,0,0,0,3,4,3,16,3,3,13,0,11,13,17,9,3,76,39,103,271,209,275,288,187,101,42,1521
SSC40008,0,0,0,0,0,3,9,9,9,25,0,0,0,0,0,0,0,0,4,6,6,6,10,22,17,29,20,10,7,133,76,139,156,435,512,552,468,135,54,2522
SSC40009,0,0,0,0,0,0,8,3,0,13,0,0,0,0,0,0,0,0,0,0,5,0,3,7,10,3,4,0,0,29,16,16,43,70,102,90,76,29,8,451
SSC40010,5,3,9,4,9,39,67,65,45,245,0,0,0,3,4,0,3,4,0,14,35,48,109,107,122,117,98,67,39,733,263,573,1431,1422,1326,1085,877,426,179,7583
SSC40011,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,4,0,0,20,3,14,10,20,26,27,24,7,0,131
SSC40012,3,0,7,0,3,6,18,24,15,77,0,0,3,0,0,5,0,8,0,11,3,0,11,10,15,11,17,17,5,89,57,140,231,224,309,272,155,95,25,1515
SSC40013,0,0,0,3,0,5,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,9,11,8,8,0,0,41,7,17,62,70,58,59,35,3,3,324
SSC40014,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,3,7,17,16,31,24,7,0,109
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3,7,9,11,8,6,0,0,48
SSC40016,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,9,6,6,0,3,29,7,8,15,7,28,28,11,0,3,113
SSC40017,0,5,14,6,13,5,4,0,0,45,0,0,3,0,0,0,0,0,0,8,0,5,5,4,16,4,0,0,0,46,27,62,76,53,66,23,10,3,3,319
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
SSC40019,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,8,15,3,0,30,5,6,17,18,32,46,66,15,3,203
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11
SSC40022,0,0,3,4,3,0,5,0,0,14,0,0,4,3,0,5,6,0,0,18,0,3,11,14,13,7,8,3,3,58,3,9,42,27,34,38,20,6,3,185
SSC40023,0,0,0,0,0,3,12,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,15,10,0,35,6,5,29,29,58,51,53,30,6,268
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,6,0,0,3,30
SSC40026,0,6,30,24,23,41,32,17,8,172,0,0,10,17,13,15,3,3,0,55,31,51,116,63,66,30,17,13,0,393,246,719,1650,1038,817,487,217,69,17,5271
SSC40027,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,3,14,15,7,0,0,46
SSC40028,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,9,7,0,0,37
SSC40029,0,0,3,3,5,10,35,41,18,108,0,0,0,0,0,0,3,0,0,3,7,5,13,10,15,21,8,17,3,109,54,81,194,277,312,296,236,122,38,1618
SSC40030,0,3,9,4,9,13,29,32,32,143,0,0,4,8,17,15,8,6,10,62,3,6,10,15,10,12,17,16,37,119,25,88,240,216,194,161,104,87,108,1220
SSC40031,3,5,0,4,8,13,29,19,8,82,0,0,0,0,0,0,3,0,3,5,6,9,19,19,13,11,13,12,7,114,93,173,284,450,492,270,206,94,24,2091
SSC40032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,4,10,10,6,0,0,33
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,8
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,8
SSC40035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,3,0,0,14
SSC40036,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,15,16,8,3,0,68
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,3,0,0,0,0,10
SSC40038,0,0,3,3,4,16,26,44,28,120,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,10,24,19,14,83,18,35,89,70,115,233,220,162,74,1019
SSC40039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,16,19,10,8,0,0,0,54
SSC40040,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,7,3,0,14,6,3,36,58,48,60,44,15,3,273
SSC40041,0,0,0,0,0,4,11,4,7,30,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,6,8,0,0,32,5,13,35,28,48,65,49,9,6,258
SSC40042,0,0,0,0,0,0,4,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,6,4,3,11,19,23,28,18,4,4,115
SSC40043,0,0,8,6,13,15,36,51,25,139,0,3,3,3,3,4,3,3,0,18,0,20,40,24,31,15,23,13,10,178,79,358,683,479,346,311,256,169,62,2742
SSC40044,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,8,9,3,3,0,0,28,3,19,11,32,52,62,37,5,0,227
SSC40045,0,0,0,0,0,0,9,6,12,34,0,0,0,0,0,0,0,0,0,0,0,3,14,3,6,8,8,9,15,65,17,84,183,114,99,85,98,85,61,828
SSC40046,0,0,3,0,0,3,5,5,0,15,0,0,0,0,0,0,0,0,0,0,5,6,0,3,4,5,0,0,0,27,16,35,40,43,76,98,64,18,12,406
SSC40047,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,4,4,7,0,23
SSC40048,0,0,4,6,3,33,131,138,24,343,0,0,3,0,0,6,14,21,10,55,4,13,17,33,32,35,50,47,14,249,225,616,936,1138,1422,1312,1004,499,102,7259
SSC40049,0,0,13,8,14,16,18,19,16,109,0,0,3,3,18,11,8,11,3,67,6,9,18,21,18,13,18,3,4,123,60,169,387,288,239,189,104,47,41,1518
SSC40050,0,0,0,3,0,3,6,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,11,3,16,27,16,9,5,82,12,20,71,53,115,152,90,41,12,566
SSC40051,0,0,0,0,3,3,9,11,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,13,19,39,66,59,69,134,85,38,10,514
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,4,3,4,0,0,22
SSC40053,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,18,14,20,19,11,0,0,78
SSC40054,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,18,3,10,24,22,22,15,7,7,3,102
SSC40055,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,14,8,12,3,0,0,42
SSC40056,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,3,0,0,16,0,3,19,12,23,31,44,10,3,139
SSC40057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,4,15,8,21,7,4,3,69
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,10
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40061,0,3,0,7,8,7,47,55,54,180,0,0,0,0,0,0,0,0,0,3,4,3,17,12,11,8,21,20,16,111,39,108,199,217,247,257,268,163,120,1616
SSC40062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,10,6,0,0,23
SSC40063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3
SSC40064,0,0,0,0,0,0,3,3,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,10,18,12,13,4,68
SSC40065,0,0,0,0,4,4,16,18,7,39,0,0,0,0,0,0,0,0,0,0,4,6,8,10,7,14,12,11,0,73,42,91,145,187,252,234,197,85,34,1270
SSC40066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,0,16
SSC40067,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,12,7,0,0,52
SSC40068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,0,4,0,36
SSC40069,0,3,0,0,4,4,31,26,13,81,0,0,0,0,0,0,0,3,0,3,8,8,29,29,27,17,29,18,5,171,75,160,404,456,423,370,450,174,42,2549
SSC40070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,9,9,24,19,15,3,0,86
SSC40071,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,13
SSC40072,0,4,11,9,10,29,62,104,51,281,0,0,0,0,0,7,10,17,4,42,18,5,16,23,43,45,51,37,23,251,62,130,265,274,378,415,395,297,142,2363
SSC40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC40075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,9,8,14,10,3,0,48
SSC40076,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,7,14,8,6,4,3,48
SSC40077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,3,0,7,0,0,0,23
