SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC40001,3,47,194,182,216,189,61,11,4,911,0,16,105,165,146,132,22,3,0,585,0,5,106,142,156,101,12,0,0,528,0,0,42,91,98,75,17,0,0,317,0,0,41,82,158,70,10,0,4,374,0,0,7,19,35,39,0,0,0,99,35,29,50,35,58,61,40,30,19,360,846,691,1273,1366,1629,1657,933,432,263,9098
SSC40002,10,97,341,136,103,91,73,11,3,865,4,46,290,113,69,48,58,8,4,637,3,20,250,117,74,74,32,5,3,573,0,6,136,108,80,63,30,9,4,441,4,11,181,189,135,101,54,20,8,696,3,7,64,92,92,109,76,22,3,463,104,389,540,259,215,162,142,62,18,1900,1011,3714,3936,1731,1347,1228,941,347,129,14375
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,11,5,4,11,13,16,6,12,0,0,71
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,5,4,15,8,0,4,33
SSC40006,0,3,29,30,26,22,3,0,0,113,4,4,32,32,22,14,0,0,0,113,0,0,13,22,5,7,0,0,0,49,0,0,10,3,11,12,0,0,0,40,0,0,3,19,21,3,0,0,0,43,0,0,0,6,3,3,3,0,0,15,14,6,18,17,8,12,14,15,10,103,98,107,256,254,239,220,117,93,30,1418
SSC40007,0,4,36,30,37,35,6,10,3,157,0,0,20,15,29,14,0,0,0,85,0,0,17,12,20,21,3,0,0,79,0,0,14,23,21,18,0,0,0,74,0,0,5,13,12,10,0,0,0,43,0,0,3,5,3,3,0,3,0,15,3,4,13,12,18,10,10,11,0,86,97,103,271,209,275,288,187,101,42,1572
SSC40008,0,9,20,34,54,51,50,11,0,226,0,5,13,36,40,53,28,4,0,180,0,0,13,47,52,44,19,3,0,179,0,0,7,32,48,36,9,3,0,127,0,0,10,61,59,68,18,3,0,212,0,0,6,48,61,50,22,3,0,192,13,3,8,25,20,33,23,18,15,161,232,139,156,435,512,552,468,135,54,2668
SSC40009,0,0,7,9,6,13,0,3,0,43,0,0,0,4,9,7,3,0,0,17,0,0,3,6,8,5,0,0,0,17,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,5,3,0,4,5,3,4,3,0,28,31,16,43,70,102,90,73,29,8,465
SSC40010,3,31,185,171,161,89,42,7,4,691,0,13,111,107,87,40,9,4,0,373,0,4,73,95,66,34,6,3,0,281,0,0,40,54,49,21,12,0,0,176,0,0,28,49,46,19,9,3,0,160,3,0,13,27,9,18,5,5,0,82,91,50,122,115,127,112,87,62,50,807,665,573,1429,1426,1326,1085,876,431,179,7999
