SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC40001,134,27,263,2205,2896,1282,801,1573,337,9098
SSC40002,52,20,129,3707,3283,809,385,4309,1885,14375
SSC40003,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,23,12,17,11,4,3,71
SSC40005,0,0,4,3,6,3,9,15,0,33
SSC40006,5,6,30,329,389,178,119,304,106,1418
SSC40007,17,3,42,377,480,184,116,318,94,1572
SSC40008,18,4,54,551,836,457,346,342,139,2668
SSC40009,0,0,8,102,136,67,55,68,32,465
SSC40010,100,25,179,1684,2265,1080,882,1347,743,7999
SSC40011,0,0,0,29,39,22,14,16,13,132
SSC40012,9,3,25,388,465,185,112,350,82,1575
SSC40013,0,0,3,69,84,53,65,38,34,352
SSC40014,0,0,0,20,29,17,18,18,14,118
SSC40015,0,0,0,12,13,9,6,3,7,52
SSC40016,3,0,3,26,23,16,15,10,26,115
SSC40017,0,0,3,56,94,62,17,63,40,333
SSC40018,0,0,0,0,0,0,3,0,0,6
SSC40019,0,0,3,24,55,23,23,37,37,208
SSC40020,0,0,0,0,3,0,3,0,0,5
SSC40021,0,0,0,3,3,0,0,0,3,11
SSC40022,0,0,3,27,43,16,10,42,48,188
SSC40023,3,3,6,47,72,33,27,56,42,273
SSC40024,0,0,0,3,0,0,0,3,3,4
SSC40025,0,0,3,7,8,3,5,3,0,32
SSC40026,10,4,17,1208,1545,605,557,1274,402,5595
SSC40027,0,0,0,7,18,6,7,6,3,46
SSC40028,0,0,0,6,7,4,12,5,3,40
SSC40029,10,3,38,370,500,249,195,259,120,1697
SSC40030,72,30,108,235,240,85,93,506,116,1271
SSC40031,7,3,24,469,634,331,244,414,125,2226
SSC40032,0,0,0,3,12,4,5,7,5,35
SSC40033,0,0,0,0,7,0,0,0,0,8
SSC40034,0,0,0,0,3,4,0,3,3,8
SSC40035,0,0,0,3,7,0,0,0,0,14
SSC40036,0,0,0,12,15,15,11,13,6,71
SSC40037,0,0,0,0,0,0,0,6,7,10
SSC40038,42,14,74,145,243,153,146,274,81,1047
SSC40039,0,0,0,7,19,6,4,19,3,54
SSC40040,0,0,3,76,79,53,39,19,13,283
SSC40041,3,0,6,42,88,27,32,50,29,268
SSC40042,3,0,4,20,40,21,15,11,13,119
SSC40043,28,5,62,732,783,259,193,674,184,2818
SSC40044,0,0,0,37,71,38,25,31,29,232
SSC40045,21,14,61,203,233,93,55,187,66,845
SSC40046,5,0,12,75,130,77,38,63,40,425
SSC40047,0,0,0,8,3,0,4,9,0,31
SSC40048,42,16,102,1856,2274,1089,716,1482,249,7663
SSC40049,19,0,41,319,330,162,135,547,105,1593
SSC40050,9,3,12,113,171,74,56,94,72,583
SSC40051,3,0,10,121,163,75,63,116,12,536
SSC40052,0,0,0,4,3,3,3,3,3,19
SSC40053,0,0,0,18,21,14,9,3,10,85
SSC40054,0,0,3,32,26,12,9,9,22,113
SSC40055,0,0,0,12,6,5,12,9,0,48
SSC40056,0,0,3,23,41,23,17,17,10,141
SSC40057,0,0,3,22,19,13,4,8,3,69
SSC40058,0,0,0,0,0,0,0,0,0,3
SSC40059,0,0,0,3,3,0,0,0,0,12
SSC40060,0,0,0,0,0,0,0,0,0,3
SSC40061,66,28,120,302,422,231,184,406,140,1684
SSC40062,0,0,0,3,14,9,0,0,0,23
SSC40063,0,0,0,4,0,3,0,0,0,3
SSC40064,0,0,4,7,28,6,8,18,3,72
SSC40065,5,3,34,312,428,200,130,185,95,1346
SSC40066,0,0,0,0,3,6,0,0,6,16
