SSC_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SSC40001,16,418,21,449,14,321,15,353,41,580,27,642,58,578,19,662,93,640,25,758,122,626,28,779,78,357,21,451,25,146,15,184,8,70,10,91,451,3736,180,4367,19,365,18,402,9,314,13,341,65,547,15,626,109,588,13,708,169,674,29,869,215,629,29,878,95,375,18,488,24,205,22,245,7,143,18,167,714,3839,180,4732,28,785,34,846,30,635,29,691,103,1124,47,1273,174,1168,36,1366,266,1312,56,1629,337,1261,61,1657,164,727,42,933,43,347,34,432,14,212,31,263,1167,7572,358,9098
SSC40002,18,414,58,494,62,1510,203,1768,64,1668,361,2094,66,759,186,1015,69,576,159,805,75,505,96,676,45,365,86,496,9,118,28,158,0,40,10,56,410,5950,1196,7558,13,453,48,515,68,1696,178,1944,86,1570,187,1838,66,594,59,718,90,395,56,549,99,391,59,554,60,335,48,442,15,138,32,185,5,57,10,78,511,5627,687,6825,37,863,110,1011,124,3207,377,3714,151,3233,544,3936,133,1350,246,1731,159,974,220,1347,173,899,160,1228,106,695,139,941,29,259,60,347,6,104,22,129,921,11578,1878,14375
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,3,0,3,0,4,0,3,0,5,0,5,3,0,0,3,0,11,0,9,4,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,5,33,0,37,0,3,0,3,0,0,0,0,0,4,0,4,3,3,0,12,0,4,0,9,3,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,5,22,0,28,3,4,0,5,0,4,0,4,0,11,0,11,4,7,0,13,4,15,0,16,3,3,0,6,0,12,0,12,0,0,0,0,0,0,0,0,16,50,3,71
SSC40005,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,12,0,16,0,3,0,3,0,0,0,0,0,3,0,3,0,5,0,5,0,4,0,4,4,8,0,15,3,6,0,8,0,0,0,0,0,4,0,4,3,28,0,33
SSC40006,0,43,6,56,0,48,3,55,4,125,5,130,22,106,4,130,18,83,7,108,20,86,3,102,9,42,7,51,3,25,8,34,0,12,0,13,74,559,44,678,0,42,3,46,4,54,0,57,13,108,3,124,28,92,3,125,23,98,5,130,24,82,3,118,10,51,7,71,3,43,13,61,0,15,7,19,109,582,57,742,3,85,9,98,9,100,3,107,12,228,14,256,47,197,8,254,40,183,12,239,43,168,8,220,17,86,14,117,10,64,18,93,0,18,13,30,177,1142,98,1418
SSC40007,3,46,3,49,3,47,7,53,9,112,5,132,10,90,3,113,26,90,7,125,19,115,7,146,14,74,8,95,4,33,4,46,0,20,0,20,94,629,50,778,3,37,0,43,3,43,5,52,15,112,5,134,17,86,0,102,31,109,15,154,31,112,6,144,21,60,10,89,0,50,10,56,0,17,3,23,122,629,48,797,4,86,3,97,9,84,9,103,28,231,16,271,30,177,7,209,55,202,17,275,53,227,13,288,31,133,20,187,9,82,15,101,0,34,3,42,219,1259,101,1572
SSC40008,3,103,3,112,4,72,5,78,5,69,5,77,23,162,13,191,36,211,4,252,44,206,12,261,32,186,6,223,4,61,11,74,3,10,0,13,158,1076,58,1295,7,101,14,115,4,50,0,59,9,68,9,79,31,197,10,240,47,198,15,261,88,186,18,291,45,186,12,244,7,43,6,57,3,34,3,35,237,1055,84,1376,9,202,15,232,9,118,10,139,13,132,11,156,51,357,27,435,83,406,22,512,135,392,29,552,79,367,16,468,9,105,20,135,3,44,4,54,393,2131,148,2668
SSC40009,0,16,3,19,0,9,0,11,3,14,0,20,3,28,3,30,3,50,5,55,8,34,0,44,9,24,0,29,0,9,0,13,0,3,0,3,29,184,18,231,0,13,0,13,0,8,0,10,7,20,0,24,10,30,0,39,12,31,0,46,17,32,0,47,3,35,4,42,0,11,0,16,0,3,0,0,43,177,13,235,0,31,4,31,0,15,0,16,9,38,4,43,12,51,0,70,14,81,7,102,24,63,3,90,15,60,4,73,3,23,0,29,0,4,0,8,75,359,27,465
SSC40010,15,270,53,332,10,243,27,281,48,565,54,673,44,550,54,652,82,518,55,652,66,408,51,523,45,314,41,402,14,163,24,208,8,53,15,74,333,3077,381,3794,16,284,36,334,19,250,22,289,93,612,54,758,144,581,54,772,110,510,65,679,115,400,49,569,80,350,49,474,22,160,42,223,0,100,7,108,588,3244,377,4207,31,549,88,665,32,495,49,573,137,1186,110,1429,185,1128,109,1426,189,1026,119,1326,178,806,106,1085,126,660,91,876,38,321,73,431,11,152,22,179,919,6324,760,7999
