SSC_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SSC40001,0,12,0,12,414,19,449,10,12,0,19,320,12,353,174,25,3,206,420,23,642,392,19,19,424,219,18,662,249,19,3,265,466,28,758,38,96,0,136,614,28,779,7,102,0,112,330,10,451,0,10,0,10,158,14,184,0,0,0,0,83,7,91,863,294,24,1183,3019,166,4367,3,26,0,27,355,15,402,15,21,0,32,294,13,341,275,25,22,322,295,12,626,444,33,26,506,190,15,708,235,73,6,321,532,21,869,23,223,0,243,605,34,878,3,122,0,129,334,25,488,0,19,0,19,215,18,245,0,0,0,0,151,17,167,992,544,58,1595,2971,168,4732,3,38,0,40,769,36,846,20,28,0,52,610,26,691,451,46,25,519,712,36,1273,832,50,42,929,408,35,1366,484,96,7,589,995,51,1629,62,313,0,379,1217,61,1657,11,228,0,238,664,34,933,0,30,0,30,373,29,432,0,0,0,0
SSC40002,0,6,0,5,422,59,494,5,8,0,15,1558,193,1768,98,31,3,128,1602,359,2094,198,16,3,216,610,186,1015,112,16,3,128,525,149,805,19,36,0,57,526,88,676,3,53,0,56,360,81,496,0,6,0,7,122,29,158,3,0,0,6,44,6,56,441,174,14,627,5772,1160,7558,0,11,0,14,461,40,515,15,21,4,33,1732,171,1944,142,64,3,211,1445,180,1838,210,30,11,253,407,64,718,77,31,3,119,378,52,549,8,81,0,86,398,67,554,4,95,0,97,297,50,442,0,18,0,18,137,27,185,0,3,0,6,58,13,78,465,350,21,837,5321,671,6825,3,20,0,23,889,100,1011,21,26,4,49,3295,365,3714,242,94,4,337,3053,544,3936,410,44,16,465,1019,248,1731,192,46,8,244,899,204,1347,27,118,0,147,926,156,1228,10,142,0,159,655,133,941,0,27,0,28,260,61,347,3,3,0,10
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,3,0,3,0,0,0,0,4,0,3,3,0,0,3,3,0,5,3,0,0,3,0,0,3,0,0,0,0,6,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,27,3,37,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,4,0,0,4,5,0,0,5,0,0,12,0,0,0,0,7,0,9,0,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15,15,0,28,0,0,0,0,5,0,5,0,0,0,0,4,0,4,5,0,0,5,3,0,11,8,0,0,8,0,0,13,8,0,0,8,13,0,16,0,0,0,0,0,0,6,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,21,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,16,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,3,0,0,3,3,0,4,0,4,0,5,11,0,15,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0
SSC40006,0,0,0,0,49,5,56,0,0,0,0,47,0,55,26,0,0,29,100,9,130,59,0,3,69,59,5,130,35,0,0,39,63,3,108,3,10,0,14,86,5,102,3,0,0,4,42,4,51,0,0,0,0,28,4,34,0,0,0,0,12,0,13,132,17,6,151,478,40,678,0,0,0,0,41,10,46,6,4,0,4,42,3,57,44,9,3,54,65,3,124,73,3,4,79,43,3,125,41,14,0,55,67,8,130,4,21,0,24,79,6,118,0,15,0,15,50,4,71,0,3,0,5,46,4,61,0,0,0,0,10,9,19,166,61,10,239,452,52,742,0,0,0,0,89,8,98,6,6,0,7,91,4,107,75,8,3,81,163,9,256,132,3,12,147,105,6,254,74,13,0,94,132,16,239,10,29,0,44,167,12,220,3,16,0,16,91,16,117,0,3,0,5,76,11,93,0,0,0,0
SSC40007,0,3,0,3,44,3,49,0,3,0,7,47,3,53,26,7,3,35,95,5,132,44,4,0,42,62,4,113,27,3,0,39,84,8,125,11,14,0,29,107,5,146,0,8,0,11,84,6,95,0,0,0,0,40,3,46,0,0,0,0,17,3,20,112,48,7,166,577,38,778,0,7,0,8,36,0,43,0,3,0,3,41,4,52,36,8,0,46,87,5,134,53,9,8,73,27,0,102,33,13,0,44,96,9,154,3,23,0,29,108,6,144,3,15,0,19,70,7,89,0,0,0,3,46,3,56,0,3,0,3,16,0,23,133,85,13,227,531,40,797,0,12,0,14,75,3,97,4,10,0,8,82,3,103,60,10,3,73,181,9,271,95,12,6,119,93,4,209,59,16,4,78,180,17,275,16,46,3,61,218,11,288,3,26,0,24,151,11,187,4,3,0,6,85,9,101,0,3,0,3
SSC40008,0,9,0,9,98,3,112,0,4,0,4,73,3,78,13,4,0,17,57,4,77,118,3,9,134,49,13,191,129,4,0,134,106,5,252,15,26,0,41,207,16,261,3,64,0,67,158,5,223,0,11,0,11,63,9,74,0,0,0,0,16,0,13,279,129,7,417,822,55,1295,0,3,0,3,100,12,115,0,3,0,6,47,3,59,23,3,3,32,45,9,79,176,7,18,199,31,12,240,113,11,7,139,114,13,261,7,69,3,80,194,20,291,0,94,0,94,142,14,244,0,10,0,10,43,8,57,0,0,0,0,29,3,35,323,203,33,556,745,81,1376,0,19,0,19,196,19,232,0,12,0,9,120,5,139,37,4,6,49,98,9,156,292,13,27,333,77,24,435,242,20,7,273,222,18,512,18,96,3,120,403,34,552,3,152,0,153,296,12,468,0,20,0,20,103,11,135,0,0,0,0
SSC40009,0,3,0,3,15,3,19,0,0,0,0,9,0,11,7,0,0,7,12,0,20,17,0,3,17,10,3,30,15,3,0,19,36,5,55,3,7,0,9,28,0,44,0,3,0,4,26,3,29,0,0,0,0,13,0,13,0,0,0,0,3,0,3,38,24,4,63,147,17,231,0,3,0,3,13,4,13,0,0,0,0,4,0,10,14,0,0,18,11,0,24,29,0,3,33,3,0,39,17,0,0,14,23,0,46,4,11,0,13,31,0,47,0,13,0,13,30,3,42,0,0,0,0,11,0,16,0,0,0,0,3,0,0,61,30,3,94,130,16,235,0,4,0,4,25,5,31,3,0,0,3,12,0,16,18,0,0,23,23,4,43,44,3,4,50,18,0,70,26,9,0,38,59,7,102,5,16,0,26,65,3,90,0,11,0,18,56,9,73,0,0,0,0,26,0,29,0,0,0,0
SSC40010,3,23,0,27,251,52,332,27,17,0,44,207,30,281,286,15,19,324,296,52,673,374,18,19,410,188,55,652,185,40,8,233,368,50,652,23,66,0,92,377,52,523,4,59,0,59,307,41,402,0,8,0,8,174,22,208,0,3,0,5,58,14,74,907,248,47,1201,2223,366,3794,7,31,0,38,264,31,334,51,25,4,82,184,22,289,422,39,37,500,210,51,758,487,40,26,549,174,44,772,151,72,7,235,388,58,679,8,147,0,157,362,50,569,4,84,0,89,339,41,474,0,8,0,15,173,44,223,0,0,0,0,98,8,108,1130,460,79,1661,2190,359,4207,9,57,0,69,516,88,665,84,38,4,129,397,48,573,705,59,49,820,509,108,1429,862,55,49,964,363,101,1426,331,115,16,466,750,106,1326,27,217,0,245,738,102,1085,3,145,0,145,648,84,876,0,20,0,20,344,65,431,3,3,0,6
