SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC40001,234,29,263,1860,839,83,2775,5987,336,9098
SSC40002,102,17,129,902,524,31,1460,11088,1826,14375
SSC40003,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,22,0,0,20,46,0,71
SSC40005,4,0,4,6,4,0,8,30,0,33
SSC40006,24,6,30,296,78,12,387,937,93,1418
SSC40007,35,7,42,245,131,18,394,1104,77,1572
SSC40008,49,3,54,598,332,43,967,1564,140,2668
SSC40009,4,0,8,98,50,8,159,278,30,465
SSC40010,149,25,179,2031,712,121,2866,4415,725,7999
SSC40011,0,0,0,27,14,0,39,79,14,132
SSC40012,21,3,25,273,121,6,402,1092,79,1575
SSC40013,0,3,3,107,38,3,151,157,38,352
SSC40014,0,0,0,18,12,3,34,75,6,118
SSC40015,0,0,0,15,4,0,13,30,7,52
SSC40016,3,0,3,21,9,0,29,57,29,115
SSC40017,0,0,3,45,67,62,176,112,42,333
SSC40018,0,0,0,0,0,0,0,0,3,6
SSC40019,3,0,3,29,11,0,37,130,34,208
SSC40020,0,0,0,0,3,0,3,4,0,5
SSC40021,0,0,0,0,0,0,3,6,3,11
SSC40022,0,0,3,14,16,5,36,103,52,188
SSC40023,3,3,6,41,12,0,46,188,35,273
SSC40024,0,0,0,0,0,0,0,8,0,4
SSC40025,3,0,3,10,3,0,13,15,0,32
SSC40026,15,4,17,1714,390,78,2182,3036,375,5595
SSC40027,0,0,0,12,3,0,16,31,3,46
SSC40028,0,0,0,10,3,0,14,24,0,40
SSC40029,31,3,38,337,167,17,518,1065,112,1697
SSC40030,79,25,108,261,61,3,328,841,98,1271
SSC40031,18,3,24,626,175,25,824,1279,116,2226
SSC40032,0,0,0,5,3,0,5,23,5,35
SSC40033,0,0,0,0,3,0,3,7,0,8
SSC40034,0,0,0,0,0,0,3,10,0,8
SSC40035,0,0,0,8,3,0,11,3,0,14
SSC40036,0,0,0,13,5,0,17,46,4,71
SSC40037,0,0,0,0,0,0,0,3,7,10
SSC40038,59,10,74,103,65,3,172,794,78,1047
SSC40039,0,0,0,16,4,0,17,37,3,54
SSC40040,0,0,3,63,24,3,91,180,14,283
SSC40041,6,0,6,48,23,3,74,166,27,268
SSC40042,4,0,4,23,4,0,34,80,15,119
SSC40043,58,5,62,492,180,5,683,1968,164,2818
SSC40044,0,0,0,33,20,0,61,145,26,232
SSC40045,48,17,61,127,47,0,179,602,63,845
SSC40046,12,0,12,89,42,0,137,256,29,425
SSC40047,0,0,0,3,3,0,8,18,0,31
SSC40048,88,12,102,1478,704,58,2242,5197,227,7663
SSC40049,38,0,41,378,81,6,467,1036,94,1593
SSC40050,13,3,12,82,41,4,123,383,72,583
SSC40051,12,0,10,89,61,0,152,372,16,536
SSC40052,0,0,0,7,0,0,4,17,3,19
SSC40053,0,0,0,29,4,0,32,43,10,85
SSC40054,0,0,3,25,4,0,34,62,18,113
SSC40055,0,0,0,14,6,0,16,23,0,48
SSC40056,3,0,3,13,26,0,38,89,10,141
SSC40057,3,0,3,17,7,0,20,46,3,69
SSC40058,0,0,0,0,0,0,0,0,0,3
SSC40059,0,0,0,0,0,0,3,3,0,12
SSC40060,0,0,0,0,0,0,0,0,0,3
SSC40061,99,20,120,297,140,12,452,1114,125,1684
SSC40062,0,0,0,8,3,0,7,15,3,23
SSC40063,0,0,0,3,0,0,3,4,0,3
SSC40064,4,0,4,5,9,0,9,55,0,72
SSC40065,30,0,34,270,132,19,416,857,77,1346
SSC40066,0,0,0,5,0,0,3,4,6,16
SSC40067,0,0,0,9,4,0,13,42,0,51
SSC40068,0,0,0,3,6,0,6,20,6,39
SSC40069,30,3,42,572,294,24,887,1602,176,2666
SSC40070,0,0,0,23,11,0,35,61,4,94
SSC40071,0,0,0,5,0,0,5,16,0,16
SSC40072,126,16,142,360,151,14,532,1709,234,2467
SSC40073,0,0,0,0,0,0,0,0,0,0
SSC40074,0,0,0,3,0,0,3,0,0,3
SSC40075,0,0,0,3,4,0,11,33,8,51
SSC40076,0,0,3,8,0,0,9,35,7,54
SSC40077,0,0,0,10,3,0,8,11,3,23
SSC40078,3,0,3,58,20,3,76,154,4,241
SSC40079,4,0,4,16,7,0,18,29,4,53
SSC40080,0,0,0,0,0,0,3,29,9,42
SSC40081,15,0,18,87,54,5,145,357,39,539
SSC40082,0,0,0,0,0,0,0,8,0,8
SSC40083,0,0,0,12,4,0,16,31,4,49
SSC40084,65,10,79,446,211,18,672,1334,105,2114
SSC40085,0,0,0,0,0,0,0,0,0,0
SSC40086,7,4,13,180,83,3,267,1288,84,1642
SSC40087,0,0,0,15,4,0,18,42,3,62
SSC40088,157,37,195,741,386,55,1175,2336,198,3714
SSC40089,0,0,0,14,0,0,19,22,4,42
SSC40090,0,0,0,16,8,0,22,31,9,58
SSC40091,147,13,162,365,269,22,650,1482,114,2251
SSC40092,0,0,0,7,0,0,7,14,0,19
SSC40093,0,0,0,0,3,0,3,4,3,5
SSC40094,0,0,0,27,16,3,42,48,3,96
SSC40095,0,0,0,0,3,0,3,9,0,6
SSC40096,115,24,143,589,196,16,800,2185,348,3327
SSC40097,3,0,3,23,17,0,41,66,11,119
SSC40098,0,0,0,3,0,0,10,39,0,52
SSC40099,35,0,40,274,88,16,376,878,72,1326
SSC40100,23,0,23,241,71,3,320,802,87,1211
SSC40101,3,0,3,38,13,3,48,153,18,219
SSC40102,0,0,0,0,0,0,0,3,0,4
SSC40103,0,0,0,11,6,0,21,51,0,69
SSC40104,0,0,0,0,0,0,0,0,0,0
SSC40105,0,0,0,10,3,0,13,41,3,65
SSC40106,0,0,0,5,0,0,7,21,0,25
SSC40107,14,0,15,223,76,11,311,664,68,1046
SSC40108,15,4,25,247,108,4,362,1002,58,1428
SSC40109,29,5,38,312,134,8,459,1054,107,1619
SSC40110,0,0,0,3,0,0,3,33,0,39
SSC40111,0,0,0,0,3,0,5,39,0,44
SSC40112,0,0,0,0,3,0,3,28,3,31
SSC40113,0,0,0,6,5,0,13,28,3,45
SSC40114,0,0,0,5,6,0,14,48,6,66
SSC40115,0,0,0,5,3,0,12,9,9,24
SSC40116,0,0,0,10,5,0,15,23,0,38
SSC40117,123,15,136,703,376,36,1115,2186,189,3488
SSC40118,106,14,116,676,194,27,901,2600,274,3780
SSC40119,34,4,36,1447,422,61,1927,3218,280,5423
SSC40120,0,0,0,74,34,4,108,178,13,306
SSC40121,0,0,0,0,3,0,4,9,8,21
SSC40122,4,3,10,35,20,0,52,173,38,266
SSC40123,0,0,0,19,6,0,24,26,11,59
SSC40124,0,0,0,68,27,0,93,165,20,275
SSC40125,0,0,0,3,0,0,3,24,3,32
SSC40126,0,0,0,0,4,0,7,22,0,31
SSC40127,9,3,6,101,24,16,135,234,16,393
SSC40128,0,0,0,9,0,0,12,31,3,41
SSC40129,0,0,0,0,0,0,0,0,0,0
SSC40130,0,0,0,12,0,0,10,0,0,10
SSC40131,3,0,3,12,21,0,35,179,44,265
SSC40132,0,0,0,0,0,0,0,8,3,6
SSC40133,0,0,0,0,0,0,4,11,0,15
SSC40134,0,0,0,0,0,0,0,5,0,5
SSC40135,12,0,8,34,16,0,49,121,12,177
SSC40136,0,0,0,23,9,3,34,57,7,95
SSC40137,0,0,0,10,3,0,10,21,3,29
SSC40138,34,4,39,73,26,3,101,310,30,440
SSC40139,0,0,0,5,0,0,4,10,0,10
SSC40140,0,0,0,7,0,0,8,6,0,10
