SSC_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SSC40001,..,7,214,413,520,605,328,129,38,2248,..,31,117,87,70,51,15,4,0,373,..,4,3,22,20,18,3,3,0,74,965,..,..,..,..,..,..,..,..,965,..,368,..,..,..,..,..,..,..,368,..,287,155,32,18,3,0,0,0,493,..,27,5,5,0,5,5,0,0,50,..,13,11,4,4,0,3,0,0,47,..,14,34,7,9,3,10,0,5,84,..,8,50,49,61,47,48,22,21,300,7,18,17,14,9,6,4,0,0,83,974,771,605,633,714,738,416,163,63,5084,..,4,299,447,574,566,265,105,28,2297,..,43,125,82,68,44,13,0,0,385,..,3,46,106,127,72,25,9,5,395,926,..,..,..,..,..,..,..,..,926,..,379,..,..,..,..,..,..,..,379,..,186,88,11,3,5,3,0,0,293,..,26,8,0,3,16,13,11,7,86,..,25,0,0,0,0,3,0,0,30
SSC40002,..,18,288,256,155,188,179,63,26,1172,..,149,296,97,63,57,27,8,0,680,..,0,0,13,24,9,7,4,0,61,306,..,..,..,..,..,..,..,..,306,..,89,..,..,..,..,..,..,..,89,..,29,29,11,8,0,0,0,0,77,..,104,29,4,6,11,3,0,0,163,..,63,39,8,0,3,0,0,0,118,..,822,425,74,41,18,6,5,0,1398,..,204,323,239,227,179,136,37,16,1368,16,59,69,29,24,11,10,4,0,222,326,1528,1508,736,556,479,373,116,39,5663,..,26,358,237,162,186,166,50,15,1199,..,174,286,76,45,40,25,0,0,658,..,6,21,60,56,42,15,10,11,218,321,..,..,..,..,..,..,..,..,321,..,81,..,..,..,..,..,..,..,81,..,34,29,9,7,5,0,0,0,84,..,99,43,11,10,7,4,3,7,181,..,81,38,0,0,0,0,0,0,126
SSC40003,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC40004,..,0,0,3,8,0,3,0,0,18,..,0,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,9,5,3,9,3,3,0,0,43,..,0,0,4,4,0,4,0,0,21,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,12,..,..,..,..,..,..,..,..,12,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC40005,..,0,0,0,0,3,0,0,0,9,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,8,0,0,0,19,..,0,0,0,0,4,0,0,0,7,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC40006,..,0,37,70,53,52,25,17,3,258,..,3,32,19,15,9,0,0,0,78,..,0,4,0,9,0,0,0,0,18,134,..,..,..,..,..,..,..,..,134,..,35,..,..,..,..,..,..,..,35,..,33,24,14,7,0,0,0,0,78,..,3,4,0,4,4,0,0,0,21,..,3,0,3,0,0,0,0,0,6,..,7,6,7,4,3,4,0,0,41,..,10,13,12,13,24,18,6,5,97,3,0,3,0,3,0,3,0,0,17,139,99,123,129,104,96,51,32,13,782,..,3,52,62,60,41,23,16,0,264,..,12,25,20,14,7,0,0,0,76,..,0,3,14,36,14,4,8,3,82,157,..,..,..,..,..,..,..,..,157,..,45,..,..,..,..,..,..,..,45,..,25,14,0,3,0,0,0,0,40,..,4,4,3,0,4,4,5,3,30,..,4,0,0,0,0,0,0,0,5
SSC40007,..,0,30,39,52,72,42,28,9,278,..,8,26,18,10,18,4,0,0,77,..,0,3,0,13,8,3,3,3,30,123,..,..,..,..,..,..,..,..,123,..,42,..,..,..,..,..,..,..,42,..,30,27,7,10,3,4,0,0,83,..,8,4,8,3,6,5,0,0,35,..,0,0,0,0,0,0,0,0,0,..,7,10,0,3,3,8,0,0,27,..,4,20,26,27,29,23,13,9,140,0,0,10,3,0,0,3,0,0,15,123,97,124,108,121,135,87,39,20,860,..,4,37,50,65,68,31,26,0,288,..,7,30,20,15,10,4,0,0,89,..,0,8,24,25,9,6,4,9,86,108,..,..,..,..,..,..,..,..,108,..,37,..,..,..,..,..,..,..,37,..,24,20,0,7,3,0,0,0,56,..,0,3,3,3,7,0,0,0,11,..,0,0,0,0,0,0,0,0,3
SSC40008,..,0,17,132,178,181,182,56,9,763,..,3,9,18,23,30,10,4,0,94,..,0,0,0,4,3,0,0,0,11,317,..,..,..,..,..,..,..,..,317,..,101,..,..,..,..,..,..,..,101,..,62,34,6,4,0,0,0,0,105,..,7,3,0,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,8,..,3,5,4,6,3,3,0,0,21,..,3,5,4,13,18,13,3,0,62,4,3,3,6,4,0,5,0,0,27,323,184,76,174,234,235,212,68,11,1526,..,0,35,176,182,192,157,29,3,775,..,3,15,24,22,31,7,0,0,101,..,0,0,17,22,12,13,5,6,71,335,..,..,..,..,..,..,..,..,335,..,117,..,..,..,..,..,..,..,117,..,26,17,5,3,0,3,0,0,55,..,7,0,0,0,4,3,3,3,24,..,3,0,0,0,0,0,0,0,5
SSC40009,..,0,5,12,17,19,14,11,0,81,..,0,7,5,15,5,0,0,0,31,..,0,0,0,0,0,0,0,0,0,57,..,..,..,..,..,..,..,..,57,..,13,..,..,..,..,..,..,..,13,..,11,3,0,0,0,0,0,0,18,..,0,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,3,0,0,7,0,0,0,0,8,..,0,4,8,12,10,9,4,0,46,0,0,0,3,0,0,0,0,0,11,60,27,20,27,50,36,26,11,3,265,..,0,6,11,19,22,12,6,0,88,..,0,10,13,7,9,0,0,0,38,..,0,4,8,11,3,3,0,0,29,44,..,..,..,..,..,..,..,..,44,..,10,..,..,..,..,..,..,..,10,..,4,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
SSC40010,..,13,249,330,304,249,228,136,33,1542,..,59,138,105,94,45,19,3,3,467,..,6,16,26,36,26,3,0,3,113,1162,..,..,..,..,..,..,..,..,1162,..,240,..,..,..,..,..,..,..,240,..,170,73,19,15,6,0,0,0,279,..,22,15,8,8,8,5,0,0,64,..,11,14,11,6,6,0,0,0,50,..,22,29,12,17,12,8,0,0,109,..,21,62,62,106,87,72,28,16,443,11,17,10,10,7,9,12,3,0,94,1180,574,615,583,593,451,347,176,58,4563,..,21,303,382,280,260,231,96,14,1586,..,68,165,116,90,31,18,0,0,497,..,29,119,158,147,44,19,13,6,527,1178,..,..,..,..,..,..,..,..,1178,..,230,..,..,..,..,..,..,..,230,..,128,36,7,5,7,4,0,0,190,..,18,10,3,6,13,11,5,3,72,..,21,5,0,3,5,0,0,0,37
