SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC40001,..,21,13,3,8,9,3,3,0,53,..,7,21,33,50,106,102,87,61,464,6,16,15,4,7,12,18,3,3,76,933,709,615,692,848,838,446,215,101,5387,..,9,507,860,1091,1171,599,240,63,4543,..,72,238,168,139,98,29,3,3,756,..,9,51,126,149,93,25,12,5,467,1894,..,..,..,..,..,..,..,..,1894,..,752,..,..,..,..,..,..,..,752,..,474,241,44,23,6,3,0,0,786,..,46,14,3,3,21,20,6,7,136,..,43,13,9,6,0,3,0,0,75,..,33,52,11,15,17,13,3,5,135,..,13,74,83,113,148,148,108,75,759,17,33,30,17,15,20,20,4,3,159,1908,1486,1219,1326,1559,1576,862,378,165,10467
SSC40002,..,952,408,50,24,22,16,7,0,1472,..,181,259,155,154,151,135,86,33,1148,12,67,43,20,4,14,9,5,0,177,336,1703,1492,617,463,465,376,150,60,5671,..,41,646,494,320,373,344,112,36,2366,..,320,586,169,106,99,54,7,0,1340,..,8,21,69,80,48,20,12,11,281,635,..,..,..,..,..,..,..,..,635,..,176,..,..,..,..,..,..,..,176,..,58,64,22,12,5,3,0,0,161,..,200,76,11,18,18,10,3,8,345,..,145,81,10,3,8,0,0,0,245,..,1767,834,131,66,38,20,9,0,2863,..,385,573,396,381,332,277,123,51,2511,30,127,120,49,31,28,19,4,0,406,661,3239,2995,1354,1016,942,751,271,102,11328
SSC40003,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,12,4,3,4,0,0,45,..,0,0,10,15,3,12,0,0,37,..,3,5,0,0,3,0,0,0,7,..,0,0,0,0,0,0,0,0,0,28,..,..,..,..,..,..,..,..,28,..,8,..,..,..,..,..,..,..,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,28,12,11,13,18,3,12,0,0,87
SSC40005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,18,..,0,0,0,3,8,5,0,4,19,..,0,3,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,4,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,3,4,3,3,5,4,15,8,0,4,39
SSC40006,..,3,4,7,0,10,0,0,0,29,..,0,12,6,13,22,31,25,10,129,0,0,3,3,0,3,0,3,0,13,156,102,118,123,127,110,64,55,17,865,..,3,90,138,118,94,42,36,3,522,..,12,55,35,24,20,0,0,0,154,..,0,6,18,43,15,3,5,3,98,288,..,..,..,..,..,..,..,..,288,..,80,..,..,..,..,..,..,..,80,..,57,37,17,5,3,0,0,0,121,..,5,9,4,4,11,10,5,3,49,..,5,0,4,0,0,0,0,0,16,..,17,12,13,5,8,3,4,0,65,..,11,23,22,27,49,44,37,14,223,9,3,3,6,3,3,5,3,0,36,293,199,243,246,230,207,115,84,25,1650
SSC40007,..,3,9,0,6,0,0,0,0,23,..,3,21,13,20,31,31,27,5,157,3,3,3,0,4,0,0,0,0,19,117,91,132,102,143,142,83,52,18,876,..,3,70,88,119,144,74,53,9,568,..,16,47,36,27,30,13,0,0,170,..,0,8,22,39,20,11,8,13,114,239,..,..,..,..,..,..,..,..,239,..,73,..,..,..,..,..,..,..,73,..,63,41,7,17,3,4,0,0,140,..,15,10,10,3,13,9,0,0,46,..,0,3,3,0,0,0,0,0,3,..,7,20,0,10,6,10,0,0,55,..,4,43,35,46,62,52,38,15,295,3,5,10,3,3,0,3,0,0,38,238,188,256,208,269,273,173,99,35,1739
SSC40008,..,0,4,0,0,7,6,0,0,23,..,3,3,3,5,16,35,18,11,92,9,3,0,4,0,3,6,0,0,26,339,167,72,231,243,268,220,46,26,1614,..,0,55,311,364,375,337,82,11,1535,..,3,22,43,48,56,15,7,0,195,..,3,4,19,25,16,14,3,6,82,655,..,..,..,..,..,..,..,..,655,..,222,..,..,..,..,..,..,..,222,..,90,45,12,6,3,3,0,0,163,..,12,3,0,0,6,3,3,4,34,..,7,0,0,3,0,0,0,0,9,..,8,8,8,3,9,7,0,0,40,..,6,9,9,26,33,49,19,14,160,13,6,3,10,8,4,6,0,0,48,663,355,148,407,477,508,433,113,37,3135
SSC40009,..,0,0,0,0,0,0,0,0,4,..,0,4,0,5,14,17,6,3,43,0,3,0,0,0,0,0,0,0,6,50,24,26,35,42,42,40,16,0,266,..,0,12,29,39,37,33,17,3,165,..,0,14,15,24,13,0,0,0,71,..,0,4,8,11,3,5,0,0,31,101,..,..,..,..,..,..,..,..,101,..,19,..,..,..,..,..,..,..,19,..,16,3,0,3,0,0,0,0,22,..,0,3,0,0,0,0,3,0,7,..,3,0,0,0,0,0,0,0,5,..,4,0,0,7,0,0,0,0,13,..,0,8,4,16,21,24,7,0,85,0,3,0,3,0,0,3,0,0,13,108,45,41,65,95,78,66,29,8,535
SSC40010,..,20,18,9,12,19,8,0,0,87,..,14,32,40,65,109,104,78,24,472,23,21,10,4,9,10,11,6,0,91,1195,582,704,723,615,499,410,195,50,4973,..,36,553,714,582,511,464,231,41,3122,..,129,307,215,179,76,41,3,7,967,..,33,133,183,176,70,20,13,9,639,2336,..,..,..,..,..,..,..,..,2336,..,471,..,..,..,..,..,..,..,471,..,298,108,26,21,13,4,0,0,472,..,37,28,11,15,17,17,7,5,136,..,38,24,12,7,11,0,0,0,87,..,43,52,23,34,31,10,0,0,198,..,34,97,104,173,196,173,102,39,915,38,41,18,17,18,21,22,7,0,187,2373,1158,1312,1306,1206,944,752,370,108,9529
