SSC_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SSC40001,369,0,0,0,0,0,0,34,402,313,9,4,0,0,0,0,19,341,187,53,34,11,5,0,0,10,298,97,81,89,39,9,0,3,9,332,49,65,138,55,13,11,0,9,344,41,46,170,86,9,3,0,11,366,35,61,203,79,26,0,5,10,423,44,55,188,111,22,6,3,10,446,34,59,233,101,27,12,3,17,485,30,54,182,75,37,10,0,9,393,30,30,116,74,15,6,5,10,294,8,15,90,56,13,0,0,5,192,10,14,48,47,14,4,4,8,148,11,12,30,22,16,7,6,3,106,7,15,53,46,15,12,6,10,167,1270,565,1576,804,220,74,45,179,4732
SSC40002,456,0,0,0,0,0,0,58,515,1694,21,3,0,0,0,0,221,1944,950,50,8,0,0,0,0,137,1147,491,86,22,7,0,0,0,88,694,241,95,46,16,0,0,0,40,436,129,68,45,8,0,5,0,32,284,104,43,62,15,4,0,0,24,257,105,65,64,17,5,5,3,26,291,75,51,81,29,8,3,0,32,281,64,53,83,23,10,5,3,26,268,75,33,106,38,9,6,3,30,286,32,24,42,38,10,0,0,14,157,21,9,35,18,7,0,3,16,120,8,11,12,16,10,3,0,7,70,12,9,22,11,6,9,4,9,78,4454,594,627,250,84,27,23,763,6825
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,4,5,0,0,0,28
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,16
SSC40006,44,0,0,0,0,0,0,5,46,45,4,0,0,0,0,0,0,57,43,13,5,0,0,0,0,3,66,26,18,16,0,0,0,0,4,58,18,7,19,3,3,0,0,0,55,13,12,28,10,0,0,0,3,69,9,10,25,11,3,3,0,0,62,12,7,29,15,5,3,0,5,69,7,9,15,8,3,3,0,4,56,13,8,21,9,0,0,0,3,61,9,10,17,9,5,0,0,3,41,0,3,13,9,4,0,0,3,28,0,7,11,8,0,0,3,0,26,0,4,9,3,3,3,6,6,34,0,0,3,4,5,0,4,3,19,237,107,208,93,35,18,15,43,742
SSC40007,36,0,0,0,0,0,0,5,43,42,0,0,0,0,0,0,3,52,51,9,8,0,0,0,0,4,71,42,6,10,0,0,0,0,0,64,14,17,13,4,0,0,0,0,54,9,14,15,7,0,3,0,0,52,14,7,37,9,0,0,0,9,77,24,6,22,21,3,3,0,0,76,14,16,26,5,10,0,0,4,76,11,10,28,11,7,0,0,4,71,3,4,21,13,3,0,3,4,49,7,3,12,9,3,4,0,0,42,0,3,7,4,3,0,3,4,30,4,0,6,16,0,4,3,0,28,0,0,3,8,7,0,4,0,23,275,94,215,96,36,13,16,46,797
SSC40008,98,0,0,0,0,0,0,19,115,56,0,0,0,0,0,0,3,59,19,5,3,0,0,0,0,7,36,20,6,17,4,0,0,0,3,48,16,13,45,12,7,0,0,6,93,7,17,81,23,7,3,0,6,144,16,16,54,33,12,3,0,4,134,17,16,57,21,6,0,0,3,125,16,13,63,27,13,3,0,6,133,20,21,59,33,7,3,0,5,156,20,12,68,35,9,0,3,10,154,13,7,27,22,9,3,0,3,86,0,0,13,11,3,0,0,0,38,0,0,4,8,5,0,0,6,22,6,3,13,0,3,3,0,4,35,317,141,492,236,83,18,8,82,1376
SSC40009,13,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,10,7,5,0,0,0,0,0,0,12,3,3,7,0,0,0,0,0,18,0,0,13,0,0,0,0,0,18,0,5,13,0,0,0,0,0,21,4,3,8,3,0,0,0,0,23,7,3,10,0,0,0,0,0,24,0,3,9,6,0,0,0,0,18,3,6,7,3,3,0,0,0,24,0,7,11,3,0,0,0,0,25,0,3,3,5,0,3,0,0,16,0,0,3,3,0,0,0,0,9,0,0,0,3,0,0,0,0,8,0,0,3,0,0,0,0,0,0,52,37,86,35,10,3,3,12,235
SSC40010,293,5,0,0,0,0,0,34,334,195,41,27,0,0,0,0,25,289,122,80,83,27,8,0,0,23,342,85,85,126,58,22,3,0,34,421,50,59,141,70,23,12,8,27,392,44,48,133,86,38,8,3,22,383,39,41,114,74,28,14,4,39,345,42,52,124,65,19,10,3,22,332,33,25,102,59,24,7,9,27,287,33,31,114,46,28,0,6,23,282,29,25,114,64,23,7,0,13,273,16,17,71,34,30,10,3,18,197,8,5,29,41,21,11,3,19,136,10,4,11,28,13,3,8,11,94,9,5,20,26,20,9,9,8,108,1004,525,1216,682,297,86,49,347,4207
