SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC40001,1163,2305,19,102,146,650,34,137,700,2705,898,3591,113,471,204,697,329,1033,649,2203,1550,5799,4,25,41,125,14,40,151,409,206,596,27,78,59,138,172,364,257,576,466,1171,24,57,3198,9330
SSC40002,1467,2854,0,0,18,84,3,14,327,1104,347,1205,14,50,41,126,53,154,104,321,454,1528,0,0,11,43,3,7,106,246,121,288,15,44,60,130,81,166,158,335,281,625,142,293,2340,5304
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,7,17,0,0,0,3,0,0,6,38,10,41,4,10,0,8,0,3,3,24,19,64,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,25,82
SSC40005,6,17,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,9,3,9,0,0,0,0,0,0,0,5,0,5,0,0,0,4,0,0,0,4,0,7,0,0,16,30
SSC40006,150,302,3,16,18,72,4,11,113,423,132,526,11,40,17,67,37,111,67,213,198,743,3,16,8,38,3,12,28,69,41,125,3,13,7,20,41,84,57,116,101,241,13,20,457,1310
SSC40007,201,394,7,29,11,40,5,23,86,328,105,420,15,48,18,62,36,121,69,232,173,654,0,3,5,14,3,16,37,87,42,119,3,9,14,26,59,123,71,154,118,277,9,19,503,1346
SSC40008,412,808,5,39,57,281,5,24,238,960,310,1306,24,86,57,194,84,253,165,535,475,1836,0,9,8,27,0,0,27,68,39,107,8,21,9,18,35,69,52,111,83,217,7,10,977,2881
SSC40009,58,116,0,0,3,18,0,3,33,136,39,161,7,28,6,17,15,36,25,77,67,239,0,0,3,5,0,3,17,43,22,55,0,0,0,0,10,14,10,14,29,61,0,3,153,420
SSC40010,930,1833,15,88,122,592,32,142,747,2924,917,3747,54,209,64,219,141,434,257,857,1176,4605,8,44,58,193,25,76,320,839,404,1144,30,86,58,116,148,304,231,511,637,1658,23,57,2763,8147
SSC40011,26,49,0,0,0,3,3,8,11,37,12,49,0,0,0,0,4,11,4,11,12,61,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,5,3,8,0,0,38,111
SSC40012,203,397,3,10,14,79,0,4,119,447,142,544,15,73,23,88,53,177,98,342,236,881,0,0,11,28,0,0,18,42,25,72,0,3,13,27,35,81,49,108,70,179,12,23,524,1481
SSC40013,40,75,0,7,7,30,3,11,42,156,51,205,3,14,7,16,11,34,17,67,70,267,0,3,0,0,0,0,5,10,9,20,0,0,0,3,6,9,3,12,14,32,0,0,117,373
SSC40014,23,39,0,3,0,3,0,5,10,44,16,59,0,0,0,9,3,11,3,15,20,71,0,0,0,3,0,4,0,4,3,13,0,0,0,0,0,0,0,0,3,13,0,0,44,122
