SSC_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SSC40001,16,0,6,0,24,5,4,3,0,8,9,3,5,0,22,4,3,19,0,19,37,3,27,4,68,27,16,35,0,79,146,22,44,0,211,109,27,62,3,196,144,84,62,6,286,118,115,41,4,277,62,130,35,3,231,75,142,17,0,242,170,306,31,0,515,83,211,13,0,305,59,126,4,0,187,14,70,0,0,82,21,106,0,0,129,65,174,51,0,289,13,7,4,0,20,1163,1550,466,24,3198
SSC40002,89,13,19,34,158,14,7,8,7,31,12,3,3,6,28,10,4,9,3,25,36,6,22,6,69,28,14,24,8,71,69,12,17,5,102,66,23,32,18,131,103,28,21,15,169,87,25,20,12,146,68,14,12,5,98,87,21,16,3,127,192,75,34,9,306,133,37,6,3,181,76,20,8,8,111,72,24,6,3,106,174,65,8,3,242,130,57,21,0,208,11,4,5,6,23,1467,454,281,142,2340
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,7,19,0,0,25
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,16
SSC40006,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,0,3,6,3,5,0,15,0,0,4,0,10,18,4,11,0,35,3,6,14,0,30,11,22,8,0,40,12,14,14,0,37,9,19,11,3,35,10,14,7,0,38,37,38,3,3,78,18,20,0,0,36,3,10,0,0,19,3,12,0,0,11,3,12,0,0,14,10,27,11,0,47,3,3,6,0,9,150,198,101,13,457
SSC40007,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,5,0,9,0,16,4,0,7,0,15,31,6,13,0,48,14,10,10,0,36,14,16,14,3,48,12,12,7,0,29,8,12,4,0,28,23,22,7,0,54,29,23,10,0,64,14,21,5,3,43,6,13,0,0,21,7,7,0,0,14,7,11,0,0,14,13,15,12,0,43,0,3,3,0,5,201,173,118,9,503
SSC40008,0,0,0,0,3,5,0,0,0,5,4,3,3,0,9,3,0,3,0,3,10,0,0,0,13,7,3,11,0,20,25,4,5,0,38,24,8,13,0,40,53,10,11,0,73,42,13,4,0,58,32,12,8,0,48,24,18,9,0,47,43,50,10,0,107,36,66,3,0,106,22,53,3,0,79,19,41,0,0,54,41,120,0,0,162,27,66,9,0,103,3,5,0,0,8,412,475,83,7,977
SSC40009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,4,0,3,5,0,14,3,3,3,0,5,4,0,3,0,10,11,8,5,0,22,8,5,3,0,19,3,9,0,0,12,4,5,0,0,7,4,8,0,0,16,3,7,0,0,7,4,3,0,0,7,0,0,0,0,0,0,3,0,0,4,3,13,4,0,18,0,0,0,0,0,58,67,29,0,153
SSC40010,3,0,11,0,17,8,3,4,0,16,4,7,15,0,24,5,0,37,0,40,40,11,49,0,108,33,10,96,0,139,179,39,103,0,325,82,56,70,4,212,108,120,53,8,287,100,140,50,3,293,61,130,28,0,218,50,97,19,4,165,99,201,22,3,328,38,109,3,0,156,16,50,0,0,69,6,24,3,0,29,11,28,4,0,43,66,140,48,0,250,11,17,17,3,45,930,1176,637,23,2763
