SSC_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SSC40001,18,14,30,4,10,18,20,47,61,19,55,80,62,160,227,72,93,165,209,69,275,194,86,275,281,94,377,272,51,320,225,42,268,241,32,270,514,27,540,309,5,312,197,0,194,92,8,103,135,0,136,295,19,312,16,20,41,3165,833,3999
SSC40002,138,530,672,32,102,140,23,269,290,28,243,265,63,260,326,72,197,270,96,195,294,126,234,359,159,279,434,144,245,386,112,194,304,128,184,313,314,300,611,179,51,229,112,21,134,107,135,247,249,26,280,207,155,365,21,75,100,2326,3690,6014
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,5,0,5,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,23,7,31
SSC40005,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,4,22
SSC40006,3,10,9,0,3,3,3,14,21,0,36,32,13,59,74,9,19,22,30,15,49,26,20,49,43,8,54,37,19,61,32,3,34,36,7,37,79,11,92,34,0,40,21,0,18,14,3,19,11,0,10,50,3,52,10,16,22,450,252,705
SSC40007,3,4,9,0,0,0,7,13,19,7,38,43,14,70,80,13,23,39,48,30,73,37,31,65,44,31,80,26,20,49,28,15,40,50,8,59,68,6,72,47,0,50,22,0,22,19,4,20,17,0,18,41,4,47,4,9,11,490,318,812
SSC40008,0,9,9,5,3,10,4,11,16,3,13,18,13,30,36,21,11,28,34,15,51,38,20,57,68,18,82,56,11,68,43,11,58,45,14,57,104,10,109,114,0,114,75,0,78,64,9,67,169,0,169,106,3,107,7,5,14,966,178,1143
SSC40009,0,0,0,0,0,0,3,11,12,3,5,9,8,22,30,10,4,21,9,16,27,10,7,14,22,8,31,18,5,22,11,3,12,9,0,13,13,0,13,12,0,12,4,0,4,0,3,3,3,0,3,18,3,25,0,0,3,152,95,240
SSC40010,16,18,34,10,11,26,14,67,84,36,86,116,97,204,294,127,103,226,310,101,409,221,115,334,281,88,373,290,47,339,228,36,257,170,25,196,337,20,358,157,7,159,66,0,72,33,10,45,55,0,57,253,17,269,44,45,87,2727,1013,3740
SSC40011,0,0,0,0,0,0,0,4,3,0,3,3,3,10,12,0,0,3,3,3,10,0,0,0,3,0,5,8,0,8,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,41,17,57
SSC40012,0,9,11,0,3,3,4,17,21,5,10,14,14,29,46,14,18,26,35,23,61,28,22,46,42,29,70,41,13,51,44,14,58,35,10,49,70,13,90,53,0,53,30,0,30,20,0,20,32,0,34,44,5,48,8,6,13,517,216,725
SSC40013,3,0,3,0,0,0,0,3,5,0,3,5,3,12,10,3,3,12,7,4,12,4,3,9,10,3,12,12,0,9,5,0,5,8,0,11,17,0,17,11,0,11,7,0,7,3,0,3,7,0,7,12,0,12,0,3,3,121,32,148
SSC40014,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,4,3,0,3,0,0,3,4,0,4,3,0,3,4,0,4,4,0,4,3,0,3,4,0,4,0,0,0,0,0,0,10,0,10,0,0,0,41,7,46
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,8,0,0,0,0,0,3,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,23
SSC40016,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,0,0,3,0,4,3,0,6,3,0,3,3,0,3,4,0,4,6,0,6,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,32,12,44
SSC40017,0,0,0,0,0,0,3,0,4,0,0,0,5,0,3,3,0,7,3,0,3,9,0,10,3,0,8,9,4,15,3,0,0,3,4,5,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,6,0,3,68,19,81
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC40019,0,0,3,3,0,7,0,4,11,4,3,5,3,9,14,3,0,5,9,0,9,8,0,6,7,0,7,6,3,4,3,0,3,7,0,7,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,3,3,66,33,98
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40022,0,0,0,0,0,0,0,3,3,0,3,3,3,3,7,0,0,0,3,0,3,8,0,8,3,8,9,0,4,4,0,0,0,0,3,3,3,7,11,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,29,34,67
SSC40023,0,4,3,0,3,3,0,8,7,0,20,20,3,24,23,4,3,7,4,3,6,4,0,4,5,3,11,6,3,6,3,0,4,4,0,9,8,0,11,7,0,7,3,0,3,0,0,3,3,4,4,8,0,7,3,8,8,65,83,150
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,16
SSC40026,12,19,30,5,4,14,16,21,31,40,25,64,61,57,121,126,35,160,161,71,229,170,86,254,207,82,286,233,38,274,186,27,216,168,13,180,232,18,250,140,0,142,44,3,43,17,3,22,17,0,17,178,17,188,30,16,44,2027,545,2576
SSC40027,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,19,5,27
SSC40028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,7,0,0,0,0,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,19
SSC40029,3,3,5,3,0,7,5,10,17,7,22,25,21,56,72,13,21,33,47,20,64,42,36,83,58,33,90,53,12,66,39,9,48,39,3,45,70,6,74,46,0,43,27,0,27,6,3,11,40,0,40,61,3,61,10,10,17,581,244,828
SSC40030,7,9,15,9,3,12,4,18,20,9,47,55,14,20,37,18,7,25,31,9,42,34,6,47,29,9,36,40,8,49,22,5,28,24,3,22,43,3,43,29,0,29,11,0,11,3,0,8,3,0,3,24,3,30,4,9,10,356,161,518
SSC40031,3,3,3,3,3,6,7,6,9,3,11,14,10,26,31,10,9,19,41,12,49,51,10,56,57,15,66,56,7,62,59,3,63,46,0,53,134,6,137,95,0,95,52,0,59,30,4,33,41,0,41,86,0,89,6,3,10,774,111,889
SSC40032,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
SSC40035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SSC40036,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,22,9,36
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40038,3,9,11,3,6,8,0,13,10,0,26,22,19,59,79,9,33,46,74,21,92,25,17,42,33,9,45,26,10,35,17,5,17,22,3,26,26,3,28,12,0,12,12,0,12,3,3,4,4,0,4,33,3,37,9,9,22,337,222,555
SSC40039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC40040,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,3,0,4,3,3,7,12,0,7,14,0,16,8,0,7,6,0,9,15,0,15,8,0,8,11,0,11,4,0,4,3,0,3,14,0,14,0,0,3,106,19,127
SSC40041,0,0,0,3,0,3,0,3,3,0,5,4,4,8,10,7,3,7,9,0,9,9,8,15,13,4,16,7,3,11,8,0,8,3,0,3,8,0,8,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,0,0,3,82,35,119
SSC40042,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,6,0,7,4,0,6,0,0,0,3,0,0,0,0,3,3,0,8,11,0,11,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,0,0,0,38,18,62
SSC40043,10,15,20,4,10,14,8,31,38,5,70,76,16,122,142,32,45,76,68,52,124,68,71,138,90,60,151,67,36,107,70,45,112,46,21,74,104,34,141,65,11,77,25,5,28,14,8,24,12,3,21,60,23,84,3,22,23,786,681,1470
SSC40044,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,3,4,0,6,0,3,9,6,4,7,4,0,4,8,3,7,13,0,9,8,0,8,7,0,7,7,0,7,3,3,7,0,0,0,12,0,12,3,3,8,73,23,95
SSC40045,4,9,12,3,0,4,0,3,4,0,17,17,3,21,23,4,22,27,12,22,29,17,24,40,36,17,50,22,7,26,21,18,40,20,8,32,24,8,30,20,4,21,13,0,9,6,3,9,11,0,11,24,8,29,4,4,9,249,192,441
