SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC40001,125,1195,1685,633,303,3931,68,3999
SSC40002,2289,2598,754,81,37,5762,247,6014
SSC40003,0,0,0,0,0,0,0,0
SSC40004,0,3,7,3,14,25,3,31
SSC40005,0,3,8,0,3,16,3,22
SSC40006,63,244,264,70,30,678,24,705
SSC40007,88,349,245,71,30,785,21,812
SSC40008,12,238,572,176,124,1123,16,1143
SSC40009,10,94,91,21,14,237,12,240
SSC40010,138,1387,1443,474,163,3603,138,3740
SSC40011,0,15,24,7,12,60,0,57
SSC40012,37,268,273,86,38,704,30,725
SSC40013,0,27,56,36,22,144,8,148
SSC40014,0,10,18,19,4,48,4,46
SSC40015,0,4,9,3,7,23,0,23
SSC40016,0,4,17,6,7,40,3,44
SSC40017,47,20,10,0,0,81,7,81
SSC40018,0,3,0,0,0,4,0,4
SSC40019,3,37,46,9,0,90,8,98
SSC40020,0,0,0,0,0,3,0,3
SSC40021,0,0,3,0,0,3,0,3
SSC40022,13,35,9,7,3,65,4,67
SSC40023,10,52,46,22,10,145,9,150
SSC40024,0,0,0,0,0,0,0,0
SSC40025,0,0,3,0,3,16,0,16
SSC40026,107,928,1075,284,113,2500,69,2576
SSC40027,0,6,14,6,3,27,0,27
SSC40028,0,3,3,4,7,19,0,19
SSC40029,32,260,312,128,73,804,19,828
SSC40030,69,205,158,52,17,497,20,518
SSC40031,14,154,353,195,159,872,17,889
SSC40032,0,3,6,3,4,16,0,16
SSC40033,0,0,3,0,0,3,0,3
SSC40034,0,0,3,0,0,3,0,8
SSC40035,0,0,4,3,0,7,0,7
SSC40036,0,8,13,7,10,34,0,36
SSC40037,0,0,0,0,0,0,0,0
SSC40038,29,238,180,46,22,524,26,555
SSC40039,0,0,0,0,0,4,0,6
SSC40040,0,23,53,34,13,129,0,127
SSC40041,0,38,43,21,12,116,3,119
SSC40042,0,9,22,9,17,60,0,62
SSC40043,158,699,421,96,47,1417,50,1470
SSC40044,0,15,42,21,17,89,0,95
SSC40045,51,225,113,29,11,421,18,441
SSC40046,5,27,70,40,33,168,3,173
SSC40047,0,0,4,3,0,9,0,9
SSC40048,85,976,1398,513,286,3264,76,3338
SSC40049,65,244,264,74,28,672,25,698
SSC40050,7,73,120,41,29,268,10,275
SSC40051,3,42,95,48,24,208,0,208
SSC40052,0,0,4,0,3,9,0,9
SSC40053,0,9,12,14,6,41,0,41
SSC40054,0,8,18,10,4,36,0,35
SSC40055,0,0,10,3,4,22,0,22
SSC40056,0,16,24,15,7,62,0,62
SSC40057,0,5,11,8,9,32,3,37
SSC40058,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,4,0,4
SSC40060,0,0,0,0,0,0,0,0
SSC40061,50,308,276,128,54,820,20,840
SSC40062,0,3,10,3,0,9,0,9
SSC40063,0,0,0,5,0,4,0,4
SSC40064,3,14,16,3,0,38,0,39
SSC40065,8,137,242,107,70,560,16,580
SSC40066,0,3,0,0,0,6,0,6
SSC40067,0,11,8,3,3,27,0,27
SSC40068,0,4,0,6,11,15,0,15
SSC40069,33,332,545,169,80,1159,22,1181
SSC40070,0,5,6,10,17,32,0,37
SSC40071,0,0,3,0,8,11,0,11
SSC40072,103,442,367,131,91,1130,64,1199
SSC40073,0,0,0,0,0,0,0,0
SSC40074,0,0,0,0,0,0,0,0
SSC40075,0,3,6,11,4,21,0,21
SSC40076,0,3,4,8,4,19,0,20
SSC40077,0,0,10,0,0,8,0,8
SSC40078,0,18,37,28,14,104,3,106
SSC40079,0,5,6,4,0,19,4,25
SSC40080,0,4,3,3,3,17,0,17
SSC40081,3,60,103,39,23,228,8,232
SSC40082,0,0,0,0,0,3,0,3
SSC40083,0,10,8,9,0,28,0,28
SSC40084,24,242,417,147,64,894,19,911
SSC40085,0,0,0,0,0,0,0,0
SSC40086,70,199,134,52,23,477,71,547
SSC40087,0,0,14,7,3,26,0,26
SSC40088,40,411,709,255,130,1545,33,1574
SSC40089,0,0,4,0,5,17,0,17
SSC40090,0,6,4,4,10,29,0,29
SSC40091,31,333,441,120,63,985,15,1002
SSC40092,0,4,0,0,3,9,0,9
SSC40093,0,0,0,0,0,3,0,3
SSC40094,0,8,21,10,6,44,0,46
SSC40095,0,0,0,0,3,3,0,3
SSC40096,167,685,544,136,57,1588,84,1679
SSC40097,0,13,16,15,12,48,3,51
SSC40098,0,3,5,3,11,23,0,23
SSC40099,48,258,239,44,23,611,16,625
SSC40100,54,238,183,68,29,573,17,589
SSC40101,0,9,39,22,12,82,0,84
SSC40102,0,0,0,0,0,0,0,0
SSC40103,0,6,11,7,9,27,0,27
SSC40104,0,0,0,0,0,0,0,0
SSC40105,0,3,6,9,6,24,0,27
SSC40106,0,0,5,3,3,14,0,12
SSC40107,11,104,194,89,60,456,10,471
SSC40108,74,282,249,67,35,705,13,719
SSC40109,70,344,262,59,37,773,20,797
SSC40110,0,9,11,3,0,18,0,18
SSC40111,0,4,8,0,0,16,0,16
SSC40112,0,0,6,3,6,18,0,15
SSC40113,0,3,8,3,3,20,0,20
SSC40114,0,11,13,3,4,34,3,34
SSC40115,0,3,6,3,0,9,0,9
SSC40116,0,0,7,3,6,17,0,17
