SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC40001,..,764,764,1319,55,1377,736,15,750,779,0,786,243,0,242,83,0,83,3165,833,3999
SSC40002,..,2513,2513,1596,705,2305,439,330,770,222,106,326,52,22,76,11,13,23,2326,3690,6014
SSC40003,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,..,7,7,5,0,5,0,0,0,14,0,14,3,0,3,0,0,0,23,7,31
SSC40005,..,4,4,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,10,4,22
SSC40006,..,227,227,194,25,212,98,10,112,107,0,107,34,0,34,16,0,16,450,252,705
SSC40007,..,298,298,263,18,281,98,5,101,95,0,95,28,0,28,8,0,8,490,318,812
SSC40008,..,157,157,430,13,446,166,0,172,248,3,252,89,0,89,34,0,34,966,178,1143
SSC40009,..,85,85,71,0,73,29,3,36,39,0,39,8,0,8,3,0,3,152,95,240
SSC40010,..,914,914,1137,85,1227,617,3,623,602,3,609,266,0,266,104,0,104,2727,1013,3740
SSC40011,..,17,17,22,3,26,3,0,3,9,0,9,0,0,0,0,0,0,41,17,57
SSC40012,..,186,186,232,22,254,113,3,118,124,3,127,37,0,37,8,0,8,517,216,725
SSC40013,..,31,31,45,3,47,21,0,21,31,0,31,19,0,19,3,0,3,121,32,148
SSC40014,..,6,6,20,0,20,3,0,3,13,0,13,4,0,4,0,0,0,41,7,46
SSC40015,..,6,6,7,0,10,3,0,3,6,0,6,5,0,5,0,0,0,19,3,23
SSC40016,..,12,12,15,0,17,9,0,9,5,0,5,0,0,0,0,0,0,32,12,44
SSC40017,..,14,14,11,4,14,5,0,5,6,0,6,12,0,12,29,0,29,68,19,81
SSC40018,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC40019,..,33,33,46,0,46,10,0,10,3,0,3,9,0,9,0,0,0,66,33,98
SSC40020,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40021,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
SSC40022,..,34,34,7,0,7,6,0,6,3,0,3,3,0,3,6,0,6,29,34,67
SSC40023,..,77,77,35,4,35,22,0,22,7,0,7,3,0,3,0,0,0,65,83,150
SSC40024,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40025,..,3,3,9,0,9,3,0,3,0,0,0,3,0,3,0,0,0,12,3,16
SSC40026,..,451,451,680,87,761,501,11,511,452,3,456,224,0,224,177,0,177,2027,545,2576
SSC40027,..,5,5,9,0,9,0,0,0,3,0,3,0,0,0,0,0,0,19,5,27
SSC40028,..,3,3,5,0,6,0,0,0,3,0,3,0,0,0,0,0,0,16,8,19
SSC40029,..,228,228,296,15,313,115,3,118,99,0,99,58,0,58,14,0,14,581,244,828
SSC40030,..,147,147,132,11,139,84,7,88,91,0,91,26,3,34,19,0,19,356,161,518
SSC40031,..,104,104,238,4,244,149,4,149,237,0,237,102,0,102,52,0,52,774,111,889
SSC40032,..,0,0,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,10,0,16
SSC40033,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40034,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
SSC40035,..,0,0,4,0,4,0,0,0,0,0,0,5,0,5,3,0,3,7,0,7
SSC40036,..,9,9,17,0,17,0,0,0,3,0,3,4,0,4,0,0,0,22,9,36
SSC40037,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40038,..,207,207,248,14,260,37,0,37,23,0,23,20,0,20,8,0,8,337,222,555
SSC40039,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC40040,..,18,18,52,0,54,19,0,19,27,0,27,4,0,4,7,0,7,106,19,127
SSC40041,..,35,35,49,0,52,17,0,17,14,0,14,6,0,6,4,0,4,82,35,119
SSC40042,..,20,20,23,0,23,3,0,3,4,0,4,5,0,5,0,0,0,38,18,62
SSC40043,..,560,560,382,84,461,207,30,235,132,11,142,50,0,53,17,0,18,786,681,1470
SSC40044,..,23,23,36,0,36,15,0,15,14,0,14,3,0,3,4,0,4,73,23,95
SSC40045,..,162,162,139,21,160,63,3,70,33,3,36,7,0,7,3,0,3,249,192,441
SSC40046,..,19,19,62,0,70,32,0,32,35,0,36,9,0,9,13,0,13,147,23,173
SSC40047,..,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
SSC40048,..,619,619,1069,47,1122,602,12,607,684,3,684,241,0,246,57,0,57,2655,680,3338
SSC40049,..,155,155,165,16,181,119,5,123,119,3,128,57,0,57,45,3,46,512,184,698
SSC40050,..,96,96,113,3,112,31,0,31,23,0,21,14,0,14,3,0,3,182,96,275
