SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC40001,3789,10187,200,307,3,7,202,310,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,7,3,3,3999,10515,242,..,4245,10515
SSC40002,353,769,656,1189,1224,2599,1882,3792,329,548,654,1245,2675,4874,3,6,3663,6667,0,3,0,0,11,11,50,98,55,111,60,100,6014,11434,1076,..,7089,11434
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC40004,31,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,93,3,..,33,93
SSC40005,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,0,..,20,34
SSC40006,577,1413,81,139,8,30,97,173,29,49,0,0,0,0,0,3,29,48,0,0,0,0,0,0,0,0,0,0,3,8,705,1651,68,..,771,1651
SSC40007,546,1343,144,230,17,29,165,258,94,134,0,0,0,0,0,0,97,135,0,0,0,0,0,0,0,10,0,10,5,5,812,1755,95,..,903,1755
SSC40008,1134,3133,0,4,0,0,0,3,3,7,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,7,10,1143,3158,97,..,1237,3158
SSC40009,161,422,31,50,12,12,38,58,0,0,0,0,0,0,0,0,0,0,11,19,0,0,0,3,0,0,15,30,21,31,240,540,50,..,295,540
SSC40010,3388,8947,157,307,31,66,192,372,131,203,0,0,0,0,0,0,131,203,17,32,0,0,0,4,0,0,18,33,14,24,3740,9585,784,..,4521,9585
SSC40011,57,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,139,5,..,67,139
SSC40012,525,1333,104,220,62,170,165,387,33,70,0,0,0,0,3,6,36,77,0,0,0,0,0,0,0,0,0,0,0,3,725,1800,65,..,795,1800
SSC40013,150,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,148,415,32,..,180,415
SSC40014,46,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,135,0,..,55,135
SSC40015,23,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59,3,..,22,59
SSC40016,44,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,98,3,..,42,98
SSC40017,81,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,423,19,..,103,423
SSC40018,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,..,7,6
SSC40019,98,194,5,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,199,123,..,221,199
SSC40020,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,..,3,3
