SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC40001,3455,126,0,0,3,3584,292,71,0,0,0,365,44,5,0,0,0,49,3789,202,0,0,3,3999
SSC40002,315,1635,3151,44,38,5182,29,187,400,8,3,627,5,57,108,8,23,203,353,1882,3663,55,60,6014
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,26,0,0,0,0,26,3,0,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,31
SSC40005,12,0,0,0,0,12,6,0,0,0,0,6,0,0,0,0,0,0,22,0,0,0,0,22
SSC40006,443,69,21,0,3,531,113,25,14,0,0,156,16,0,0,0,0,16,577,97,29,0,3,705
SSC40007,445,117,61,0,3,626,91,44,31,0,0,172,9,0,4,0,0,14,546,165,97,0,5,812
SSC40008,1070,0,3,0,7,1083,48,0,0,0,0,48,9,0,0,0,0,9,1134,0,3,0,7,1143
SSC40009,145,29,0,12,17,203,14,5,0,3,5,30,0,0,0,0,0,3,161,38,0,15,21,240
SSC40010,2953,152,85,11,6,3206,370,33,39,7,0,451,68,4,6,0,3,84,3388,192,131,18,14,3740
SSC40011,49,0,0,0,0,49,12,0,0,0,0,12,0,0,0,0,0,0,57,0,0,0,0,57
SSC40012,428,134,33,0,0,597,79,29,4,0,0,115,9,5,0,0,0,20,525,165,36,0,0,725
SSC40013,128,0,0,0,0,125,20,0,0,0,0,20,3,0,0,0,0,3,150,0,0,0,0,148
