SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC40001,4367,4732,9098,2090,1173,3264,668,1460,2128,97,174,267,203,165,372,3059,2966,6030,1183,1638,2824,6.6,5.6,6.2,70,62.7,66.3,65.4,59.3,62.2,146,142,287,61,108,173,562,795,1358,449,533,979,1206,624,1832,40,92,132,87,137,225,1334,855,2188,4519,4776,9291,503,581,1083,3404,3558,6965,1499,1671,3169
SSC40002,7558,6825,14375,2133,1562,3694,893,1084,1974,138,168,298,500,461,959,3660,3266,6935,3083,2933,6013,13.7,14.1,13.8,48.4,47.9,48.2,41.9,41.2,41.5,704,714,1418,140,160,306,1705,1809,3513,592,616,1209,524,284,811,48,42,90,100,95,190,666,416,1088,4115,3783,7892,2504,2593,5098,1695,1494,3186,4830,4806,9636
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,37,28,71,21,8,34,3,8,12,0,3,3,0,0,3,32,18,49,5,12,18,0,0,6.1,86.5,64.3,69,64.9,67.9,69,0,0,0,0,0,0,0,4,4,3,3,4,7,4,7,0,0,0,0,0,0,9,7,13,40,38,83,4,7,9,42,38,76,9,3,10
SSC40005,19,16,33,11,3,15,3,0,3,0,0,0,4,0,4,15,4,16,8,11,14,26.7,0,25,78.9,25,48.5,73.7,18.8,54.5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,0,0,0,0,0,0,5,3,6,20,14,35,0,0,0,20,14,31,3,3,4
SSC40006,678,742,1418,324,204,527,78,166,241,15,32,47,33,23,62,444,426,872,199,280,477,7.4,5.4,7.1,65.5,57.4,61.5,61.5,54.2,57.5,9,15,25,9,8,20,68,77,151,46,63,111,172,88,263,13,15,28,15,20,39,202,125,323,659,730,1389,101,115,221,514,547,1056,233,277,511
SSC40007,778,797,1572,322,222,542,109,191,307,19,22,36,48,28,81,504,463,968,249,301,547,9.5,6,8.4,64.8,58.1,61.6,57.8,54.6,56.3,24,16,42,9,22,32,82,114,196,61,91,158,172,99,268,8,6,22,14,22,37,200,126,325,741,731,1472,103,105,211,559,533,1096,265,294,558
SSC40008,1295,1376,2668,585,286,871,208,469,672,18,32,48,47,37,80,851,814,1669,394,499,890,5.5,4.5,4.8,65.7,59.2,62.6,62.6,57.2,59.6,145,128,275,54,78,132,332,384,716,143,164,310,169,77,248,3,16,19,23,36,63,198,129,325,1379,1451,2833,145,160,305,1069,1067,2139,426,504,927
SSC40009,231,235,465,86,42,124,49,67,116,12,6,11,6,10,15,147,127,278,68,99,166,4.1,7.9,5.4,63.6,54,59.8,63.6,48.9,54,13,12,21,5,16,25,25,49,74,16,29,46,56,23,84,3,3,8,6,5,11,60,32,96,237,231,465,35,38,68,148,135,286,101,124,220
SSC40010,3794,4207,7999,1502,758,2262,525,1139,1663,114,181,294,227,189,412,2364,2266,4629,1142,1652,2792,9.6,8.3,8.9,62.3,53.9,57.9,56.4,49.4,52.7,45,70,107,38,75,114,193,394,590,253,477,730,1155,663,1813,68,122,190,75,130,212,1294,918,2215,3870,4123,7990,678,839,1516,2283,2360,4641,1919,2251,4174
