SSC_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SSC40001,3404,3558,6965,186,222,406,34,27,59,24,32,50,25,26,51,996,1120,2111,22,17,41,0,0,0,14,12,27,0,8,5,0,0,0,1112,1244,2357,179,180,355,25,26,49,1499,1671,3169,160,163,320,5060,5392,10456
SSC40002,1695,1494,3186,385,337,726,137,126,260,136,129,266,85,82,162,1595,1479,3071,46,39,87,12,11,18,37,36,67,23,31,55,0,0,0,2066,1933,3993,2325,2496,4816,52,45,98,4830,4806,9636,1231,720,1948,7749,7026,14773
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,42,38,76,3,0,3,0,0,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,9,3,10,0,0,3,45,40,92
SSC40005,20,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,3,4,0,0,0,19,18,39
SSC40006,514,547,1056,14,19,36,9,4,8,13,0,16,3,4,6,167,215,381,5,5,8,0,0,0,3,5,8,0,0,0,0,0,0,196,233,425,20,24,45,0,0,0,233,277,511,34,35,72,778,856,1638
SSC40007,559,533,1096,28,41,66,8,4,12,10,8,20,3,6,7,175,215,382,4,0,3,3,0,0,6,3,5,0,0,3,0,0,0,201,234,436,26,19,46,4,0,10,265,294,558,43,46,83,866,878,1740
SSC40008,1069,1067,2139,107,135,239,16,34,54,10,8,25,12,13,19,219,255,478,3,3,5,3,3,9,3,5,6,0,0,0,0,0,0,272,324,596,50,36,82,0,3,5,426,504,927,60,84,142,1554,1657,3209
SSC40009,148,135,286,26,33,60,0,3,3,0,0,0,0,0,0,69,70,137,0,3,4,0,0,0,3,0,3,0,0,0,0,0,0,71,76,151,0,3,4,0,4,7,101,124,220,12,11,27,265,270,538
SSC40010,2283,2360,4641,566,688,1254,54,66,118,52,48,106,33,39,70,1029,1207,2231,22,15,33,0,4,5,18,26,43,3,6,12,0,0,0,1207,1405,2618,114,131,240,31,30,64,1919,2251,4174,401,432,835,4605,5044,9651
SSC40011,60,43,105,5,0,5,0,0,0,0,0,0,0,0,0,11,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,28,0,0,0,0,0,0,15,12,29,8,7,11,86,61,151
