SSC_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SSC40001,29,143,426,484,556,406,46,0,0,2090,129,112,93,76,80,120,53,10,0,668,9,3,13,15,16,20,0,0,0,68,0,3,7,6,6,3,4,0,0,36,166,259,536,577,658,551,104,10,0,2859,11,19,33,21,20,29,0,0,0,134,40,10,4,7,7,4,0,0,0,74,50,27,38,26,28,29,0,0,0,203,214,284,575,608,680,585,107,10,0,3059,221,56,51,37,50,179,336,171,83,1183,11,10,21,12,23,22,8,3,8,125,449,353,642,662,758,779,451,184,91,4367,16,95,216,242,342,239,17,3,0,1173,154,162,190,284,338,282,42,3,0,1460,12,15,57,16,18,21,3,0,0,135,8,4,6,5,3,4,0,0,0,35,183,273,475,550,704,550,64,7,0,2806,3,7,14,8,9,10,0,0,0,53,49,10,10,16,19,8,0,0,0,112,52,16,23,21,28,18,0,0,0,165
SSC40002,8,141,816,498,346,249,69,3,3,2133,44,210,280,116,83,75,66,15,3,893,5,9,28,16,12,10,6,0,0,86,3,9,20,5,13,0,3,0,0,47,57,367,1147,635,452,337,148,23,4,3160,3,38,86,52,45,38,3,0,0,258,34,117,54,16,4,12,3,0,0,240,42,153,141,65,51,45,7,0,0,500,98,519,1283,701,499,382,154,23,7,3660,356,1096,581,210,200,212,273,113,40,3083,39,150,226,103,108,88,70,23,5,808,494,1768,2094,1015,805,676,496,158,56,7558,8,129,701,291,211,169,42,3,0,1562,55,288,305,153,103,99,72,10,3,1084,5,17,52,20,20,16,3,0,0,128,4,16,9,3,6,7,0,0,0,36,76,445,1065,468,338,287,115,14,3,2811,9,22,62,31,14,8,3,0,0,146,70,139,75,20,9,4,0,0,0,316,78,162,132,53,20,14,4,0,0,461
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,4,3,3,10,3,3,0,0,21,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,9,3,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,9,3,3,0,0,32,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,5,3,9,3,3,0,0,37,0,0,0,3,3,0,0,0,0,8,0,0,0,5,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,3,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,8,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,6,17,86,82,68,53,6,0,0,324,11,13,17,18,8,11,0,0,0,78,0,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,18,38,106,100,81,63,10,0,0,411,0,3,5,7,5,0,0,0,0,31,0,0,3,0,0,0,0,0,0,9,3,9,9,10,5,3,0,0,0,33,23,41,114,111,90,64,10,0,0,444,29,6,9,21,16,33,36,33,8,199,0,3,5,6,3,3,3,3,0,30,56,55,130,130,108,102,51,34,13,678,0,21,48,49,58,27,0,0,0,204,16,21,28,39,31,22,9,0,0,166,0,3,8,3,0,8,0,0,0,28,0,3,3,3,0,0,0,0,0,6,18,41,90,95,96,54,11,0,0,402,0,0,0,4,0,0,0,0,0,12,3,0,0,3,0,0,0,0,0,15,3,0,5,9,0,3,0,0,0,23
SSC40007,5,17,69,76,75,69,7,0,0,322,5,10,28,14,16,28,8,4,0,109,3,0,3,0,0,3,0,0,0,16,0,3,0,4,0,0,0,0,0,3,20,32,104,93,98,98,19,4,0,456,3,3,16,5,3,0,0,0,0,35,3,0,4,0,0,3,0,0,0,15,4,3,19,5,3,5,0,0,0,48,24,38,119,96,105,99,16,4,0,504,25,18,9,11,21,38,77,35,16,249,0,3,5,3,3,3,4,0,0,23,49,53,132,113,125,146,95,46,20,778,0,19,63,38,69,38,3,0,0,222,11,19,37,36,44,42,3,0,0,191,0,0,5,3,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,3,17,33,107,77,113,82,9,0,0,431,0,0,3,6,5,3,0,0,0,13,8,3,7,0,4,0,0,0,0,16,8,3,12,5,4,3,0,0,0,28
SSC40008,14,24,41,139,187,148,26,0,0,585,25,38,16,26,25,42,38,3,0,208,0,0,0,3,6,3,3,0,0,15,0,0,0,3,0,0,0,0,0,6,36,63,61,168,212,197,68,6,0,813,0,0,4,3,8,4,0,0,0,26,10,3,3,0,0,0,0,0,0,22,14,5,9,3,14,6,0,0,0,47,49,63,63,173,225,197,67,6,0,851,59,11,6,11,20,52,158,69,10,394,4,3,4,11,4,9,5,7,0,49,112,78,77,191,252,261,223,74,13,1295,0,11,29,56,87,84,15,0,0,286,38,30,26,122,122,88,31,0,0,469,4,0,4,11,0,0,4,0,0,29,0,0,0,0,3,0,0,0,0,6,43,42,56,191,219,175,53,5,0,779,0,0,0,3,3,3,0,0,0,8,8,0,3,7,4,3,0,0,0,27,13,0,3,10,10,6,0,0,0,37
SSC40009,0,0,12,23,25,17,4,0,0,86,7,9,5,5,12,13,6,0,0,49,0,0,0,3,0,3,0,0,0,9,0,0,0,0,4,0,0,0,0,3,12,6,14,26,41,27,7,0,0,140,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,6,7,6,17,26,47,33,7,0,0,147,6,0,3,4,3,12,21,11,3,68,4,0,0,3,3,0,0,3,0,16,19,11,20,30,55,44,29,13,3,231,0,5,9,6,15,10,0,0,0,42,3,0,10,16,17,12,7,0,0,67,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,8,15,23,30,23,5,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3,0,0,0,0,10
SSC40010,23,113,405,395,362,178,25,0,3,1502,66,61,74,89,105,95,33,0,0,525,5,9,19,26,16,5,3,0,0,85,0,5,7,5,9,3,0,0,0,32,97,188,509,515,486,287,58,3,3,2138,12,33,53,21,27,21,3,0,0,169,25,6,14,4,7,7,0,0,0,59,40,36,62,26,30,28,4,0,0,227,133,220,568,534,515,317,65,3,3,2364,180,36,54,70,84,160,309,185,60,1142,17,23,45,50,46,46,29,12,9,283,332,281,673,652,652,523,402,208,74,3794,11,68,182,188,196,100,16,0,0,758,109,97,208,298,239,161,24,0,0,1139,11,9,65,16,14,17,6,0,0,141,7,3,13,6,3,3,0,0,0,34,131,187,471,510,449,277,46,3,4,2077,12,16,14,13,14,12,0,0,0,89,32,7,24,22,6,3,0,0,0,103,40,28,40,40,25,13,0,0,0,189
