SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC40001,71,76,49,25,5,0,287,0,31,42,25,40,25,5,0,173,109,280,310,293,205,119,26,14,1358,27,136,191,247,227,99,39,16,979,191,358,304,362,339,176,75,28,1832,25,19,30,25,26,8,8,0,132,11,24,35,54,48,30,12,10,225,223,398,367,442,410,214,90,41,2188,8,5,13,9,19,11,4,3,73,65,40,48,65,66,45,48,41,413,440,942,1045,1154,1022,541,224,107,5476
SSC40002,306,148,137,109,36,8,1418,20,96,54,35,60,35,11,0,306,706,1474,516,281,233,245,41,17,3513,353,295,144,143,134,94,33,12,1209,151,208,127,127,118,46,26,9,811,19,24,18,13,3,9,0,0,90,30,37,19,30,32,22,17,3,190,200,273,164,174,151,73,39,9,1088,53,26,12,11,7,7,3,3,125,525,533,253,217,177,138,60,23,1929,1903,3334,1449,1000,902,699,229,74,9586
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,4,3,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,10,8,5,5,0,0,24
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,0,0,14
SSC40006,7,4,0,0,0,0,25,0,3,7,9,7,0,0,0,20,16,59,37,13,23,0,0,0,151,0,26,32,26,14,4,3,0,111,23,61,61,46,44,15,5,0,263,10,3,3,3,0,3,0,0,28,3,3,7,10,6,3,0,0,39,44,68,70,60,47,22,5,3,323,3,0,0,3,3,0,0,0,10,11,13,7,10,15,20,16,7,104,77,181,168,125,116,47,29,11,747
SSC40007,12,12,13,5,0,0,42,0,3,11,10,5,3,0,0,32,17,64,42,35,24,15,6,0,196,3,46,23,28,30,20,0,0,158,19,53,44,57,57,28,7,7,268,3,6,6,0,0,3,3,0,22,3,6,5,9,3,6,0,0,37,25,64,54,64,65,36,11,7,325,0,0,3,7,4,4,0,0,15,12,16,0,13,7,13,11,5,86,57,193,155,161,148,90,30,15,851
SSC40008,61,63,65,60,12,3,275,0,4,33,33,32,34,8,0,132,21,59,180,161,155,108,24,10,716,3,12,37,67,87,80,21,0,310,21,31,36,57,68,28,14,0,248,3,0,3,0,5,8,0,0,19,6,0,6,3,18,15,4,0,63,28,34,43,59,91,50,19,0,325,0,0,0,0,7,8,5,0,22,18,12,21,21,35,24,16,3,145,72,129,379,409,456,356,94,21,1922
SSC40009,4,5,5,3,0,0,21,0,4,4,4,10,3,0,0,25,0,6,28,16,9,9,3,0,74,0,0,8,17,15,5,7,0,46,3,15,13,18,19,13,3,0,84,0,0,0,0,0,0,0,0,8,0,0,0,3,3,3,3,0,11,11,15,13,22,18,13,3,0,96,0,0,0,0,0,0,0,0,0,3,3,3,8,8,11,3,0,34,17,36,58,73,56,43,16,3,302
SSC40010,20,23,16,27,7,0,107,0,16,33,19,28,14,3,0,114,20,122,167,117,87,58,21,7,590,41,131,165,153,123,83,28,6,730,179,459,399,306,249,142,63,20,1813,46,59,30,23,12,12,3,0,190,23,33,56,34,36,25,4,0,212,242,552,483,367,295,180,70,24,2215,3,6,4,7,6,9,7,0,48,132,125,117,129,123,106,66,38,839,440,967,993,817,677,477,201,72,4651
SSC40011,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,11,0,0,3,3,0,3,0,0,6,3,3,10,3,3,5,0,0,27,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,4,3,5,5,3,8,7,0,0,37,0,0,0,0,0,0,0,0,0,3,0,0,7,0,4,0,0,14,6,11,18,17,12,20,0,0,73
SSC40012,24,4,5,3,0,0,59,3,7,11,5,8,0,0,0,34,26,86,55,50,19,14,0,0,255,3,21,32,40,40,16,0,0,146,34,39,28,56,39,22,17,3,237,3,0,0,3,0,0,0,0,10,3,3,3,6,8,0,0,0,29,35,42,38,68,48,26,17,3,271,0,0,3,7,0,0,3,0,13,7,6,7,10,13,15,16,3,88,78,178,168,178,140,78,34,7,861
SSC40013,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,7,3,4,3,3,3,3,0,0,22,8,25,24,17,7,7,0,0,88,0,3,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,10,13,23,24,20,11,8,0,0,103,0,0,0,0,0,0,0,0,0,5,10,9,8,9,3,0,0,38,15,45,37,36,25,11,0,3,181
SSC40014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,12,0,4,3,0,4,0,0,0,11,0,3,3,3,3,3,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,5,3,3,7,0,0,26,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,14,4,7,11,10,23,10,0,0,70
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,8,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,12,3,3,9,11,9,10,0,0,34
SSC40016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,3,7,6,0,0,0,20,6,3,0,9,7,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,12,0,0,0,28,0,0,0,0,0,0,0,0,0,4,4,4,9,5,0,0,0,29,10,7,7,22,17,3,0,3,79
SSC40017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,0,0,9,3,0,0,0,3,0,0,0,8,9,19,3,0,0,3,0,0,39,0,4,0,0,0,0,0,0,4,3,3,4,5,0,0,0,0,9,8,23,7,7,0,3,0,0,55,0,0,0,0,0,0,0,0,0,17,12,3,8,7,0,0,0,42,27,43,14,21,9,3,0,0,124
SSC40018,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
SSC40019,0,0,4,0,0,0,6,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,0,0,13,0,0,0,0,3,3,0,0,10,0,3,9,5,8,8,0,0,35,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,4,0,6,9,3,9,14,4,0,41,0,0,0,0,0,0,0,0,3,4,3,0,6,11,14,3,0,38,4,10,9,22,32,41,10,0,121
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,10
SSC40022,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,10,0,3,0,3,3,0,0,0,10,0,0,3,7,3,0,0,0,17,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,7,6,9,0,0,0,23,0,0,0,0,0,0,0,0,0,6,10,14,11,13,9,3,3,61,9,20,17,26,27,10,3,3,113
SSC40023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,12,0,0,4,3,9,0,0,0,19,0,3,5,20,8,6,3,0,57,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,3,5,20,9,12,4,0,63,0,0,0,0,0,0,0,0,0,0,0,0,3,9,17,9,0,45,3,9,15,30,22,23,20,3,135
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,13
SSC40026,13,5,3,0,0,0,42,0,17,6,3,3,0,0,0,33,29,107,78,26,16,5,4,0,268,29,130,104,69,37,9,0,0,378,191,519,276,183,80,30,12,0,1286,56,59,24,14,4,0,0,0,164,15,24,28,22,13,0,0,0,108,259,603,332,219,95,32,13,0,1559,4,8,15,6,8,0,0,0,41,102,124,70,66,42,23,17,4,444,426,1015,618,402,199,74,34,10,2771
SSC40027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,4,0,7,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,5,3,6,10,4,0,0,32
SSC40028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,8,5,4,0,0,19
SSC40029,9,9,7,8,3,0,38,0,6,7,9,4,0,0,0,31,3,26,55,47,31,23,7,3,194,0,14,22,36,36,27,6,0,138,19,67,61,63,61,31,10,8,322,6,11,3,3,3,0,0,0,30,0,8,14,6,9,5,0,0,45,28,81,78,73,73,36,11,3,392,0,0,0,6,4,3,3,0,18,22,15,15,22,19,15,22,4,137,62,146,199,201,170,108,49,20,946
