SSC_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
SSC40001,134,147,88,31,15,11,572,45,97,120,100,93,39,12,3,512,6,20,19,9,8,4,0,0,67,23,33,30,36,25,15,8,3,175,0,0,0,4,0,3,0,0,10,0,3,10,13,3,3,0,0,31,29,12,24,31,28,16,25,21,187,227,470,546,577,479,227,105,59,2685,15,36,38,34,32,18,6,0,188,10,37,41,40,17,4,0,0,145,47,136,154,205,200,127,56,10,937,38,50,38,52,45,35,16,13,277,10,20,19,18,5,10,5,0,79,46,117,137,169,161,61,24,12,714,21,64,79,84,117,84,22,4,485,65,173,228,257,186,72,22,14,1013,76,145,156,140,141,64,22,7,756,17,44,43,19,19,3,4,0,142,32,68,49,53,38,17,14,3,278,5,0,0,7,0,4,0,4,14,3,5,20,24,4,8,5,0,72,58,50,43,59,64,29,34,35,379,440,942,1045,1154
SSC40002,148,90,60,40,17,3,1100,98,243,114,80,66,78,18,3,703,56,108,60,28,25,16,4,3,298,49,59,26,21,13,8,0,0,174,17,0,0,0,0,0,0,0,24,17,12,14,5,9,8,0,0,59,229,186,66,55,68,54,30,13,699,1004,1591,618,416,395,329,111,36,4506,84,176,70,38,23,28,9,6,426,45,161,81,37,25,12,0,0,362,139,292,113,114,65,46,20,10,801,72,117,40,30,40,32,8,6,342,14,26,14,16,10,12,3,0,84,100,401,124,81,103,83,25,8,925,27,86,45,51,102,85,20,11,426,543,780,303,179,141,71,36,7,2054,137,405,210,147,138,143,37,9,1222,87,187,122,49,43,28,9,3,526,92,117,51,46,30,13,3,0,344,52,3,3,0,0,0,5,0,63,29,24,27,14,12,9,3,0,121,494,548,257,208,169,134,59,15,1882,1903,3334,1449,1000
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,8
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC40006,32,15,8,0,0,0,91,6,10,18,10,14,3,0,0,63,0,3,0,4,0,0,0,0,7,4,4,8,3,0,0,0,0,23,0,0,0,0,0,4,0,0,3,0,3,0,4,0,0,0,0,7,8,4,3,5,12,10,3,7,42,35,89,81,66,52,17,10,7,358,4,6,0,3,0,0,0,0,12,0,4,8,0,0,0,0,0,14,6,24,30,24,32,9,8,0,144,3,15,4,3,8,8,0,0,49,0,0,3,3,0,0,0,0,12,9,23,18,15,13,7,0,0,70,4,8,5,6,8,3,7,0,39,19,38,47,28,13,3,0,0,150,11,22,26,10,16,3,0,0,83,4,5,3,8,0,0,0,0,23,8,15,10,9,3,0,0,0,40,0,0,0,0,0,4,0,0,4,0,6,4,3,0,0,0,0,13,17,13,5,7,17,18,12,7,93,77,181,168,125
SSC40007,25,22,17,9,0,0,108,4,30,13,23,13,7,0,0,83,4,6,5,0,0,6,0,0,15,3,10,0,7,8,0,0,0,29,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,5,0,9,3,5,3,3,40,26,106,77,93,67,37,10,6,433,0,3,3,0,0,3,0,0,14,0,4,5,4,6,0,0,0,17,6,20,24,25,36,19,5,0,135,5,8,6,11,12,7,0,0,47,0,3,6,0,3,0,0,0,8,8,23,17,16,19,10,0,0,98,0,19,11,13,5,10,0,0,61,11,43,38,39,24,12,0,0,161,4,31,27,26,14,16,3,3,128,8,4,12,3,4,6,0,0,39,3,17,10,3,9,3,0,0,45,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,13,19,13,5,17,6,12,13,7,83,57,193,155,161
SSC40008,53,25,20,18,3,0,145,6,14,33,40,32,29,7,3,165,6,4,19,23,5,4,3,0,67,4,3,3,4,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,8,8,11,11,15,13,7,3,77,40,66,215,197,236,170,35,16,975,0,7,19,27,30,24,12,0,115,4,3,4,5,4,3,0,0,34,8,15,31,43,52,40,16,0,209,3,6,18,17,18,11,3,0,81,0,4,8,10,20,3,0,0,51,3,18,56,58,93,56,7,8,309,3,5,34,39,71,70,14,0,236,7,20,103,74,59,60,16,3,338,7,19,55,68,57,59,11,3,273,7,14,26,31,8,11,3,0,107,4,10,0,10,7,3,0,0,32,0,0,0,0,0,0,0,0,0,3,3,0,4,5,9,0,0,22,18,12,21,20,31,13,9,3,130,72,129,379,409
SSC40009,3,0,5,3,0,0,21,0,4,11,0,4,3,0,0,27,0,0,4,5,0,3,0,0,8,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,0,0,0,0,3,0,0,14,6,17,32,27,31,29,7,0,152,0,0,3,3,0,0,3,0,14,0,0,0,0,0,0,0,0,3,0,3,3,5,6,11,0,0,34,0,6,3,4,6,4,0,0,18,0,0,0,7,0,0,0,0,6,0,5,5,13,10,8,4,0,41,0,0,3,8,3,10,3,0,25,0,7,7,4,10,6,3,0,41,0,4,13,8,12,4,0,0,40,0,0,8,7,3,3,0,0,17,4,3,3,3,3,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,5,3,0,0,5,4,5,3,0,28,17,36,58,73
SSC40010,132,74,55,44,5,5,486,58,92,126,107,91,37,6,0,514,4,14,22,6,6,6,0,0,57,36,70,54,30,11,15,5,0,214,0,0,0,3,3,0,0,0,9,0,7,4,6,5,3,0,0,18,53,64,51,65,53,46,38,25,389,231,527,552,408,330,226,80,31,2386,4,16,17,15,11,9,3,0,66,6,15,12,15,7,0,0,0,55,27,145,120,122,114,91,41,13,673,37,78,53,51,52,27,15,5,318,9,27,40,18,10,4,0,0,115,22,102,99,94,78,56,18,0,465,6,39,59,38,47,48,12,6,261,62,179,186,123,88,69,15,7,728,76,124,172,133,118,56,16,3,691,4,16,28,18,13,9,3,0,96,48,93,85,47,12,24,4,0,326,0,0,0,3,3,0,0,0,5,0,11,6,11,8,10,3,0,47,130,126,110,130,125,84,63,35,793,440,967,993,817
SSC40011,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,4,6,6,3,9,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,3,7,0,3,0,0,13,0,0,0,0,0,3,0,0,4,0,3,4,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,4,0,0,17,6,11,18,17
SSC40012,34,20,15,6,0,0,104,4,16,8,11,11,0,0,0,55,4,5,3,3,3,0,0,0,17,8,9,3,11,5,3,5,0,42,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,0,0,8,4,4,5,7,7,11,4,3,47,44,94,86,77,64,34,15,4,416,0,5,5,7,0,0,0,0,29,0,12,5,10,6,0,0,0,27,12,17,17,33,29,18,14,3,135,11,9,14,12,10,6,0,0,58,0,5,4,0,0,0,0,0,7,5,22,19,20,12,11,0,0,90,3,11,5,14,17,10,3,0,57,11,46,48,43,30,10,6,0,181,13,30,17,17,16,4,0,0,94,7,12,4,5,3,0,0,0,34,8,9,5,16,6,6,5,0,55,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,0,0,9,9,14,9,10,13,12,15,3,86,78,178,168,178
