SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC40001,1022,541,224,107,5476
SSC40002,902,699,229,74,9586
SSC40003,0,0,0,0,0
SSC40004,5,5,0,0,24
SSC40005,8,0,0,0,14
SSC40006,116,47,29,11,747
SSC40007,148,90,30,15,851
SSC40008,456,356,94,21,1922
SSC40009,56,43,16,3,302
SSC40010,677,477,201,72,4651
SSC40011,12,20,0,0,73
SSC40012,140,78,34,7,861
SSC40013,25,11,0,3,181
SSC40014,23,10,0,0,70
SSC40015,9,10,0,0,34
SSC40016,17,3,0,3,79
SSC40017,9,3,0,0,124
SSC40018,0,3,0,0,6
SSC40019,32,41,10,0,121
SSC40020,0,0,0,0,3
SSC40021,0,0,0,0,10
SSC40022,27,10,3,3,113
SSC40023,22,23,20,3,135
SSC40024,0,0,0,0,4
SSC40025,3,0,0,0,13
SSC40026,199,74,34,10,2771
SSC40027,10,4,0,0,32
SSC40028,5,4,0,0,19
SSC40029,170,108,49,20,946
SSC40030,63,40,20,32,583
SSC40031,135,100,41,8,1180
SSC40032,0,3,0,0,14
SSC40033,3,0,0,0,5
SSC40034,0,0,0,0,4
SSC40035,0,0,0,0,8
SSC40036,11,4,0,0,38
SSC40037,0,0,0,0,4
SSC40038,104,92,51,23,448
SSC40039,3,0,0,0,42
SSC40040,37,30,8,0,185
SSC40041,34,25,0,0,141
SSC40042,17,9,0,0,59
SSC40043,173,112,57,17,1690
SSC40044,38,27,4,0,151
SSC40045,46,48,39,26,532
SSC40046,73,47,10,4,282
SSC40047,3,3,3,0,17
SSC40048,750,544,210,38,4420
SSC40049,65,43,10,8,777
SSC40050,91,61,14,11,350
SSC40051,97,56,21,8,340
SSC40052,0,5,0,0,14
SSC40053,11,5,3,0,49
SSC40054,6,3,7,0,64
SSC40055,5,0,0,0,16
SSC40056,20,25,9,0,85
SSC40057,15,3,4,0,43
SSC40058,0,0,0,0,3
