SSC_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SSC40001,12,254,23,92,38,10,0,8,0,445,11,159,0,27,16,4,0,0,3,220,52,72,14,27,199,55,0,12,3,434,26,86,8,160,48,20,3,12,3,370,5,16,0,7,13,8,0,4,0,53,12,10,29,13,20,11,0,10,0,113,0,3,0,0,0,0,0,0,0,7,6,5,0,4,9,0,0,3,0,30,3,3,7,7,3,0,0,3,0,25,138,654,103,352,381,125,4,63,16,1833,14,66,12,5,15,9,3,9,0,124,16,59,15,3,10,3,0,0,0,119,83,91,289,11,53,27,50,36,8,664,22,6,114,4,12,4,6,17,0,193,8,3,24,0,3,5,6,15,0,61,22,316,33,113,37,9,0,9,0,541,26,239,5,34,22,7,4,0,3,332,156,157,31,35,264,92,13,29,9,795,43,133,16,211,67,33,7,18,7,539,10,33,11,12,13,11,0,6,0,109
SSC40002,13,257,11,54,10,5,0,7,8,362,20,99,0,9,10,10,0,8,3,160,113,173,7,61,164,58,4,23,4,610,54,184,5,57,89,23,0,12,0,439,28,82,9,16,29,19,0,4,3,188,21,7,37,26,8,6,0,9,0,118,0,0,0,0,0,6,0,0,0,7,8,6,0,3,4,3,0,0,0,30,0,7,3,0,7,9,0,4,7,32,296,962,97,262,343,148,9,65,39,2220,16,141,21,16,13,11,0,3,8,223,35,138,18,4,16,3,8,8,0,238,62,180,93,27,21,18,9,38,6,461,24,84,34,10,8,11,4,8,0,185,4,11,4,7,0,4,0,6,0,41,24,460,8,68,17,5,3,7,8,604,28,148,0,23,14,13,3,8,3,234,277,350,29,112,217,112,4,52,14,1168,101,368,17,104,119,34,7,24,9,783,42,160,22,36,37,28,0,14,10,353
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,0,21,0,12,3,0,0,4,0,43,3,17,0,0,3,0,0,0,0,19,6,10,0,10,31,4,0,3,3,72,5,11,0,22,7,0,0,0,0,45,3,0,0,0,3,0,0,0,0,6,3,0,5,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,20,73,15,51,46,13,3,16,3,238,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,14,14,10,47,0,4,3,17,16,0,106,0,0,25,0,0,3,0,3,0,33,0,0,3,0,0,0,0,3,0,5,0,27,0,16,3,0,0,4,0,57,4,19,0,3,3,0,0,0,0,28,19,17,3,9,37,11,0,13,6,121,4,20,0,27,6,3,3,0,0,68,4,3,0,4,3,0,0,0,0,13
SSC40007,3,43,0,15,3,0,0,0,0,61,0,23,0,4,0,0,0,0,0,34,17,12,0,8,23,12,0,0,0,74,8,13,3,21,13,0,0,0,0,63,0,3,3,0,0,0,0,0,0,7,0,3,4,3,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,25,113,8,62,47,11,3,6,3,280,0,4,0,0,0,0,0,0,0,5,3,7,3,0,0,0,0,0,0,12,6,18,40,5,3,3,7,7,3,93,3,3,19,0,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0,10,6,52,0,17,3,3,0,0,0,76,0,35,0,7,0,0,0,0,0,49,26,24,7,15,36,10,3,3,0,125,11,24,6,32,16,0,0,0,0,85,3,4,8,5,8,0,0,3,0,26
SSC40008,21,100,0,14,16,3,0,0,0,158,12,72,0,11,12,0,0,0,0,107,22,35,3,11,14,12,0,0,0,88,12,54,0,18,19,6,0,0,0,110,10,20,3,3,7,3,0,0,0,45,5,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,11,84,321,13,71,75,26,0,4,5,590,11,47,0,5,3,0,0,0,0,68,4,11,0,0,0,0,0,0,0,22,27,36,45,3,6,6,3,3,0,134,8,26,20,0,0,0,0,3,0,55,5,18,7,3,7,0,0,3,0,41,27,154,3,18,16,3,3,0,0,219,12,96,3,16,7,3,0,0,0,138,75,89,3,9,32,19,0,3,6,229,30,102,4,23,20,3,0,3,3,192,10,41,6,5,7,8,0,0,3,80
SSC40009,0,12,0,8,0,0,0,0,0,26,0,9,0,0,0,0,0,0,0,10,3,0,0,0,3,0,0,0,0,11,0,5,0,7,0,0,0,0,0,11,3,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,8,17,9,3,0,3,0,81,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,0,5,3,0,18,5,0,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,3,0,15,0,8,0,0,0,0,0,26,0,12,0,0,0,0,0,0,0,15,9,3,0,0,11,0,0,0,0,27,4,8,3,8,0,0,0,3,0,22,3,4,0,3,3,0,0,3,0,16
SSC40010,4,116,21,85,27,13,0,5,4,274,9,69,0,20,5,4,0,3,0,116,52,41,8,33,123,53,0,14,0,324,19,50,10,195,33,15,0,17,5,351,3,10,0,4,8,7,0,3,0,36,11,3,46,25,19,19,0,8,0,118,0,0,0,0,0,0,0,0,0,6,0,4,0,3,3,0,0,0,0,11,0,3,0,11,8,10,0,7,7,41,112,321,94,384,229,123,8,60,23,1349,7,14,4,6,6,6,0,4,0,45,5,15,12,0,0,3,0,3,0,42,37,24,216,11,20,15,48,52,11,428,18,8,138,0,3,5,9,27,0,213,16,11,24,0,3,4,3,21,0,91,19,144,28,95,27,16,4,8,4,333,13,100,3,21,10,7,0,4,0,165,98,75,21,42,140,80,22,33,4,512,25,79,19,258,47,19,12,18,10,475,7,20,4,8,8,7,3,5,0,61
