SSC_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
SSC40001,4,35,0,6,13,0,0,0,0,60,4,9,0,0,7,0,0,0,0,21,36,377,8,64,73,25,0,21,5,602,0,0,0,0,3,3,0,0,0,4,16,61,4,33,38,5,0,3,3,157,22,40,17,70,57,13,0,8,3,221,28,34,48,130,137,50,3,17,3,452,8,0,5,9,13,12,0,5,0,49,6,8,8,21,32,8,0,0,0,81,0,6,0,7,4,0,0,3,0,19,0,3,4,6,4,0,0,6,0,34,138,654,103,352,381,125,4,63,16,1833,0,4,0,3,0,0,0,0,0,7,6,50,0,0,0,0,0,0,0,60,38,92,3,13,16,4,0,0,0,173,4,6,0,0,0,0,0,0,0,11,8,54,3,9,13,3,3,0,0,95,5,10,0,3,9,0,0,0,0,33,105,603,40,81,110,35,7,31,8,1022,3,0,3,0,3,3,0,0,0,10
SSC40002,8,55,0,3,13,3,0,0,0,87,3,5,0,3,0,0,0,0,0,16,138,526,29,108,142,67,0,30,13,1050,0,0,0,0,0,0,0,0,0,0,15,37,12,25,13,15,0,9,0,128,29,27,15,46,30,15,0,6,3,181,12,19,28,38,52,13,3,10,5,178,5,3,3,3,10,0,0,0,0,25,4,4,0,13,15,6,0,0,4,44,0,5,0,3,0,5,0,0,0,12,3,3,4,3,5,10,0,4,5,35,296,962,97,262,343,148,9,65,39,2220,3,12,0,0,3,0,0,0,0,18,23,189,0,3,3,0,0,0,4,219,105,379,30,43,71,46,6,22,8,705,3,10,0,0,0,0,0,0,0,12,17,108,3,10,17,5,0,3,0,160,12,23,0,3,3,0,0,0,0,41,295,1128,95,186,224,99,11,75,21,2145,0,0,0,0,0,0,0,0,0,3
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,3,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,31,3,10,9,4,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,14,3,3,0,15,8,0,0,3,0,34,3,4,8,17,13,8,0,4,0,68,0,0,0,3,6,0,0,0,0,11,0,3,0,3,3,0,0,4,0,12,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,3,0,4,20,73,15,51,46,13,3,16,3,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,13,55,7,12,15,4,3,5,3,119,0,0,0,0,0,0,0,0,0,0
SSC40007,0,8,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,5,10,57,0,15,9,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,4,7,0,7,3,0,0,0,0,18,8,10,0,11,7,3,0,0,0,38,7,7,5,22,17,10,3,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,25,113,8,62,47,11,3,6,3,280,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,3,15,0,0,3,0,0,0,0,21,0,3,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,0,0,17,3,7,0,0,0,0,0,0,0,11,17,90,6,22,11,0,3,6,0,150,0,0,0,0,0,0,0,0,0,0
SSC40008,3,27,0,3,6,0,0,0,0,43,3,7,0,0,0,0,0,0,0,4,33,176,0,21,29,13,0,0,3,274,0,0,0,0,0,0,0,0,0,0,4,27,0,10,14,0,0,0,0,51,4,11,3,3,7,0,0,0,0,27,9,4,8,20,8,4,0,0,0,45,0,0,0,0,0,4,0,0,0,7,3,0,0,8,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,0,0,13,84,321,13,71,75,26,0,4,5,590,0,7,0,0,0,0,0,0,0,7,11,47,0,0,0,0,0,0,0,63,27,92,0,3,8,0,0,0,0,129,0,5,0,0,0,0,0,0,0,11,13,41,0,8,6,0,0,0,0,64,5,6,0,3,0,0,0,0,0,16,93,314,8,36,39,16,3,9,5,525,0,0,0,0,0,0,0,0,0,3
SSC40009,3,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,14,3,3,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,8,0,0,4,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,8,17,9,3,0,3,0,81,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,4,27,3,3,7,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
SSC40010,3,17,3,4,0,0,0,0,0,35,3,5,0,0,0,0,0,0,0,13,26,164,9,32,36,14,0,6,4,281,0,0,0,0,0,0,0,0,0,3,10,24,3,31,22,7,0,3,3,94,19,27,10,93,33,23,0,13,4,222,30,31,62,161,93,47,5,22,0,459,5,4,0,13,21,10,0,9,0,61,6,5,8,24,16,7,0,3,0,80,0,0,0,0,5,0,0,0,0,10,0,7,0,10,4,6,0,7,7,45,112,321,94,384,229,123,8,60,23,1349,0,3,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,11,8,32,0,3,4,3,0,0,0,54,0,5,0,0,0,0,0,0,0,9,3,32,5,4,6,3,0,0,0,55,3,13,0,0,0,0,0,0,0,17,52,238,14,46,44,17,3,11,4,429,0,0,0,3,0,0,0,0,0,4
