SSC_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SSC40001,36,110,26,51,43,15,5,8,5,298,64,85,54,83,82,32,10,14,10,422,134,91,473,177,203,103,65,87,14,1342,12,3,7,6,21,16,3,5,0,76,14,18,16,36,35,12,3,10,3,143,3,5,7,4,4,3,5,10,0,42,3,8,13,15,6,3,3,9,4,69,437,1145,644,475,545,221,113,177,44,3796
SSC40002,50,76,27,41,22,18,3,14,0,253,63,70,40,78,54,18,3,24,3,349,62,51,160,67,79,34,15,35,9,513,8,3,7,11,10,3,0,8,0,50,16,13,4,18,15,15,5,4,4,102,4,17,0,6,4,3,3,4,0,46,3,14,11,3,5,14,0,7,12,75,674,2088,381,467,508,268,41,198,66,4691
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,5,0,3,0,0,0,0,23
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7
SSC40006,0,3,0,4,0,0,0,4,3,21,12,7,4,13,14,0,4,4,0,58,17,8,70,20,20,15,16,20,0,197,3,0,0,3,5,0,3,3,0,22,4,3,0,3,5,4,0,7,0,20,0,0,4,0,3,0,0,0,0,5,0,4,3,3,0,0,4,3,0,17,53,110,93,66,64,31,27,44,8,507
SSC40007,7,10,3,6,10,4,0,0,0,42,13,10,5,18,16,3,3,0,0,66,22,13,65,26,27,17,10,11,3,189,0,0,0,0,0,0,0,0,0,9,0,0,0,10,3,0,0,3,0,22,0,3,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,5,63,168,89,90,67,24,23,29,3,558
SSC40008,17,53,4,11,16,4,0,3,0,108,10,26,6,5,6,4,0,3,0,64,26,12,69,20,17,10,6,14,0,174,0,0,0,0,0,4,0,0,0,7,5,7,0,10,0,5,0,0,0,27,4,0,0,0,3,0,0,0,0,3,0,4,0,0,7,4,0,0,0,18,213,619,94,97,99,42,8,25,17,1219
SSC40009,5,7,0,3,0,0,0,0,0,10,0,0,4,4,3,0,0,0,0,13,3,3,19,3,3,3,3,5,0,52,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,21,56,34,19,16,10,5,14,0,177
SSC40010,27,34,14,48,26,12,3,11,3,172,41,47,21,112,34,25,6,15,4,307,105,57,467,213,136,88,79,118,13,1282,8,5,12,11,20,19,13,21,0,110,12,11,18,39,17,15,12,10,0,132,0,3,3,4,5,0,0,0,0,17,12,8,12,16,4,10,4,19,14,103,275,497,567,496,295,200,117,221,39,2700
SSC40011,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,7,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,14,7,4,8,3,3,0,0,45
