SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC40001,44,234,87,79,7,519,68,36,306,158,218,18,816,0,0,13,15,21,0,44,6,4,18,27,129,5,198,5,0,16,16,39,6,84,233,135,1022,735,1569,110,3796
SSC40002,46,209,40,29,4,585,136,35,399,60,60,18,707,18,5,50,22,16,6,122,18,3,35,23,50,3,136,26,5,50,14,15,17,126,945,218,2145,603,665,119,4691
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,23
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,7
SSC40006,4,16,3,6,0,44,4,8,27,22,27,0,87,0,0,0,4,3,0,8,0,0,0,3,16,0,18,0,0,3,0,6,3,12,20,21,119,83,237,21,507
SSC40007,9,33,8,10,0,66,9,13,40,22,23,3,106,0,0,3,0,3,0,4,0,0,3,6,12,0,22,0,0,4,0,7,0,18,33,28,150,107,220,14,558
SSC40008,23,89,22,14,8,204,58,25,114,26,27,4,253,3,3,14,8,4,0,23,3,0,10,4,16,0,36,3,0,15,0,13,0,34,199,89,525,177,208,18,1219
SSC40009,10,9,0,0,0,21,3,5,15,12,6,0,46,0,0,3,0,0,0,5,0,0,8,0,4,0,12,0,0,0,0,0,0,4,18,15,49,26,56,4,177
SSC40010,22,105,49,60,6,252,26,26,114,154,220,13,543,3,0,3,4,14,0,26,0,3,8,16,110,0,140,3,0,13,11,53,17,90,65,78,429,485,1520,116,2700
