SSC_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SSC40001,0,0,17,12,12,4,4,0,0,52,183,273,475,550,704,550,64,7,0,2806,0,0,4,3,3,3,0,0,0,20,0,0,10,11,14,6,0,0,0,45,14,18,59,94,118,78,5,0,0,387,0,3,23,22,24,17,3,0,0,89,19,56,96,81,90,78,13,0,0,433,3,15,26,40,43,42,8,0,0,171,110,119,104,78,115,72,17,0,0,619,118,65,54,26,17,17,3,0,0,295,3,13,35,39,61,59,6,0,0,217,3,4,23,15,22,17,0,0,0,80,0,11,52,66,58,48,4,0,0,236,3,7,18,4,10,9,4,0,0,61,3,17,69,83,73,48,5,0,0,300,9,16,33,43,58,58,9,0,0,221,5,22,58,117,99,76,14,0,0,385,18,40,96,104,179,146,15,0,0,597,18,79,159,198,269,246,27,3,0,1012,7,18,14,23,14,10,6,0,0,83
SSC40002,4,7,26,17,12,4,3,3,0,78,76,445,1065,468,338,287,115,14,3,2811,0,3,0,8,9,0,0,0,0,26,0,3,32,11,7,6,3,0,0,64,3,21,69,44,19,24,11,0,0,184,0,3,15,13,4,8,0,0,0,44,0,24,58,31,29,23,9,0,0,180,0,13,51,30,21,10,6,0,0,131,33,128,176,60,56,53,13,0,0,526,61,320,323,90,51,28,7,0,0,872,3,7,39,24,26,16,3,0,0,119,0,18,61,27,13,13,8,0,0,150,0,11,91,60,42,26,18,0,0,252,0,6,26,18,5,10,10,3,0,87,0,57,306,158,93,85,51,3,0,754,0,23,55,26,23,12,11,0,0,160,0,24,183,113,106,63,18,3,4,516,5,33,220,136,91,99,34,6,0,623,3,59,326,148,95,97,47,9,0,783,0,11,65,29,15,18,3,3,0,150
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,0,16,0,3,3,7,8,4,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,0,3,0,3,3,0,0,0,0,13,18,41,90,95,96,54,11,0,0,402,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,9,14,18,22,14,3,0,0,85,0,0,0,3,10,4,0,0,0,20,3,3,27,17,11,16,0,0,0,80,0,4,9,8,12,4,0,0,0,32,16,14,16,14,22,5,0,0,0,87,5,12,10,12,5,0,0,0,0,50,0,0,12,7,11,15,0,0,0,44,0,0,4,3,3,5,0,0,0,12,0,3,9,10,4,5,0,0,0,29,0,0,0,5,3,0,0,0,0,8,0,0,11,5,9,3,0,0,0,30,0,3,3,12,7,3,0,0,0,22,0,5,12,20,12,3,3,0,0,58,0,3,11,10,12,6,0,0,0,50,0,10,31,31,19,22,3,0,0,116,0,3,3,3,3,0,0,0,0,17
SSC40007,0,0,0,0,0,0,0,0,0,0,17,33,107,77,113,82,9,0,0,431,0,0,4,0,3,0,0,0,0,8,0,0,0,6,0,3,0,0,0,6,0,7,12,19,11,21,3,0,0,77,0,0,3,0,5,3,0,0,0,9,3,8,17,12,7,16,0,0,0,63,0,3,3,6,11,3,0,0,0,28,5,15,10,12,13,8,0,0,0,75,11,10,17,7,3,8,0,0,0,59,0,0,15,11,14,13,7,0,0,50,0,0,10,7,0,3,0,0,0,19,0,0,11,7,3,0,0,0,0,22,0,0,4,0,8,4,0,3,0,12,0,3,3,9,12,8,7,0,0,39,0,3,12,5,12,10,0,0,0,41,0,0,18,24,23,17,0,0,0,80,0,3,20,15,29,11,0,0,0,78,0,11,37,19,34,37,4,0,0,144,3,0,3,0,3,6,0,0,0,20
SSC40008,3,0,0,5,6,8,7,0,0,22,43,42,56,191,219,175,53,5,0,779,0,3,3,3,4,9,0,0,0,23,0,0,0,7,7,4,0,0,0,17,6,4,10,13,22,22,8,0,0,85,0,0,0,7,5,3,0,0,0,22,4,12,11,27,20,20,3,0,0,108,0,0,5,9,5,10,0,0,0,33,19,22,3,15,22,16,3,0,0,101,31,20,13,11,12,3,3,0,0,87,0,3,0,4,5,11,3,0,0,28,0,0,6,3,10,0,0,0,0,23,0,0,0,17,27,12,6,0,0,65,0,3,3,11,3,3,8,0,0,22,3,7,17,48,66,39,21,0,0,202,0,3,3,6,13,12,3,0,0,41,0,0,5,35,40,37,0,0,0,119,0,12,12,45,59,62,16,3,0,223,3,0,13,69,75,81,23,0,0,267,3,5,8,12,5,3,0,0,0,38
SSC40009,0,0,0,0,0,0,0,0,0,5,8,8,15,23,30,23,5,0,0,119,0,0,0,0,3,3,3,0,0,11,0,0,0,3,0,0,0,0,0,3,8,0,3,4,4,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,10,7,12,5,0,0,0,34,0,0,0,0,3,0,0,0,0,7,0,0,3,0,10,0,0,0,0,15,4,3,0,0,3,4,0,0,0,22,0,0,0,3,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,4,3,3,0,0,0,13,0,0,0,5,7,8,0,0,0,22,0,0,5,8,21,14,3,0,0,48,0,4,0,0,0,0,0,0,0,7
SSC40010,6,4,20,16,16,11,5,0,0,66,131,187,471,510,449,277,46,3,4,2077,5,8,11,14,21,17,5,0,0,82,0,0,19,16,10,6,0,0,0,51,9,22,89,93,93,40,3,0,0,351,3,3,18,8,8,11,3,0,0,62,14,57,150,122,91,44,7,0,0,488,0,11,26,20,28,15,3,0,0,100,64,66,130,105,89,47,10,0,0,510,102,48,46,46,23,14,3,0,0,276,4,3,20,32,45,30,9,0,0,144,0,0,11,12,8,11,0,0,0,45,0,8,30,32,24,7,0,0,0,103,0,7,11,7,11,6,6,0,0,43,0,11,36,43,30,25,9,0,0,159,3,13,41,59,68,36,12,0,0,225,0,9,59,70,54,41,7,0,0,245,5,18,58,94,59,48,6,0,0,291,10,52,123,157,174,121,18,0,0,657,0,3,13,11,5,0,0,0,0,32
