SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC40001,7,21,40,56,61,51,11,0,0,253,4,8,33,38,33,21,13,0,0,146,350,534,1010,1129,1356,1104,163,8,0,5663
SSC40002,3,26,45,40,39,15,6,0,0,177,9,15,63,34,35,17,3,7,0,181,134,813,2211,1102,788,624,265,35,6,5972
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,8,13,4,3,0,0,46
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,16
SSC40006,0,4,6,7,4,3,0,0,0,27,0,5,6,4,12,5,0,0,0,29,37,83,199,201,173,112,15,0,0,814
SSC40007,0,4,12,6,12,10,0,0,0,41,3,3,3,3,5,3,0,0,0,24,33,64,205,166,212,178,25,7,0,888
SSC40008,4,3,4,9,15,9,3,0,0,52,5,0,3,13,17,10,6,0,0,43,86,108,114,359,432,370,115,11,0,1590
SSC40009,4,0,0,3,0,3,0,0,0,12,0,0,3,0,3,0,0,0,0,8,16,14,30,54,73,52,16,0,0,257
SSC40010,3,24,48,45,35,19,0,0,0,179,11,18,43,32,42,23,7,0,0,171,229,369,974,1025,937,565,106,3,6,4217
SSC40011,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,4,12,20,17,10,5,3,0,73
SSC40012,3,10,19,5,6,13,0,0,0,55,0,0,10,9,4,5,0,0,0,31,54,98,189,193,247,165,35,3,0,977
SSC40013,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,3,21,15,50,50,44,24,7,0,0,204
SSC40014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,16,6,19,8,3,0,67
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,3,4,0,0,38
