SSC_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
SSC40001,0,0,0,4,7,4,0,0,0,15,3,0,0,0,4,5,7,13,0,36,7,4,9,15,80,72,54,57,0,295,4,0,0,5,15,13,7,17,0,70,5,12,27,29,53,118,56,78,0,379,0,7,3,9,32,41,24,21,3,133,3,54,21,31,54,28,34,42,0,278,0,61,20,15,12,4,14,15,0,133,7,7,12,20,31,23,31,34,0,165,0,8,0,3,15,18,0,6,0,57,3,3,3,8,25,29,22,11,0,94,0,0,0,3,7,8,0,5,0,26,5,8,3,12,32,56,24,31,0,175,0,25,11,18,17,25,9,14,0,118,7,7,3,16,68,57,30,17,0,210,3,22,15,18,48,33,25,43,0,209,7,18,17,27,54,42,17,20,0,195,0,19,3,0,9,3,0,5,0,46,5,14,3,18,25,31,19,26,0,142,3,3,9,8,15,11,14,16,19,95
SSC40002,0,3,0,0,0,0,3,5,0,17,0,0,0,0,4,18,6,15,0,51,12,6,9,3,28,26,14,15,0,113,0,0,0,0,19,7,4,9,0,42,7,12,12,9,15,38,13,29,3,137,4,11,3,10,15,17,12,9,0,82,7,38,27,31,61,44,23,33,3,260,10,114,84,38,65,44,31,53,9,452,3,3,8,8,18,14,9,32,0,94,3,7,5,3,23,26,7,15,0,93,3,3,3,4,34,37,19,28,0,136,3,3,9,0,5,5,13,5,0,45,10,21,16,33,74,111,54,120,5,444,0,20,17,8,19,5,3,5,0,79,4,13,4,21,91,54,39,46,0,271,4,48,18,20,50,54,23,48,0,269,14,25,19,36,69,51,19,72,3,307,0,19,10,17,5,10,9,19,0,94,3,5,9,10,16,13,9,6,3,76,5,17,7,7,12,12,5,22,17,104
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,3,4,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,6,12,15,0,58,0,0,0,0,4,3,4,4,0,16,0,4,0,6,15,18,10,20,0,72,0,3,0,0,11,4,3,4,0,19,0,3,4,0,9,3,4,7,0,34,0,6,0,4,0,4,5,4,0,26,0,0,4,0,8,12,4,3,0,32,0,0,0,0,3,0,0,0,0,12,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,14,3,0,0,0,3,0,0,0,0,8,3,0,0,0,14,6,0,0,0,28,0,0,0,0,0,5,0,0,0,9,0,0,4,5,10,4,0,0,0,24,0,0,0,3,0,7,0,0,0,13,0,0,0,0,3,3,0,3,0,18,0,0,0,0,3,5,0,0,3,15
SSC40007,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9,0,0,0,4,21,12,11,12,0,61,0,0,0,0,0,3,3,0,0,12,5,3,0,0,6,20,5,8,0,56,0,0,4,0,7,3,4,3,0,20,0,8,0,10,5,3,0,4,0,30,0,4,4,5,3,3,0,7,0,30,0,3,4,3,9,4,9,12,0,42,0,3,0,0,3,0,0,3,0,13,0,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,3,5,3,0,23,0,4,0,3,0,3,3,3,0,15,0,0,0,0,15,13,9,7,0,41,0,3,3,0,3,5,4,3,0,22,0,0,6,5,5,7,4,3,0,27,0,0,0,0,3,3,0,0,0,10,0,0,3,4,4,0,0,4,0,20,0,0,0,0,3,3,0,10,3,26
SSC40008,0,0,0,3,3,0,3,3,0,13,0,0,0,0,0,4,3,10,0,12,0,10,7,3,3,16,3,21,0,59,0,0,0,0,4,6,0,3,0,19,0,3,6,14,5,21,21,24,0,94,0,0,0,0,4,6,3,10,0,24,0,15,3,3,3,3,0,10,0,45,0,10,8,3,0,0,3,3,0,31,0,0,0,3,4,7,7,3,0,18,0,3,0,0,6,7,0,0,0,11,3,5,0,0,4,14,8,12,0,41,0,0,0,0,0,3,3,0,0,8,0,4,8,7,17,34,18,33,0,118,0,4,3,4,6,5,0,3,0,21,0,0,0,7,16,15,17,10,0,59,0,10,7,10,12,10,11,17,0,75,0,9,11,12,6,20,12,17,0,81,0,3,0,0,3,3,0,0,0,14,0,0,3,3,4,12,6,10,0,35,0,3,0,0,0,4,3,6,0,22
SSC40009,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,11,5,8,0,31,0,0,0,0,3,0,0,5,0,7,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,3,0,10,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0,0,6,0,3,0,3,3,0,0,0,0,10,0,0,3,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SSC40010,0,5,6,9,13,10,3,18,0,58,10,0,6,4,3,3,4,28,0,54,9,8,6,10,92,53,33,40,5,260,0,0,0,8,11,8,4,7,0,47,21,15,21,43,70,121,57,94,8,458,7,0,3,8,17,12,12,12,0,72,3,31,17,26,36,26,34,23,4,197,3,25,17,11,15,8,12,11,0,106,3,8,9,13,23,9,14,29,4,113,0,0,0,6,7,6,3,7,0,28,0,0,0,0,8,12,3,5,0,36,0,3,0,0,8,3,3,3,0,21,0,8,4,13,12,25,6,12,0,74,0,8,10,28,23,14,4,10,0,108,6,8,5,13,27,27,17,18,0,133,3,7,5,9,15,10,9,14,0,81,3,9,10,26,37,10,3,6,0,100,0,3,3,0,5,3,0,0,0,16,0,6,3,6,25,24,5,16,0,95,6,8,5,7,19,20,10,14,17,106
