SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC40001,4,34,25,36,38,40,29,35,0,253,6,13,10,14,23,14,15,21,30,146,198,731,579,812,1166,913,554,641,72,5663
SSC40002,7,17,23,27,30,28,13,17,5,177,10,29,9,14,24,17,6,31,30,181,211,790,612,578,1269,999,542,882,91,5972
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,4,5,7,11,0,46
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,3,0,16
SSC40006,0,3,0,3,6,3,0,3,0,27,0,0,3,0,7,5,0,0,7,29,35,70,72,94,224,132,69,102,15,814
SSC40007,0,3,3,10,12,0,0,7,0,41,0,3,0,0,6,3,0,10,3,24,34,99,79,128,199,150,92,100,6,888
SSC40008,0,8,6,8,4,10,6,9,0,52,0,5,8,6,6,10,3,6,3,43,36,257,185,234,205,245,162,260,7,1590
SSC40009,0,5,0,4,0,3,0,0,0,12,0,0,0,0,0,3,0,0,3,8,12,49,27,41,45,36,17,30,4,257
SSC40010,4,29,19,23,37,35,7,22,3,179,9,24,13,15,27,26,11,18,28,171,223,527,491,647,871,592,347,448,67,4217
SSC40011,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,7,4,14,5,17,6,15,0,73
SSC40012,0,6,7,9,12,7,3,11,0,55,0,3,0,3,4,8,0,3,6,31,26,156,87,104,240,164,77,110,19,977
SSC40013,0,3,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,3,10,24,19,26,27,30,18,42,3,204
SSC40014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,12,3,8,7,5,4,16,0,67
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,10,3,3,38
SSC40016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,10,9,9,5,9,0,54
SSC40017,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,4,9,0,3,0,27,18,13,4,4,6,88
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,8,10,6,5,9,3,0,64
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC40022,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,4,12,0,3,0,4,24,8,10,20,4,70
SSC40023,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,7,4,21,14,17,11,10,11,33,0,116
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,0,26
