SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC40001,603,1232,825,675,959,585,246,469,73,5663
SSC40002,856,2215,480,753,702,449,92,339,96,5972
SSC40003,0,0,0,0,0,0,0,0,0,0
SSC40004,30,4,4,0,4,0,3,4,0,46
SSC40005,6,0,0,0,0,0,0,3,0,16
SSC40006,78,116,120,100,147,73,64,98,13,814
SSC40007,86,186,119,135,129,69,54,89,9,888
SSC40008,270,647,133,154,166,105,25,72,17,1590
SSC40009,34,64,40,32,27,20,11,34,0,257
SSC40010,379,545,770,649,492,492,286,542,66,4217
SSC40011,27,14,5,7,12,3,6,5,0,73
SSC40012,107,203,124,97,186,103,57,83,20,977
SSC40013,31,19,34,23,13,16,17,44,3,204
SSC40014,26,10,5,8,4,3,3,9,3,67
SSC40015,8,6,3,6,6,0,3,4,0,38
SSC40016,14,8,8,4,3,3,5,6,0,54
SSC40017,15,34,0,20,5,3,0,7,0,88
SSC40018,0,0,0,0,0,0,0,0,0,0
SSC40019,16,7,12,16,4,6,5,7,0,64
SSC40020,4,0,0,0,0,0,0,0,0,7
SSC40021,4,0,0,0,0,0,0,0,0,4
SSC40022,9,15,9,15,9,0,0,10,8,70
SSC40023,9,8,26,13,8,6,26,12,4,116
SSC40024,0,0,0,0,0,0,0,0,0,4
SSC40025,10,0,0,0,5,0,0,0,0,26
SSC40026,229,259,491,487,392,396,405,546,71,3275
SSC40027,10,0,0,3,4,0,3,6,0,30
SSC40028,8,0,0,0,3,0,3,3,0,19
SSC40029,174,161,132,84,94,83,60,198,8,986
SSC40030,35,82,73,94,50,46,50,83,13,528
SSC40031,198,158,279,131,236,136,147,172,28,1468
SSC40032,0,0,3,0,0,0,4,9,0,14
SSC40033,0,0,0,4,0,0,0,0,0,3
SSC40034,0,0,3,0,0,0,0,0,0,7
SSC40035,3,0,0,0,3,0,0,3,0,14
SSC40036,15,5,0,4,7,0,0,4,0,38
SSC40037,3,0,0,0,0,0,0,0,0,6
SSC40038,45,44,51,49,26,35,49,58,6,360
SSC40039,4,7,16,3,3,0,12,9,0,50
SSC40040,34,50,22,16,22,16,9,25,0,200
SSC40041,33,13,29,16,8,11,12,31,0,155
SSC40042,24,18,3,8,6,3,3,4,0,73
SSC40043,113,404,206,245,201,164,85,185,18,1622
SSC40044,36,21,21,20,15,10,5,16,0,144
SSC40045,40,125,49,66,71,40,17,39,9,451
SSC40046,49,72,36,24,32,17,12,13,5,267
SSC40047,8,0,0,0,0,0,0,6,0,19
SSC40048,592,1146,638,483,761,552,157,332,74,4743
SSC40049,75,112,102,139,79,60,66,165,11,813
SSC40050,62,53,38,26,30,26,15,63,3,320
SSC40051,61,107,30,17,51,26,6,11,10,311
SSC40052,0,0,4,0,0,0,3,3,0,15
SSC40053,40,12,3,0,6,0,3,3,0,60
SSC40054,13,17,6,11,7,6,8,9,0,69
SSC40055,14,0,0,0,0,3,8,9,0,31
SSC40056,25,10,5,7,10,3,4,12,0,85
SSC40057,21,9,7,3,3,0,3,3,0,57
SSC40058,0,0,0,0,0,0,0,0,0,0
SSC40059,3,0,0,0,0,0,0,0,0,5
SSC40060,0,0,0,0,0,0,0,0,0,0
SSC40061,115,102,112,79,91,71,101,149,12,832
SSC40062,9,0,3,0,0,0,0,0,0,12
SSC40063,4,0,3,0,0,0,0,0,0,3
SSC40064,5,0,5,3,3,3,4,3,0,28
SSC40065,136,202,112,94,99,74,49,55,0,819
SSC40066,7,0,0,0,0,0,0,0,0,6
SSC40067,22,4,3,3,0,0,3,8,0,43
SSC40068,14,3,3,0,0,0,0,4,0,25
SSC40069,130,323,288,192,251,151,87,102,23,1541
SSC40070,21,4,14,3,4,5,6,10,3,69
SSC40071,7,3,0,0,0,0,0,4,0,14
SSC40072,164,125,167,143,98,116,67,193,11,1081
SSC40073,0,0,0,0,0,0,0,0,0,0
SSC40074,0,0,0,0,0,0,0,0,0,0
SSC40075,21,5,0,0,0,0,0,3,0,36
SSC40076,7,8,3,0,9,0,0,3,0,33
SSC40077,7,4,0,0,3,0,0,0,0,14
SSC40078,31,55,12,21,27,3,5,15,3,165
SSC40079,3,0,3,0,0,3,0,8,0,19
SSC40080,0,4,0,4,0,6,0,6,0,20
SSC40081,65,33,32,30,21,17,15,49,6,271
SSC40082,0,0,0,0,0,0,0,3,0,8
SSC40083,16,0,0,0,3,0,0,8,0,25
SSC40084,222,497,67,113,149,103,12,46,25,1223
SSC40085,0,0,0,0,0,0,0,0,0,0
SSC40086,35,168,50,112,67,83,23,77,6,622
SSC40087,8,6,0,4,3,3,3,5,0,35
SSC40088,318,814,226,209,260,161,29,98,30,2154
SSC40089,16,7,3,0,3,6,3,6,0,35
SSC40090,19,0,3,3,3,3,0,0,0,33
SSC40091,135,363,105,133,144,85,25,61,20,1075
SSC40092,0,0,0,0,0,0,0,0,0,4
SSC40093,3,0,0,0,0,0,0,0,0,4
SSC40094,14,6,14,7,4,9,3,15,0,71
SSC40095,3,0,0,0,0,0,0,0,0,5
SSC40096,166,277,153,176,175,142,102,292,19,1507
SSC40097,16,18,7,4,9,8,0,19,0,85
SSC40098,13,0,9,0,0,0,0,6,0,32
SSC40099,126,313,73,70,110,83,13,49,14,860
SSC40100,70,131,95,85,108,74,74,80,18,733
SSC40101,18,18,27,15,22,3,12,15,5,137
SSC40102,0,0,0,0,0,0,0,0,0,3
SSC40103,9,6,0,3,6,9,4,8,0,46
SSC40104,0,0,0,0,0,0,0,0,0,0
SSC40105,25,3,4,0,3,9,0,5,0,50
SSC40106,6,0,3,3,0,0,0,0,0,19
SSC40107,92,101,106,100,88,39,41,70,3,644
SSC40108,96,149,132,133,137,89,57,93,14,912
SSC40109,138,318,104,127,142,70,21,79,5,992
SSC40110,0,0,0,4,0,0,6,3,0,17
SSC40111,3,4,4,0,3,0,0,0,0,15
SSC40112,12,0,3,3,3,3,0,0,0,24
SSC40113,11,3,3,3,0,3,4,4,0,29
SSC40114,3,3,3,4,0,0,0,6,0,27
SSC40115,0,7,0,0,0,0,3,0,0,14
SSC40116,18,0,3,0,3,3,0,0,0,30
SSC40117,251,741,242,208,253,143,46,145,19,2048
SSC40118,129,317,272,189,168,162,130,305,35,1713
SSC40119,313,416,551,502,470,397,308,414,47,3407
SSC40120,31,46,24,19,27,20,5,16,3,193
SSC40121,0,4,0,0,0,0,0,0,0,12
SSC40122,20,3,19,3,5,4,11,19,3,98
SSC40123,13,3,3,0,12,0,0,9,0,42
SSC40124,43,34,27,12,21,7,5,12,3,162
SSC40125,9,3,8,3,4,0,0,3,0,20
SSC40126,3,0,0,4,0,0,3,0,0,15
SSC40127,47,19,31,36,20,15,32,49,3,246
SSC40128,7,3,0,0,3,0,5,8,0,22
SSC40129,0,0,0,0,0,0,0,0,0,0
SSC40130,5,7,3,0,0,0,0,0,0,10
SSC40131,7,5,9,3,9,10,17,19,4,82
SSC40132,0,0,3,0,0,0,0,0,0,8
SSC40133,0,0,0,0,0,0,0,3,0,4
SSC40134,4,3,0,0,0,0,0,0,0,5
SSC40135,21,13,10,12,7,7,3,10,4,87
SSC40136,19,7,4,3,12,4,3,5,0,56
SSC40137,18,0,0,0,3,3,0,0,0,21
SSC40138,91,34,14,22,25,6,11,23,4,243
SSC40139,0,0,0,0,0,0,0,0,0,4
SSC40140,3,0,0,0,0,0,0,6,0,14
SSC40141,11,4,4,4,4,0,3,3,0,34
SSC40142,174,118,219,89,154,121,110,423,30,1443
SSC40143,13,4,0,0,0,4,0,0,0,26
SSC40144,9,4,0,0,0,0,0,0,0,22
SSC40145,63,75,105,68,72,43,29,36,13,503
SSC40146,60,183,45,64,50,36,18,31,8,491
SSC40147,0,0,0,3,0,0,0,3,0,12
SSC40148,26,3,3,3,3,0,0,12,0,62
SSC40149,8,0,0,0,3,0,0,0,0,18
SSC40150,4,0,5,0,0,0,3,0,3,17
SSC40151,11,30,12,12,8,10,0,11,3,101
SSC40152,0,0,3,0,3,0,0,0,0,10
SSC40153,66,99,171,161,130,113,130,228,23,1121
SSC40154,4,0,3,0,0,0,0,3,0,10
SSC40155,24,4,0,4,0,0,0,3,0,29
SSC40156,0,0,0,0,0,0,0,0,0,0
SSC40157,13,0,4,6,4,3,0,5,0,35
SSC40158,241,640,257,215,218,151,48,102,25,1890
SSC40159,0,0,3,3,0,0,0,4,0,12
SSC40160,257,438,172,234,228,160,43,101,24,1657
SSC40161,18,8,0,0,7,0,3,4,0,38
SSC40162,24,0,6,0,4,3,0,4,0,51
SSC40163,41,8,15,13,5,3,11,21,0,113
SSC40164,255,557,234,247,302,193,96,190,36,2115
SSC40165,227,629,158,200,231,148,55,111,21,1783
SSC40166,26,5,0,0,4,0,0,5,0,45
SSC40167,204,453,307,335,305,225,167,255,28,2279
SSC40168,3,0,0,0,0,0,0,0,0,5
SSC40169,0,0,0,0,0,0,0,0,0,3
SSC40170,0,14,3,3,4,3,0,5,0,30
SSC40171,5,0,0,0,3,0,0,5,0,13
SSC40172,19,17,17,10,14,14,4,16,3,111
SSC40173,0,0,0,0,0,0,0,0,0,0
SSC40174,41,26,49,20,26,7,11,23,8,214
SSC40175,11,3,0,0,0,0,0,0,0,19
SSC40176,12,6,12,5,6,4,3,8,0,75
SSC40177,13,0,0,0,0,3,0,0,0,20
SSC40178,39,13,12,5,8,8,7,8,3,90
SSC40179,20,0,0,0,0,0,4,0,0,25
SSC40180,14,0,0,0,3,0,0,0,0,22
SSC40181,18,30,23,10,13,4,4,7,3,128
SSC40182,9,14,6,5,11,7,0,5,0,60
SSC40183,3,0,0,0,0,0,0,0,0,11
SSC40184,3,0,0,0,0,0,0,0,0,3
SSC40185,3,0,0,0,0,0,0,0,0,4
SSC40186,17,3,3,3,6,0,0,3,0,28
SSC40187,3,0,0,0,0,0,0,0,0,3
SSC40188,4,3,3,7,9,7,5,4,0,45
SSC40189,3,0,0,0,0,0,0,0,0,4
SSC40190,18,3,7,14,6,10,5,11,0,74
SSC40191,0,0,0,0,0,0,0,0,0,4
SSC40192,262,482,93,125,160,103,19,40,16,1303
SSC40193,97,47,69,36,38,24,35,74,6,424
SSC40194,5,0,0,0,0,0,0,0,0,3
SSC40195,23,0,5,3,6,3,4,5,0,58
SSC40196,250,252,376,351,340,307,318,478,60,2720
SSC40197,36,18,11,14,9,7,12,27,3,136
SSC40198,26,3,0,0,4,0,0,3,0,37
SSC40199,29,12,10,24,14,8,11,36,0,149
SSC40200,20,3,0,3,0,3,3,0,0,27
SSC40201,5,0,0,0,0,0,0,0,0,4
SSC40202,3,0,3,0,0,0,0,0,0,8
SSC40203,22,40,48,40,35,22,30,50,6,288
SSC40204,11,0,6,3,0,0,3,0,0,27
SSC40205,18,3,16,4,12,4,9,9,0,68
SSC40206,24,3,3,3,3,5,0,3,0,46
SSC40207,5,0,0,0,0,0,0,0,0,6
SSC40208,11,0,0,0,0,0,0,0,0,20
SSC40209,37,7,13,7,13,3,19,27,0,124
SSC40210,170,333,237,240,213,160,88,146,32,1621
SSC40211,325,782,411,382,490,328,158,356,60,3291
SSC40212,19,0,3,0,3,0,0,4,0,27
SSC40213,36,9,9,3,9,0,3,10,0,85
SSC40214,0,0,0,0,0,0,0,0,0,4
SSC40215,7,0,0,0,5,0,3,4,0,26
SSC40216,5,0,0,0,3,0,0,0,0,9
SSC40217,0,0,0,3,0,0,0,3,0,9
SSC40218,8,3,3,4,3,0,0,4,0,29
SSC40219,11,0,5,0,4,3,0,9,0,30
SSC40220,12,6,4,12,11,13,9,20,0,83
