SSC_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SSC40001,0,0,0,106,19,3,0,37,6,20,0,3,0,9,79,174,0,0,0,3,0,0,0,0,0,0,0,7,343,60,15,547,57,249,21,85,15,70,80,1550
SSC40002,0,0,0,65,8,6,0,8,0,0,0,0,0,0,29,57,0,0,0,0,0,0,0,0,0,3,0,4,75,24,9,105,22,89,4,40,7,51,30,454
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,0,3,0,0,0,19
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40006,0,0,0,12,3,0,0,4,0,3,0,0,0,0,14,27,0,0,0,0,0,0,0,0,0,0,0,3,42,5,0,58,9,33,0,13,0,23,13,198
SSC40007,0,0,0,11,3,0,0,0,0,5,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,3,41,12,0,48,3,39,3,13,0,13,3,173
SSC40008,0,0,0,120,6,3,0,11,0,3,0,6,0,3,34,66,3,0,0,0,0,0,0,0,0,0,0,5,86,26,0,202,14,72,0,25,4,14,34,475
SSC40009,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,20,0,8,0,4,0,7,0,67
SSC40010,0,0,0,28,17,0,0,22,0,18,0,4,0,4,65,140,0,0,0,9,0,0,0,0,0,0,3,17,164,64,16,374,49,213,23,72,24,98,73,1176
