SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC40001,0,0,0,0,0,0,4,0,4,156,132,16,304,11,13,23,330,139,0,466
SSC40002,0,0,0,0,0,0,4,0,5,80,51,9,140,5,4,11,147,134,0,281
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SSC40006,0,3,0,0,0,3,0,0,6,36,13,3,54,3,0,0,60,39,0,101
SSC40007,0,0,0,0,0,0,0,0,3,39,27,0,60,3,0,3,64,52,0,118
SSC40008,0,0,0,0,0,0,0,0,0,32,26,3,58,0,0,5,56,29,0,83
SSC40009,0,0,0,0,0,0,0,0,0,3,6,0,16,0,3,3,21,11,0,29
SSC40010,3,4,0,0,0,4,11,0,17,124,207,18,348,21,22,44,393,245,0,637
SSC40011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40012,0,0,0,0,0,0,0,0,0,27,15,3,43,3,0,4,44,30,0,70
SSC40013,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,0,14
SSC40014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40017,0,3,0,0,0,3,3,0,4,4,7,0,8,5,0,5,14,9,0,29
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40019,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,7,5,0,14
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40022,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,6,0,11
SSC40023,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,8,7,0,15
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40026,0,0,0,0,0,0,3,5,8,132,160,15,307,32,27,55,363,260,7,624
SSC40027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40029,0,0,0,0,0,0,0,0,0,25,30,3,59,3,4,9,64,31,3,99
SSC40030,0,0,0,0,0,0,0,0,0,13,19,0,28,4,7,7,35,66,0,99
SSC40031,0,0,0,0,0,0,0,0,0,17,11,0,33,4,4,7,37,13,0,54
SSC40032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40038,0,0,0,0,0,0,0,0,0,5,11,0,12,0,0,0,13,22,3,42
SSC40039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40040,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,3
SSC40041,0,0,0,0,0,0,0,0,0,8,9,0,11,0,0,0,11,4,0,17
SSC40042,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,8,0,9
SSC40043,0,0,0,0,0,0,4,0,0,42,42,3,87,3,3,9,95,58,0,154
SSC40044,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,0,0,8
SSC40045,0,0,0,0,0,0,0,0,0,12,3,0,14,0,0,0,15,11,0,29
SSC40046,0,0,0,0,0,0,0,0,0,5,3,0,10,0,0,0,14,3,0,15
SSC40047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40048,0,6,0,0,0,6,3,0,8,114,73,7,196,0,4,4,195,102,0,303
SSC40049,0,0,0,0,0,0,0,3,4,25,21,5,54,0,5,8,59,64,3,121
SSC40050,0,0,0,0,0,0,0,0,0,4,4,0,10,0,0,0,10,5,0,12
SSC40051,0,0,0,0,0,0,0,0,0,8,4,0,10,0,0,0,10,4,0,15
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40056,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,3
SSC40057,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,3,0,3
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40061,0,0,0,0,0,0,0,0,3,19,16,3,34,3,0,6,43,43,3,85
SSC40062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40065,0,0,0,0,0,0,0,0,0,15,21,3,37,0,0,0,36,14,0,53
SSC40066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40069,0,0,0,0,0,0,0,0,0,41,28,3,70,3,3,11,80,35,0,115
