SSC_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SSC40001,0,3,24,17,0,37,15,60,4,166,12,20,81,30,14,44,14,43,4,259,64,100,160,35,52,39,37,50,7,536,88,131,138,31,62,29,44,42,15,577,120,149,147,31,57,36,61,47,7,658,95,119,114,39,53,29,51,42,5,551,19,24,19,3,10,7,12,10,4,104,0,0,4,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,400,542,692,192,244,224,234,295,41,2859,0,8,4,29,10,101,0,25,4,183,11,42,7,65,53,72,0,31,0,273,32,147,26,79,109,49,0,14,13,475,57,178,31,79,136,36,0,22,9,550,60,171,38,117,209,56,11,40,10,704,36,130,18,97,175,42,3,42,6,550,3,19,0,12,18,6,0,3,0,64,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,203,694,131,477,719,357,11,174,36,2806
SSC40002,4,0,11,16,0,14,0,14,0,57,17,60,50,96,27,44,8,58,9,367,128,499,139,117,80,75,23,72,12,1147,127,273,54,44,52,23,13,39,7,635,106,134,61,33,46,20,19,23,9,452,85,140,32,10,27,18,16,11,8,337,36,76,7,3,6,10,4,3,3,148,5,12,0,0,3,3,0,0,0,23,0,3,0,0,0,0,0,0,3,4,508,1193,353,320,241,192,79,235,50,3160,4,0,0,30,5,28,0,7,3,76,22,83,23,163,48,73,0,26,3,445,117,473,55,131,168,71,3,29,14,1065,81,189,24,44,75,27,4,24,5,468,60,110,13,36,77,22,0,10,3,338,51,114,9,23,59,20,0,8,3,287,14,54,0,5,34,3,0,3,4,115,3,5,0,0,5,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,345,1026,128,431,465,256,10,102,49,2811
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,0,0,0,3,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,3,0,0,3,0,16
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
SSC40006,0,0,3,3,0,4,0,10,0,18,0,3,10,4,3,3,4,7,0,38,10,15,36,10,13,3,12,14,0,106,15,10,21,8,9,3,15,18,0,100,9,6,19,3,10,5,10,15,3,81,10,6,15,0,0,0,13,7,0,63,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,43,103,31,30,26,63,69,5,411,0,0,0,4,0,11,0,0,0,18,3,3,8,11,3,12,0,3,0,41,5,28,3,8,28,10,0,3,0,90,7,18,6,22,31,4,0,9,3,95,11,13,7,17,34,8,0,5,3,96,7,8,0,6,21,3,3,9,0,54,0,0,0,3,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,70,16,72,114,49,9,34,3,402
SSC40007,0,0,5,0,0,3,0,8,0,20,0,0,10,4,3,10,4,3,0,32,6,17,28,11,7,3,7,16,0,104,13,16,25,14,4,4,11,7,3,93,15,9,19,7,11,3,14,15,0,98,12,17,25,3,5,3,8,16,0,98,3,3,0,3,3,0,4,0,0,19,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,47,69,106,48,31,28,53,65,9,456,0,0,0,6,0,11,0,0,0,17,3,4,3,7,11,6,0,3,0,33,13,35,3,27,16,6,0,9,0,107,9,20,3,12,23,6,0,3,3,77,6,34,3,31,23,11,0,4,0,113,10,24,0,14,16,7,6,3,0,82,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,119,16,87,94,41,4,23,6,431
SSC40008,0,0,14,3,3,3,3,13,0,36,0,9,13,17,0,9,3,3,0,63,5,16,16,3,0,3,4,6,0,61,48,67,15,13,9,7,3,9,0,168,50,92,30,14,6,10,5,3,3,212,48,85,23,6,13,6,5,4,4,197,11,28,5,0,4,8,0,3,0,68,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,162,309,115,57,37,41,22,50,9,813,0,3,0,19,6,14,0,9,0,43,4,7,0,14,8,9,0,3,0,42,6,29,3,5,6,8,0,0,0,56,27,112,0,11,29,6,0,0,4,191,36,90,4,22,39,11,0,3,0,219,33,76,5,23,29,8,0,3,0,175,11,21,3,3,13,0,0,0,0,53,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,104,336,15,98,133,62,3,19,3,779
SSC40009,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,3,0,8,0,6,0,3,7,0,0,0,3,4,0,14,5,6,7,0,0,0,6,0,0,26,8,11,8,4,3,3,0,6,0,41,4,4,10,0,8,0,3,3,0,27,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,33,9,11,7,13,24,0,140,0,0,0,5,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,8,3,4,3,0,3,3,0,0,0,15,3,8,0,0,3,0,0,3,0,23,8,6,0,6,4,3,0,0,0,30,0,9,0,9,0,0,0,0,0,23,0,6,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37,9,21,11,15,0,6,0,119
SSC40010,3,0,21,3,0,26,8,41,0,97,10,3,70,16,7,19,21,40,0,188,39,48,193,36,19,31,67,73,12,509,74,54,163,35,27,30,61,61,11,515,73,60,113,26,32,32,69,77,5,486,31,31,58,31,13,26,43,53,0,287,7,10,7,3,5,3,9,13,3,58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,237,201,632,143,107,163,266,354,36,2138,0,0,3,35,4,63,0,26,3,131,14,11,19,56,24,42,0,17,0,187,39,89,43,108,93,75,0,21,11,471,48,108,24,122,101,60,0,37,5,510,30,82,22,104,78,60,6,54,8,449,16,51,15,73,75,20,4,32,3,277,4,14,3,5,9,7,0,6,3,46,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,146,343,138,502,391,329,13,187,31,2077
