SSC_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC40001,8,12,22,41,113,116,89,188,4,603,56,100,125,175,264,251,118,139,6,1232,22,44,42,77,191,195,116,120,6,825,26,119,113,161,102,71,37,29,16,675,40,92,112,160,282,131,91,57,0,959,22,186,89,91,77,54,32,36,11,585,7,17,19,27,61,29,42,37,3,246,15,147,55,77,59,57,30,28,3,469,3,10,6,3,12,11,3,10,16,73,198,731,579,812,1166,913,554,641,72,5663
SSC40002,30,40,30,55,154,183,115,243,3,856,77,173,143,171,516,468,244,418,11,2215,19,36,59,47,113,91,47,61,6,480,23,212,140,111,87,69,35,47,17,753,29,68,73,85,229,108,60,42,12,702,21,108,87,43,91,42,22,30,5,449,3,3,6,13,24,18,8,16,4,92,7,131,70,41,39,18,4,13,9,339,3,18,4,11,15,6,6,13,21,96,211,790,612,578,1269,999,542,882,91,5972
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,3,0,0,3,0,3,3,14,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,3,4,4,5,7,11,0,46
SSC40005,0,0,0,0,0,4,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,3,0,16
SSC40006,0,3,0,0,18,10,21,20,0,78,9,3,6,19,29,20,5,14,3,116,3,3,0,13,33,28,18,19,4,120,4,15,15,18,24,20,3,0,0,100,3,4,16,22,59,18,4,16,0,147,3,18,15,4,13,10,4,8,0,73,0,3,3,3,27,11,7,13,0,64,7,21,15,16,23,15,3,3,0,98,0,0,3,0,0,0,0,0,3,13,35,70,72,94,224,132,69,102,15,814
SSC40007,3,6,4,9,21,20,14,18,0,86,9,18,13,28,37,48,24,12,0,186,4,5,4,7,24,30,15,31,0,119,4,17,23,31,26,11,12,8,0,135,7,12,18,22,47,9,16,9,0,129,0,21,7,9,12,8,12,4,0,69,0,0,0,14,17,6,7,7,0,54,7,20,10,13,12,18,5,8,0,89,0,0,0,0,4,0,0,0,5,9,34,99,79,128,199,150,92,100,6,888
SSC40008,3,8,13,17,26,54,40,100,4,270,12,71,86,110,87,94,61,113,0,647,0,10,11,19,21,44,20,19,0,133,4,57,27,20,16,11,9,4,0,154,3,35,18,32,33,25,13,11,0,166,3,43,13,17,9,9,9,12,0,105,0,5,0,3,0,9,3,4,0,25,0,20,10,16,9,4,3,7,3,72,3,3,0,0,6,5,3,0,0,17,36,257,185,234,205,245,162,260,7,1590
SSC40009,0,3,3,7,3,8,3,3,0,34,0,11,7,13,13,7,4,4,0,64,0,7,3,3,5,9,3,4,0,40,0,6,3,7,5,0,0,0,4,32,0,3,6,0,13,0,0,4,0,27,0,9,5,0,4,0,3,3,0,20,0,0,0,0,4,0,0,4,0,11,0,7,3,10,3,3,0,3,0,34,0,0,0,0,0,0,0,0,0,0,12,49,27,41,45,36,17,30,4,257
SSC40010,17,19,14,32,76,68,58,93,0,379,35,40,71,90,124,93,36,56,4,545,30,42,50,89,170,156,100,121,11,770,44,112,119,169,88,47,30,35,4,649,22,58,64,73,160,64,35,13,4,492,31,120,70,80,77,47,29,26,8,492,18,14,17,28,72,48,21,65,5,286,20,123,81,76,101,71,36,38,9,542,4,5,4,3,12,4,7,4,20,66,223,527,491,647,871,592,347,448,67,4217
