SSC_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SSC40001,20,32,55,116,111,229,0,0,0,3,0,4,0,0,3,2146,1880,4023,93,133,224,19,0,21,23,3,25,7,0,8,29,3,31,22,16,40,2481,2187,4670,6,0,7,0,0,0,0,0,0,17,19,35,0,4,3,0,0,0,26,28,49,0,0,0,0,0,0,6,14,23,8,3,7,0,0,0,11,19,34,21,23,44,62,68,132,3,0,7,3,0,3,0,0,0,3,5,8,62,108,169,224,419,648,20,15,33,2859,2806,5663
SSC40002,27,21,48,192,241,432,0,0,0,87,91,173,7,9,17,1038,706,1742,63,102,165,0,0,0,28,6,35,150,90,247,30,31,58,1033,980,2005,2657,2275,4929,14,5,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,12,30,0,0,0,5,9,14,0,7,5,5,3,10,4,0,7,18,16,34,20,15,35,58,40,99,10,0,7,0,3,5,3,0,3,10,5,14,141,119,258,278,352,627,30,21,47,3160,2811,5972
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,19,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,17,3,0,3,0,0,0,31,16,46
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,0,0,0,0,0,0,8,4,16
SSC40006,14,14,21,8,13,27,0,0,0,0,3,3,0,0,0,315,256,575,14,22,37,10,0,10,0,0,0,3,0,3,4,0,4,7,0,11,373,322,693,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,3,6,3,8,7,11,19,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,23,66,90,0,0,3,411,402,814
SSC40007,22,35,63,10,7,10,0,0,0,0,0,0,3,0,3,317,272,590,18,22,37,3,0,3,6,0,6,13,0,14,3,0,6,8,6,16,403,344,748,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,8,9,7,14,23,3,0,5,0,0,0,0,0,0,3,0,5,11,12,26,32,56,93,0,0,0,456,431,888
SSC40008,0,3,3,48,38,87,0,0,0,0,0,0,0,0,0,569,471,1037,23,45,71,3,0,3,3,0,3,6,0,12,3,3,5,5,6,15,673,572,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,10,14,0,3,4,0,0,0,15,13,19,3,8,15,20,16,36,0,0,0,0,0,0,0,0,0,3,0,3,58,80,140,54,111,164,3,7,4,813,779,1590
SSC40009,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,80,58,135,7,3,10,9,0,9,0,0,0,3,0,3,4,0,4,5,5,19,108,74,180,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,3,0,0,0,0,0,0,0,0,3,10,15,22,16,19,41,0,0,4,140,119,257
SSC40010,20,19,39,14,4,23,3,0,3,0,0,0,4,3,7,1550,1328,2876,87,95,186,33,0,33,12,3,15,3,3,7,22,5,32,31,36,64,1780,1495,3277,5,11,19,0,0,0,0,0,0,13,29,40,4,0,4,0,0,0,24,41,65,0,0,0,0,0,0,0,5,5,0,3,5,0,0,0,0,7,9,16,10,25,44,59,101,5,6,10,0,0,0,0,0,0,5,6,11,56,100,158,240,398,635,13,21,34,2138,2077,4217
